cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2466.2299999999814,229,4.2,4.199,-0.0010000000000003,1800.0,181,0.9406779661016952,313.0,2.22
2,0.0,0.0,4.2,4.2,4.2,0.0,2185.329999999958,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.9406779661016952,312.0,2.22
3,0.0,0.0,4.2,4.2,4.2,0.0,2164.2300000000396,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.9389830508474578,311.0,2.216
4,0.0,0.0,4.2,4.2,4.2,0.0,2291.75,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.9398305084745764,310.0,2.218
5,0.0,0.0,4.2,4.2,4.2,0.0,2323.7000000000116,215,4.2,4.199,-0.0010000000000003,1800.0,181,0.9432203389830508,309.0,2.226
6,0.0,0.0,4.2,4.2,4.2,0.0,2188.8300000000163,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.9402542372881356,308.0,2.219
7,0.0,0.0,4.2,4.2,4.2,0.0,2162.2399999999907,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.9385593220338982,307.0,2.215
10,0.0,0.0,4.2,4.2,4.2,0.0,2117.1300000000047,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.9360169491525424,304.0,2.209
306,0.0,0.0,4.2,4.2,4.2,0.0,2166.6099999998696,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.8148305084745764,8.0,1.923
307,0.0,0.0,4.2,4.2,4.2,0.0,2153.2299999999814,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.8122881355932204,7.0,1.917
312,5.555555555559267e-09,-13.416407865015405,4.2,4.199,4.199994444444445,180.00000000030147,2069.989999999758,189,4.2,4.199,-0.0010000000000003,1800.0,180,0.8046610169491526,2.0,1.899
313,0.0,0.0,4.2,4.2,4.2,0.0,2105.3300000000745,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8008474576271186,1.0,1.89
316,0.0,0.0,4.2,4.2,4.2,0.0,2143.2400000002235,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.7915254237288136,-2.0,1.868
319,0.0,0.0,4.2,4.2,4.2,0.0,2188.55999999959,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7915254237288136,-5.0,1.868
321,0.0,0.0,4.2,4.2,4.2,0.0,2102.7900000000373,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.7826271186440679,-7.0,1.847
322,0.0,0.0,4.2,4.2,4.2,0.0,2224.839999999851,205,4.2,4.199,-0.0010000000000003,1800.0,181,0.778813559322034,-8.0,1.838
323,0.0,0.0,4.2,4.2,4.2,0.0,2189.160000000149,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.775,-9.0,1.829
324,0.0,0.0,4.2,4.2,4.2,0.0,2208.94000000041,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.7716101694915255,-10.0,1.821
325,0.0,0.0,4.2,4.2,4.2,0.0,2284.370000000112,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.7703389830508475,-11.0,1.818
