cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
354,0.0,0.0,4.2,4.2,4.2,0.0,2112.0400000000373,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.8292372881355933,19.0,1.957
358,0.0,0.0,4.2,4.2,4.2,0.0,2231.2999999998137,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.8203389830508475,15.0,1.936
359,0.0,0.0,4.2,4.2,4.2,0.0,2117.0200000004843,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.8182203389830509,14.0,1.931
362,0.0,0.0,4.2,4.2,4.2,0.0,2226.620000000112,205,4.2,4.199,-0.0010000000000003,1800.0,181,0.8122881355932204,11.0,1.917
363,0.0,0.0,4.2,4.2,4.2,0.0,2108.8899999996647,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8110169491525424,10.0,1.914
365,0.0,0.0,4.2,4.2,4.2,0.0,2359.660000000149,218,4.2,4.199,-0.0010000000000003,1800.0,181,0.8080508474576271,8.0,1.907
366,0.0,0.0,4.2,4.2,4.2,0.0,2288.0800000000745,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.8063559322033899,7.0,1.903
367,0.0,0.0,4.2,4.2,4.2,0.0,2390.7199999997392,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.8050847457627118,6.0,1.9
368,0.0,0.0,4.2,4.2,4.2,0.0,2335.660000000149,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.8038135593220339,5.0,1.897
369,0.0,0.0,4.2,4.2,4.2,0.0,2185.179999999702,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.8025423728813559,4.0,1.894
370,0.0,0.0,4.2,4.2,4.2,0.0,2345.2900000000373,217,4.2,4.199,-0.0010000000000003,1800.0,181,0.8016949152542373,3.0,1.892
371,0.0,0.0,4.2,4.2,4.2,0.0,2291.6699999999255,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.8004237288135594,2.0,1.889
372,0.0,0.0,4.2,4.2,4.2,0.0,2370.839999999851,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.8004237288135594,1.0,1.889
373,0.0,0.0,4.2,4.2,4.2,0.0,2387.2099999999627,221,4.2,4.199,-0.0010000000000003,1800.0,181,0.7991525423728814,0.0,1.886
374,0.0,0.0,4.2,4.2,4.2,0.0,2314.160000000149,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.7978813559322034,-1.0,1.883
375,0.0,0.0,4.2,4.2,4.2,0.0,2199.8600000003353,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.7957627118644067,-2.0,1.878
376,0.0,0.0,4.2,4.2,4.2,0.0,2379.8499999996275,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.7953389830508475,-3.0,1.877
377,0.0,0.0,4.2,4.2,4.2,0.0,2278.4900000002235,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.7932203389830509,-4.0,1.872
378,0.0,0.0,4.2,4.2,4.2,0.0,2282.75,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.7915254237288136,-5.0,1.868
379,0.0,0.0,4.2,4.2,4.2,0.0,2235.9799999995157,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.7902542372881356,-6.0,1.865
380,0.0,0.0,4.2,4.2,4.2,0.0,2279.2800000002608,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.7885593220338983,-7.0,1.861
381,0.0,0.0,4.2,4.2,4.2,0.0,2336.0900000007823,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7877118644067796,-8.0,1.859
382,0.0,0.0,4.2,4.2,4.2,0.0,2302.0,213,4.2,4.199,-0.0010000000000003,1800.0,181,0.7860169491525424,-9.0,1.855
383,0.0,0.0,4.2,4.2,4.2,0.0,2299.0300000002608,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7843220338983051,-10.0,1.851
384,0.0,0.0,4.2,4.2,4.2,0.0,2378.620000000112,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.7834745762711864,-11.0,1.849
385,0.0,0.0,4.2,4.2,4.2,0.0,2436.339999999851,226,4.2,4.199,-0.0010000000000003,1800.0,181,0.7817796610169492,-12.0,1.845
386,0.0,0.0,4.2,4.2,4.2,0.0,2412.660000000149,224,4.2,4.199,-0.0010000000000003,1800.0,181,0.7809322033898305,-13.0,1.843
387,0.0,0.0,4.2,4.2,4.2,0.0,2340.0,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7800847457627119,-14.0,1.841
388,0.0,0.0,4.2,4.2,4.2,0.0,2293.1399999996647,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7796610169491526,-15.0,1.84
389,0.0,0.0,4.2,4.2,4.2,0.0,2333.1699999999255,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7783898305084747,-16.0,1.837
390,0.0,0.0,4.2,4.2,4.2,0.0,2291.0099999997765,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.777542372881356,-17.0,1.835
391,0.0,0.0,4.2,4.2,4.2,0.0,2431.980000000447,226,4.2,4.199,-0.0010000000000003,1800.0,181,0.777542372881356,-18.0,1.835
392,0.0,0.0,4.2,4.2,4.2,0.0,2420.7599999997765,225,4.2,4.199,-0.0010000000000003,1800.0,181,0.7766949152542373,-19.0,1.833
393,0.0,0.0,4.2,4.2,4.2,0.0,2235.8199999993667,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.7754237288135594,-20.0,1.83
394,0.0,0.0,4.2,4.2,4.2,0.0,2389.600000000559,221,4.2,4.199,-0.0010000000000003,1800.0,181,0.7733050847457628,-21.0,1.825
395,0.0,0.0,4.2,4.2,4.2,0.0,2399.4599999999627,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.7720338983050848,-22.0,1.822
396,0.0,0.0,4.2,4.2,4.2,0.0,2455.2599999997765,228,4.2,4.199,-0.0010000000000003,1800.0,181,0.7703389830508475,-23.0,1.818
397,0.0,0.0,4.2,4.2,4.2,0.0,2449.8899999996647,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7694915254237289,-24.0,1.816
398,0.0,0.0,4.2,4.2,4.2,0.0,2419.230000000447,224,4.2,4.199,-0.0010000000000003,1800.0,181,0.7686440677966102,-25.0,1.814
399,0.0,0.0,4.2,4.2,4.2,0.0,2394.05999999959,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.7673728813559322,-26.0,1.811
400,0.0,0.0,4.2,4.2,4.2,0.0,2226.7199999997392,205,4.2,4.199,-0.0010000000000003,1800.0,181,0.7661016949152543,-27.0,1.808
401,0.0,0.0,4.2,4.2,4.2,0.0,2296.7400000002235,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7656779661016949,-28.0,1.807
402,0.0,0.0,4.2,4.2,4.2,0.0,2372.2099999999627,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.764406779661017,-29.0,1.804
403,0.0,0.0,4.2,4.2,4.2,0.0,2309.7400000002235,213,4.2,4.199,-0.0010000000000003,1800.0,181,0.7597457627118644,-30.0,1.793
404,0.0,0.0,4.2,4.2,4.2,0.0,2269.550000000745,209,4.2,4.199,-0.0010000000000003,1800.0,181,0.7601694915254238,-31.0,1.794
405,0.0,0.0,4.2,4.2,4.2,0.0,2273.8300000000745,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.7584745762711865,-32.0,1.79
406,0.0,0.0,4.2,4.2,4.2,0.0,2325.879999999888,215,4.2,4.199,-0.0010000000000003,1800.0,181,0.7559322033898306,-33.0,1.784
407,0.0,0.0,4.2,4.2,4.2,0.0,2278.9099999992177,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.7542372881355933,-34.0,1.78
408,0.0,0.0,4.2,4.2,4.2,0.0,2267.129999999888,209,4.2,4.199,-0.0010000000000003,1800.0,181,0.7529661016949153,-35.0,1.777
409,0.0,0.0,4.2,4.2,4.2,0.0,2268.7400000002235,209,4.2,4.199,-0.0010000000000003,1800.0,181,0.7512711864406779,-36.0,1.773
410,0.0,0.0,4.2,4.2,4.2,0.0,2201.929999999702,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.7491525423728814,-37.0,1.768
412,0.0,0.0,4.2,4.2,4.2,0.0,2333.4799999995157,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7453389830508474,-39.0,1.759
413,0.0,0.0,4.2,4.2,4.2,0.0,2449.429999999702,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7444915254237288,-40.0,1.757
414,0.0,0.0,4.2,4.2,4.2,0.0,2248.379999999888,207,4.2,4.199,-0.0010000000000003,1800.0,181,0.7427966101694915,-41.0,1.753
415,0.0,0.0,4.2,4.2,4.2,0.0,2282.5900000007823,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.7415254237288136,-42.0,1.75
416,0.0,0.0,4.2,4.2,4.2,0.0,2231.3300000000745,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.7411016949152543,-43.0,1.749
