cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
300,0.0,0.0,4.2,4.2,4.2,0.0,2124.19000000041,195,4.2,4.199,-0.0010000000000003,1800.0,181,0.790677966101695,-2.0,1.866
302,0.0,0.0,4.2,4.2,4.2,0.0,2197.7999999998137,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.7822033898305085,-4.0,1.846
303,0.0,0.0,4.2,4.2,4.2,0.0,2230.7099999999627,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.7779661016949153,-5.0,1.836
306,0.0,0.0,4.2,4.2,4.2,0.0,2177.6699999999255,200,4.2,4.199,-0.0010000000000003,1800.0,181,0.7648305084745762,-8.0,1.805
307,0.0,0.0,4.2,4.2,4.2,0.0,2375.75,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.760593220338983,-9.0,1.795
308,0.0,0.0,4.2,4.2,4.2,0.0,2279.7199999997392,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.7563559322033898,-10.0,1.785
309,0.0,0.0,4.2,4.2,4.2,0.0,2347.4799999999814,217,4.2,4.199,-0.0010000000000003,1800.0,181,0.752542372881356,-11.0,1.776
310,0.0,0.0,4.2,4.2,4.2,0.0,2410.339999999851,224,4.2,4.199,-0.0010000000000003,1800.0,181,0.7491525423728814,-12.0,1.768
311,0.0,0.0,4.2,4.2,4.2,0.0,2299.089999999851,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7457627118644068,-13.0,1.76
312,0.0,0.0,4.2,4.2,4.2,0.0,2525.2599999997765,235,4.2,4.199,-0.0010000000000003,1800.0,181,0.7427966101694915,-14.0,1.753
313,0.0,0.0,4.2,4.2,4.2,0.0,2447.2100000004284,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7394067796610171,-15.0,1.745
314,0.0,0.0,4.2,4.2,4.2,0.0,2503.2700000000186,233,4.2,4.199,-0.0010000000000003,1800.0,181,0.7368644067796611,-16.0,1.739
315,0.0,0.0,4.2,4.2,4.2,0.0,2585.119999999646,241,4.2,4.199,-0.0010000000000003,1800.0,181,0.7343220338983052,-17.0,1.733
316,0.0,0.0,4.2,4.2,4.2,0.0,2619.439999999944,244,4.2,4.199,-0.0010000000000003,1800.0,181,0.7322033898305085,-18.0,1.728
317,0.0,0.0,4.2,4.2,4.2,0.0,2759.4099999996834,258,4.2,4.199,-0.0010000000000003,1800.0,181,0.7305084745762712,-19.0,1.724
318,0.0,0.0,4.2,4.2,4.2,0.0,2470.939999999944,230,4.2,4.199,-0.0010000000000003,1800.0,181,0.728813559322034,-20.0,1.72
319,0.0,0.0,4.2,4.2,4.2,0.0,2504.1099999998696,233,4.2,4.199,-0.0010000000000003,1800.0,181,0.727542372881356,-21.0,1.717
320,0.0,0.0,4.2,4.2,4.2,0.0,2667.620000000112,249,4.2,4.199,-0.0010000000000003,1800.0,181,0.726271186440678,-22.0,1.714
321,0.0,0.0,4.2,4.2,4.2,0.0,2717.589999999851,254,4.2,4.199,-0.0010000000000003,1800.0,181,0.726271186440678,-23.0,1.714
322,0.0,0.0,4.2,4.2,4.2,0.0,2722.4799999999814,255,4.2,4.199,-0.0010000000000003,1800.0,181,0.7258474576271187,-24.0,1.713
323,0.0,0.0,4.2,4.2,4.2,0.0,2609.8599999998696,243,4.2,4.199,-0.0010000000000003,1800.0,181,0.7250000000000001,-25.0,1.711
324,0.0,0.0,4.2,4.2,4.2,0.0,2838.6399999996647,266,4.2,4.199,-0.0010000000000003,1800.0,181,0.7258474576271187,-26.0,1.713
325,0.0,0.0,4.2,4.2,4.2,0.0,2661.130000000354,249,4.2,4.198,-0.0019999999999997,1800.0,181,0.7258474576271187,-27.0,1.713
326,0.0,0.0,4.2,4.2,4.2,0.0,2780.7900000000373,261,4.2,4.199,-0.0010000000000003,1800.0,181,0.7271186440677966,-28.0,1.716
327,0.0,0.0,4.2,4.2,4.2,0.0,2670.089999999851,250,4.2,4.199,-0.0010000000000003,1800.0,181,0.7266949152542374,-29.0,1.715
