cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
317,0.0,0.0,4.2,4.2,4.2,0.0,2110.5300000002608,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.8114406779661018,4.0,1.915
320,0.0,0.0,4.2,4.2,4.2,0.0,2107.5999999996275,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8016949152542373,1.0,1.892
321,0.0,0.0,4.2,4.2,4.2,0.0,2196.4500000001863,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.7987288135593221,0.0,1.885
322,0.0,0.0,4.2,4.2,4.2,0.0,2208.579999999609,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.7953389830508475,-1.0,1.877
323,0.0,0.0,4.2,4.2,4.2,0.0,2183.80999999959,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7923728813559323,-2.0,1.87
324,0.0,0.0,4.2,4.2,4.2,0.0,2363.2700000000186,219,4.2,4.199,-0.0010000000000003,1800.0,181,0.789406779661017,-3.0,1.863
325,0.0,0.0,4.2,4.2,4.2,0.0,2200.679999999702,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.7860169491525424,-4.0,1.855
326,0.0,0.0,4.2,4.2,4.2,0.0,2342.55999999959,217,4.2,4.199,-0.0010000000000003,1800.0,181,0.7826271186440679,-5.0,1.847
327,0.0,0.0,4.2,4.2,4.2,0.0,2274.3900000001304,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.7792372881355932,-6.0,1.839
328,0.0,0.0,4.2,4.2,4.2,0.0,2340.6800000001676,217,4.2,4.199,-0.0010000000000003,1800.0,181,0.7754237288135594,-7.0,1.83
329,0.0,0.0,4.2,4.2,4.2,0.0,2249.439999999944,207,4.2,4.199,-0.0010000000000003,1800.0,181,0.7716101694915255,-8.0,1.821
330,0.0,0.0,4.2,4.2,4.2,0.0,2205.2800000002608,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.7677966101694916,-9.0,1.812
331,0.0,0.0,4.2,4.2,4.2,0.0,2340.339999999851,217,4.2,4.199,-0.0010000000000003,1800.0,181,0.7639830508474577,-10.0,1.803
