cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2165.070000000007,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.9432203389830508,361.0,2.226
2,0.0,0.0,4.2,4.2,4.2,0.0,2108.8099999999977,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.9427966101694916,360.0,2.225
356,0.0,0.0,4.2,4.2,4.2,0.0,2121.55999999959,195,4.2,4.199,-0.0010000000000003,1800.0,181,0.8097457627118645,6.0,1.911
359,0.0,0.0,4.2,4.2,4.2,0.0,2129.7000000001863,195,4.2,4.199,-0.0010000000000003,1800.0,181,0.8021186440677966,3.0,1.893
360,0.0,0.0,4.2,4.2,4.2,0.0,2119.600000000559,194,4.2,4.198,-0.0019999999999997,1800.0,181,0.8004237288135594,2.0,1.889
364,0.0,0.0,4.2,4.2,4.2,0.0,2103.9500000001863,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.7902542372881356,-2.0,1.865
365,0.0,0.0,4.2,4.2,4.2,0.0,2132.5099999997765,196,4.2,4.198,-0.0019999999999997,1800.0,181,0.7872881355932204,-3.0,1.858
367,0.0,0.0,4.2,4.2,4.2,0.0,2105.589999999851,193,4.2,4.198,-0.0019999999999997,1800.0,181,0.7826271186440679,-5.0,1.847
368,0.0,0.0,4.2,4.2,4.2,0.0,2160.640000000596,199,4.2,4.198,-0.0019999999999997,1800.0,181,0.7805084745762713,-6.0,1.842
369,0.0,0.0,4.2,4.2,4.2,0.0,2180.070000000298,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7805084745762713,-7.0,1.842
370,0.0,0.0,4.2,4.2,4.2,0.0,2118.570000000298,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.7834745762711864,-8.0,1.849
371,0.0,0.0,4.2,4.2,4.2,0.0,2120.1699999999255,195,4.2,4.198,-0.0019999999999997,1800.0,181,0.7779661016949153,-9.0,1.836
372,0.0,0.0,4.2,4.2,4.2,0.0,2158.5400000000373,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.7737288135593221,-10.0,1.826
373,0.0,0.0,4.2,4.2,4.2,0.0,2181.3600000003353,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7707627118644068,-11.0,1.819
374,0.0,0.0,4.2,4.2,4.2,0.0,2184.929999999702,201,4.2,4.198,-0.0019999999999997,1800.0,181,0.7677966101694916,-12.0,1.812
375,0.0,0.0,4.2,4.2,4.2,0.0,2114.1800000006333,194,4.2,4.198,-0.0019999999999997,1800.0,181,0.7652542372881357,-13.0,1.806
376,0.0,0.0,4.2,4.2,4.2,0.0,2219.679999999702,204,4.2,4.198,-0.0019999999999997,1800.0,181,0.763135593220339,-14.0,1.801
377,0.0,0.0,4.2,4.2,4.2,0.0,2148.120000000112,197,4.2,4.198,-0.0019999999999997,1800.0,181,0.7614406779661017,-15.0,1.797
378,0.0,0.0,4.2,4.2,4.2,0.0,2140.929999999702,197,4.2,4.198,-0.0019999999999997,1800.0,181,0.7614406779661017,-16.0,1.797
379,0.0,0.0,4.2,4.2,4.2,0.0,2121.239999999292,195,4.2,4.198,-0.0019999999999997,1800.0,181,0.761864406779661,-17.0,1.798
381,0.0,0.0,4.2,4.2,4.2,0.0,2183.7999999998137,201,4.2,4.198,-0.0019999999999997,1800.0,181,0.7533898305084746,-19.0,1.778
382,0.0,0.0,4.2,4.2,4.2,0.0,2240.320000000298,207,4.2,4.198,-0.0019999999999997,1800.0,181,0.7508474576271187,-20.0,1.772
383,0.0,0.0,4.2,4.2,4.2,0.0,2198.149999999441,202,4.2,4.198,-0.0019999999999997,1800.0,181,0.7483050847457627,-21.0,1.766
384,0.0,0.0,4.2,4.2,4.2,0.0,2223.4900000002235,205,4.2,4.198,-0.0019999999999997,1800.0,181,0.7457627118644068,-22.0,1.76
385,0.0,0.0,4.2,4.2,4.2,0.0,2184.410000000149,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7440677966101695,-23.0,1.756
386,0.0,0.0,4.2,4.2,4.2,0.0,2218.910000000149,204,4.2,4.198,-0.0019999999999997,1800.0,181,0.7432203389830508,-24.0,1.754
387,0.0,0.0,4.2,4.2,4.2,0.0,2194.390000000596,202,4.2,4.198,-0.0019999999999997,1800.0,181,0.7436440677966102,-25.0,1.755
388,0.0,0.0,4.2,4.2,4.2,0.0,2159.0,198,4.2,4.198,-0.0019999999999997,1800.0,181,0.7436440677966102,-26.0,1.755
389,0.0,0.0,4.2,4.2,4.2,0.0,2133.4000000003725,196,4.2,4.198,-0.0019999999999997,1800.0,181,0.7385593220338984,-27.0,1.743
390,0.0,0.0,4.2,4.2,4.2,0.0,2226.449999999255,205,4.2,4.198,-0.0019999999999997,1800.0,181,0.7351694915254238,-28.0,1.735
391,0.0,0.0,4.2,4.2,4.2,0.0,2290.660000000149,212,4.2,4.198,-0.0019999999999997,1800.0,181,0.7334745762711865,-29.0,1.731
392,0.0,0.0,4.2,4.2,4.2,0.0,2279.379999999888,210,4.2,4.198,-0.0019999999999997,1800.0,181,0.7313559322033899,-30.0,1.726
393,0.0,0.0,4.2,4.2,4.2,0.0,2248.070000000298,207,4.2,4.198,-0.0019999999999997,1800.0,181,0.7283898305084746,-31.0,1.719
