cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2314.0499999999884,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.936864406779661,328.0,2.211
2,0.0,0.0,4.2,4.2,4.2,0.0,2302.670000000042,213,4.2,4.199,-0.0010000000000003,1800.0,181,0.936864406779661,327.0,2.211
3,0.0,0.0,4.2,4.2,4.2,0.0,2271.6300000000047,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.9351694915254236,326.0,2.207
4,0.0,0.0,4.2,4.2,4.2,0.0,2397.2000000000116,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.9355932203389832,325.0,2.208
5,0.0,0.0,4.2,4.2,4.2,0.0,2273.4100000000326,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.9385593220338982,324.0,2.215
6,0.0,0.0,4.2,4.2,4.2,0.0,2125.7700000000186,195,4.2,4.199,-0.0010000000000003,1800.0,181,0.9364406779661018,323.0,2.21
7,0.0,0.0,4.2,4.2,4.2,0.0,2237.1199999999953,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.9343220338983051,322.0,2.205
9,0.0,0.0,4.2,4.2,4.2,0.0,2146.240000000049,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.932627118644068,320.0,2.201
11,0.0,0.0,4.2,4.2,4.2,0.0,2140.8099999999977,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.9317796610169492,318.0,2.199
324,0.0,0.0,4.2,4.2,4.2,0.0,2110.6399999996647,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.8127118644067797,5.0,1.918
326,0.0,0.0,4.2,4.2,4.2,0.0,2145.629999999888,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.8055084745762713,3.0,1.901
327,0.0,0.0,4.2,4.2,4.2,0.0,2110.2400000002235,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.8029661016949153,2.0,1.895
328,0.0,0.0,4.2,4.2,4.2,0.0,2116.879999999888,194,4.2,4.198,-0.0019999999999997,1800.0,181,0.8008474576271186,1.0,1.89
329,0.0,0.0,4.2,4.2,4.2,0.0,2107.0099999997765,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8,0.0,1.888
331,0.0,0.0,4.2,4.2,4.2,0.0,2184.2299999995157,201,4.2,4.198,-0.0019999999999997,1800.0,181,0.7957627118644067,-2.0,1.878
337,0.0,0.0,4.2,4.2,4.2,0.0,2159.4000000003725,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.7822033898305085,-8.0,1.846
338,0.0,0.0,4.2,4.2,4.2,0.0,2169.760000000708,199,4.2,4.198,-0.0019999999999997,1800.0,181,0.7809322033898305,-9.0,1.843
340,0.0,0.0,4.2,4.2,4.2,0.0,2184.7900000000373,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7822033898305085,-11.0,1.846
342,0.0,0.0,4.2,4.2,4.2,0.0,2134.4500000001863,196,4.2,4.199,-0.0010000000000003,1800.0,181,0.7771186440677967,-13.0,1.834
344,0.0,0.0,4.2,4.2,4.2,0.0,2212.9399999994785,204,4.2,4.198,-0.0019999999999997,1800.0,181,0.7711864406779662,-15.0,1.82
346,0.0,0.0,4.2,4.2,4.2,0.0,2171.7700000004843,200,4.2,4.199,-0.0010000000000003,1800.0,181,0.813135593220339,-17.0,1.919
348,0.0,0.0,4.2,4.2,4.2,0.0,2176.0800000000745,200,4.2,4.198,-0.0019999999999997,1800.0,181,0.8016949152542373,-19.0,1.892
349,0.0,0.0,4.2,4.2,4.2,0.0,2218.519999999553,204,4.2,4.198,-0.0019999999999997,1800.0,181,0.7978813559322034,-20.0,1.883
350,0.0,0.0,4.2,4.2,4.2,0.0,2218.2799999993294,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.7983050847457627,-21.0,1.884
351,0.0,0.0,4.2,4.2,4.2,0.0,2173.2199999997392,200,4.2,4.199,-0.0010000000000003,1800.0,181,0.7881355932203391,-22.0,1.86
353,0.0,0.0,4.2,4.2,4.2,0.0,2227.1399999996647,205,4.2,4.198,-0.0019999999999997,1800.0,181,0.7754237288135594,-24.0,1.83
354,0.0,0.0,4.2,4.2,4.2,0.0,2185.7400000002235,201,4.2,4.198,-0.0019999999999997,1800.0,181,0.7707627118644068,-25.0,1.819
355,0.0,0.0,4.2,4.2,4.2,0.0,2295.179999999702,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7665254237288136,-26.0,1.809
356,0.0,0.0,4.2,4.2,4.2,0.0,2221.089999999851,205,4.2,4.198,-0.0019999999999997,1800.0,181,0.764406779661017,-27.0,1.804
357,0.0,0.0,4.2,4.2,4.2,0.0,2214.9399999994785,204,4.2,4.198,-0.0019999999999997,1800.0,181,0.7601694915254238,-28.0,1.794
358,0.0,0.0,4.2,4.2,4.2,0.0,2155.2299999995157,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.760593220338983,-29.0,1.795
359,0.0,0.0,4.2,4.2,4.2,0.0,2256.2400000002235,208,4.2,4.199,-0.0010000000000003,1800.0,181,0.7597457627118644,-30.0,1.793
360,0.0,0.0,4.2,4.2,4.2,0.0,2183.9300000006333,201,4.2,4.198,-0.0019999999999997,1800.0,181,0.7521186440677966,-31.0,1.775
361,0.0,0.0,4.2,4.2,4.2,0.0,2320.879999999888,215,4.2,4.199,-0.0010000000000003,1800.0,181,0.7470338983050847,-32.0,1.763
