cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2434.0199999999604,226,4.2,4.199,-0.0010000000000003,1800.0,181,0.9322033898305084,354.0,2.2
2,0.0,0.0,4.2,4.2,4.2,0.0,2216.8800000000047,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.9317796610169492,353.0,2.199
3,0.0,0.0,4.2,4.2,4.2,0.0,2405.389999999956,223,4.2,4.199,-0.0010000000000003,1800.0,181,0.9309322033898306,352.0,2.197
4,0.0,0.0,4.2,4.2,4.2,0.0,2307.7700000000186,213,4.2,4.199,-0.0010000000000003,1800.0,181,0.9305084745762712,351.0,2.196
5,0.0,0.0,4.2,4.2,4.2,0.0,2252.7600000000093,208,4.2,4.199,-0.0010000000000003,1800.0,181,0.9330508474576272,350.0,2.202
6,0.0,0.0,4.2,4.2,4.2,0.0,2136.179999999993,196,4.2,4.199,-0.0010000000000003,1800.0,181,0.9322033898305084,349.0,2.2
7,0.0,0.0,4.2,4.2,4.2,0.0,2239.0499999999884,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.9305084745762712,348.0,2.196
9,0.0,0.0,4.2,4.2,4.2,0.0,2156.579999999958,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.9283898305084746,346.0,2.191
10,0.0,0.0,4.2,4.2,4.2,0.0,2142.0,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.9279661016949152,345.0,2.19
12,0.0,0.0,4.2,4.2,4.2,0.0,2167.469999999972,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.9279661016949152,343.0,2.19
353,0.0,0.0,4.2,4.2,4.2,0.0,2150.2900000000373,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.8076271186440678,2.0,1.906
