cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2625.820000000007,245,4.2,4.199,-0.0010000000000003,1800.0,181,0.9343220338983051,374.0,2.205
2,0.0,0.0,4.2,4.2,4.2,0.0,2514.9500000000116,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.9343220338983051,373.0,2.205
3,0.0,0.0,4.2,4.2,4.2,0.0,2416.5400000000373,224,4.2,4.199,-0.0010000000000003,1800.0,181,0.932627118644068,372.0,2.201
4,0.0,0.0,4.2,4.2,4.2,0.0,2281.0100000000093,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.9330508474576272,371.0,2.202
5,0.0,0.0,4.2,4.2,4.2,0.0,2327.1500000000233,215,4.2,4.199,-0.0010000000000003,1800.0,181,0.9360169491525424,370.0,2.209
6,0.0,0.0,4.2,4.2,4.2,0.0,2181.1600000000326,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.933898305084746,369.0,2.204
7,0.0,0.0,4.2,4.2,4.2,0.0,2160.8800000000047,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.9317796610169492,368.0,2.199
8,0.0,0.0,4.2,4.2,4.2,0.0,2137.9100000000326,196,4.2,4.199,-0.0010000000000003,1800.0,181,0.9309322033898306,367.0,2.197
9,0.0,0.0,4.2,4.2,4.2,0.0,2274.5,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.9305084745762712,366.0,2.196
10,0.0,0.0,4.2,4.2,4.2,0.0,2255.789999999979,208,4.2,4.199,-0.0010000000000003,1800.0,181,0.9300847457627118,365.0,2.195
11,0.0,0.0,4.2,4.2,4.2,0.0,2207.5800000000163,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.9300847457627118,364.0,2.195
12,0.0,0.0,4.2,4.2,4.2,0.0,2175.960000000021,200,4.2,4.199,-0.0010000000000003,1800.0,181,0.9300847457627118,363.0,2.195
13,0.0,0.0,4.2,4.2,4.2,0.0,2162.8800000000047,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.9334745762711864,362.0,2.203
351,0.0,0.0,4.2,4.2,4.2,0.0,2131.160000000149,196,4.2,4.199,-0.0010000000000003,1800.0,181,0.8461864406779662,24.0,1.997
352,0.0,0.0,4.2,4.2,4.2,0.0,2101.4599999999627,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8427966101694916,23.0,1.989
353,0.0,0.0,4.2,4.2,4.2,0.0,2191.760000000708,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.8411016949152543,22.0,1.985
355,0.0,0.0,4.2,4.2,4.2,0.0,2217.5200000004843,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.8377118644067797,20.0,1.977
357,0.0,0.0,4.2,4.2,4.2,0.0,2184.0,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.8355932203389831,18.0,1.972
359,0.0,0.0,4.2,4.2,4.2,0.0,2158.070000000298,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.8279661016949152,16.0,1.954
360,0.0,0.0,4.2,4.2,4.2,0.0,2101.4199999999255,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8250000000000001,15.0,1.947
361,0.0,0.0,4.2,4.2,4.2,0.0,2192.1800000006333,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.8228813559322035,14.0,1.942
362,0.0,0.0,4.2,4.2,4.2,0.0,2210.6699999999255,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.8207627118644069,13.0,1.937
363,0.0,0.0,4.2,4.2,4.2,0.0,2222.0800000000745,205,4.2,4.199,-0.0010000000000003,1800.0,181,0.8190677966101696,12.0,1.933
364,0.0,0.0,4.2,4.2,4.2,0.0,2163.6500000003725,199,4.2,4.199,-0.0010000000000003,1800.0,181,0.8203389830508475,11.0,1.936
365,0.0,0.0,4.2,4.2,4.2,0.0,2179.420000000857,200,4.2,4.199,-0.0010000000000003,1800.0,181,0.8211864406779661,10.0,1.938
366,0.0,0.0,4.2,4.2,4.2,0.0,2270.0499999998137,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.815677966101695,9.0,1.925
367,0.0,0.0,4.2,4.2,4.2,0.0,2300.0499999998137,213,4.2,4.199,-0.0010000000000003,1800.0,181,0.8122881355932204,8.0,1.917
368,0.0,0.0,4.2,4.2,4.2,0.0,2213.8600000003353,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.8093220338983051,7.0,1.91
369,0.0,0.0,4.2,4.2,4.2,0.0,2394.6100000003353,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.8067796610169492,6.0,1.904
370,0.0,0.0,4.2,4.2,4.2,0.0,2372.320000000298,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.8046610169491526,5.0,1.899
371,0.0,0.0,4.2,4.2,4.2,0.0,2315.0200000004843,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.8029661016949153,4.0,1.895
372,0.0,0.0,4.2,4.2,4.2,0.0,2359.5800000000745,218,4.2,4.199,-0.0010000000000003,1800.0,181,0.8025423728813559,3.0,1.894
373,0.0,0.0,4.2,4.2,4.2,0.0,2272.2000000001863,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.8038135593220339,2.0,1.897
374,0.0,0.0,4.2,4.2,4.2,0.0,2274.0200000004843,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.8004237288135594,1.0,1.889
375,0.0,0.0,4.2,4.2,4.2,0.0,2428.5,225,4.2,4.199,-0.0010000000000003,1800.0,181,0.7966101694915254,0.0,1.88
376,0.0,0.0,4.2,4.2,4.2,0.0,2335.2199999997392,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7936440677966102,-1.0,1.873
377,0.0,0.0,4.2,4.2,4.2,0.0,2395.0800000000745,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.7915254237288136,-2.0,1.868
378,0.0,0.0,4.2,4.2,4.2,0.0,2379.480000000447,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.789406779661017,-3.0,1.863
379,0.0,0.0,4.2,4.2,4.2,0.0,2387.9099999992177,221,4.2,4.199,-0.0010000000000003,1800.0,181,0.7877118644067796,-4.0,1.859
380,0.0,0.0,4.2,4.2,4.2,0.0,2354.6199999991804,218,4.2,4.199,-0.0010000000000003,1800.0,181,0.7868644067796611,-5.0,1.857
381,0.0,0.0,4.2,4.2,4.2,0.0,2292.4599999999627,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7877118644067796,-6.0,1.859
383,0.0,0.0,4.2,4.2,4.2,0.0,2408.9900000002235,223,4.2,4.199,-0.0010000000000003,1800.0,181,0.7822033898305085,-8.0,1.846
384,7.932679493842577e-31,0.0,4.2,4.2,4.200000000000001,0.0,2394.6399999996647,221,4.2,4.199,-0.0010000000000003,1800.0,180,0.7792372881355932,-9.0,1.839
385,0.0,0.0,4.2,4.2,4.2,0.0,2374.4900000002235,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.7771186440677967,-10.0,1.834
386,0.0,0.0,4.2,4.2,4.2,0.0,2486.410000000149,231,4.2,4.199,-0.0010000000000003,1800.0,181,0.7754237288135594,-11.0,1.83
387,0.0,0.0,4.2,4.2,4.2,0.0,2427.4599999999627,225,4.2,4.199,-0.0010000000000003,1800.0,181,0.7737288135593221,-12.0,1.826
388,0.0,0.0,4.2,4.2,4.2,0.0,2468.2200000006706,229,4.2,4.199,-0.0010000000000003,1800.0,181,0.7716101694915255,-13.0,1.821
389,0.0,0.0,4.2,4.2,4.2,0.0,2500.4900000002235,233,4.2,4.199,-0.0010000000000003,1800.0,181,0.7711864406779662,-14.0,1.82
390,0.0,0.0,4.2,4.2,4.2,0.0,2491.120000000112,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.7728813559322034,-15.0,1.824
391,0.0,0.0,4.2,4.2,4.2,0.0,2355.410000000149,218,4.2,4.198,-0.0019999999999997,1800.0,181,0.7690677966101696,-16.0,1.815
392,0.0,0.0,4.2,4.2,4.2,0.0,2459.370000000112,228,4.2,4.199,-0.0010000000000003,1800.0,181,0.7656779661016949,-17.0,1.807
393,0.0,0.0,4.2,4.2,4.2,0.0,2429.7800000002608,225,4.2,4.199,-0.0010000000000003,1800.0,181,0.7627118644067797,-18.0,1.8
394,0.0,0.0,4.2,4.2,4.2,0.0,2280.160000000149,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.8076271186440678,-19.0,1.906
395,0.0,0.0,4.2,4.2,4.2,0.0,2292.8899999996647,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.8004237288135594,-20.0,1.889
396,0.0,0.0,4.2,4.2,4.2,0.0,2349.8300000000745,217,4.2,4.199,-0.0010000000000003,1800.0,181,0.7944915254237288,-21.0,1.875
397,0.0,0.0,4.2,4.2,4.2,0.0,2448.429999999702,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7889830508474577,-22.0,1.862
398,0.0,0.0,4.2,4.2,4.2,0.0,2586.0099999997765,241,4.2,4.199,-0.0010000000000003,1800.0,181,0.7834745762711864,-23.0,1.849
399,0.0,0.0,4.2,4.2,4.2,0.0,2424.2099999999627,225,4.2,4.198,-0.0019999999999997,1800.0,181,0.7809322033898305,-24.0,1.843
400,0.0,0.0,4.2,4.2,4.2,0.0,2493.25,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.7745762711864408,-25.0,1.828
401,0.0,0.0,4.2,4.2,4.2,0.0,2539.8199999993667,236,4.2,4.199,-0.0010000000000003,1800.0,181,0.7703389830508475,-26.0,1.818
402,0.0,0.0,4.2,4.2,4.2,0.0,2633.420000000857,246,4.2,4.199,-0.0010000000000003,1800.0,181,0.7665254237288136,-27.0,1.809
403,0.0,0.0,4.2,4.2,4.2,0.0,2516.1199999991804,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.7627118644067797,-28.0,1.8
404,0.0,0.0,4.2,4.2,4.2,0.0,2647.3300000000745,247,4.2,4.199,-0.0010000000000003,1800.0,181,0.7584745762711865,-29.0,1.79
405,0.0,0.0,4.2,4.2,4.2,0.0,2593.769999999553,242,4.2,4.198,-0.0019999999999997,1800.0,181,0.7546610169491526,-30.0,1.781
406,0.0,0.0,4.2,4.2,4.2,0.0,2566.390000000596,239,4.2,4.199,-0.0010000000000003,1800.0,181,0.7529661016949153,-31.0,1.777
407,0.0,0.0,4.2,4.2,4.2,0.0,2609.2799999993294,243,4.2,4.198,-0.0019999999999997,1800.0,181,0.7538135593220339,-32.0,1.779
408,0.0,0.0,4.2,4.2,4.2,0.0,2570.359999999404,240,4.2,4.199,-0.0010000000000003,1800.0,181,0.75,-33.0,1.77
