cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
358,0.0,0.0,4.2,4.2,4.2,0.0,2100.839999999851,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8394067796610171,21.0,1.981
359,0.0,0.0,4.2,4.2,4.2,0.0,2187.730000000447,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.8368644067796611,20.0,1.975
360,0.0,0.0,4.2,4.2,4.2,0.0,2226.710000000894,205,4.2,4.199,-0.0010000000000003,1800.0,181,0.8343220338983052,19.0,1.969
362,0.0,0.0,4.2,4.2,4.2,0.0,2140.480000000447,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.8296610169491526,17.0,1.958
363,0.0,0.0,4.2,4.2,4.2,0.0,2112.260000000708,194,4.2,4.199,-0.0010000000000003,1800.0,181,0.8271186440677967,16.0,1.952
364,0.0,0.0,4.2,4.2,4.2,0.0,2195.3300000000745,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.8250000000000001,15.0,1.947
365,0.0,0.0,4.2,4.2,4.2,0.0,2264.510000000708,209,4.2,4.199,-0.0010000000000003,1800.0,181,0.8228813559322035,14.0,1.942
366,0.0,0.0,4.2,4.2,4.2,0.0,2279.519999999553,210,4.2,4.199,-0.0010000000000003,1800.0,181,0.8207627118644069,13.0,1.937
367,0.0,0.0,4.2,4.2,4.2,0.0,2283.0300000002608,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.8186440677966101,12.0,1.932
368,0.0,0.0,4.2,4.2,4.2,0.0,2196.620000000112,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.8161016949152543,11.0,1.926
369,0.0,0.0,4.2,4.2,4.2,0.0,2356.7999999998137,218,4.2,4.199,-0.0010000000000003,1800.0,181,0.8144067796610169,10.0,1.922
371,0.0,0.0,4.2,4.2,4.2,0.0,2401.05999999959,223,4.2,4.199,-0.0010000000000003,1800.0,181,0.8105932203389831,8.0,1.913
372,0.0,0.0,4.2,4.2,4.2,0.0,2368.55999999959,219,4.2,4.199,-0.0010000000000003,1800.0,181,0.8088983050847458,7.0,1.909
373,0.0,0.0,4.2,4.2,4.2,0.0,2370.5800000000745,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.8072033898305085,6.0,1.905
374,0.0,0.0,4.2,4.2,4.2,0.0,2397.0,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.8059322033898305,5.0,1.902
375,0.0,0.0,4.2,4.2,4.2,0.0,2510.9399999994785,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.8042372881355933,4.0,1.898
376,0.0,0.0,4.2,4.2,4.2,0.0,2477.9900000002235,230,4.2,4.199,-0.0010000000000003,1800.0,181,0.8029661016949153,3.0,1.895
377,0.0,0.0,4.2,4.2,4.2,0.0,2530.9699999997392,236,4.2,4.199,-0.0010000000000003,1800.0,181,0.8016949152542373,2.0,1.892
378,0.0,0.0,4.2,4.2,4.2,0.0,2494.1599999992177,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.8008474576271186,1.0,1.89
379,0.0,0.0,4.2,4.2,4.2,0.0,2469.199999999255,229,4.2,4.199,-0.0010000000000003,1800.0,181,0.7995762711864407,0.0,1.887
380,0.0,0.0,4.2,4.2,4.2,0.0,2510.929999999702,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.7987288135593221,-1.0,1.885
381,0.0,0.0,4.2,4.2,4.2,0.0,2484.129999999888,231,4.2,4.199,-0.0010000000000003,1800.0,181,0.7978813559322034,-2.0,1.883
382,0.0,0.0,4.2,4.2,4.2,0.0,2478.30999999959,230,4.2,4.199,-0.0010000000000003,1800.0,181,0.7970338983050848,-3.0,1.881
383,0.0,0.0,4.2,4.2,4.2,0.0,2618.0300000002608,244,4.2,4.199,-0.0010000000000003,1800.0,181,0.7961864406779662,-4.0,1.879
384,0.0,0.0,4.2,4.2,4.2,0.0,2580.25,241,4.2,4.199,-0.0010000000000003,1800.0,181,0.7940677966101696,-5.0,1.874
385,0.0,0.0,4.2,4.2,4.2,0.0,2554.7400000002235,238,4.2,4.199,-0.0010000000000003,1800.0,181,0.7923728813559323,-6.0,1.87
386,0.0,0.0,4.2,4.2,4.2,0.0,2565.7999999998137,239,4.2,4.199,-0.0010000000000003,1800.0,181,0.7911016949152543,-7.0,1.867
387,0.0,0.0,4.2,4.2,4.2,0.0,2511.0600000005215,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.7898305084745764,-8.0,1.864
388,0.0,0.0,4.2,4.2,4.2,0.0,2539.800000000745,236,4.2,4.199,-0.0010000000000003,1800.0,181,0.7881355932203391,-9.0,1.86
