cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
378,0.0,0.0,4.2,4.2,4.2,0.0,2109.3400000007823,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8182203389830509,9.0,1.931
380,0.0,0.0,4.2,4.2,4.2,0.0,2183.4000000003725,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.8139830508474577,7.0,1.921
381,0.0,0.0,4.2,4.2,4.2,0.0,2138.089999999851,196,4.2,4.199,-0.0010000000000003,1800.0,181,0.8114406779661018,6.0,1.915
382,0.0,0.0,4.2,4.2,4.2,0.0,2200.80999999959,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.8093220338983051,5.0,1.91
383,0.0,0.0,4.2,4.2,4.2,0.0,2259.9799999995157,208,4.2,4.199,-0.0010000000000003,1800.0,181,0.8072033898305085,4.0,1.905
384,0.0,0.0,4.2,4.2,4.2,0.0,2238.9199999999255,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.8050847457627118,3.0,1.9
385,0.0,0.0,4.2,4.2,4.2,0.0,2229.9099999992177,205,4.2,4.199,-0.0010000000000003,1800.0,181,0.8029661016949153,2.0,1.895
386,0.0,0.0,4.2,4.2,4.2,0.0,2123.9500000001863,195,4.2,4.199,-0.0010000000000003,1800.0,181,0.8004237288135594,1.0,1.889
387,0.0,0.0,4.2,4.2,4.2,0.0,2257.3600000003353,208,4.2,4.199,-0.0010000000000003,1800.0,181,0.7987288135593221,0.0,1.885
388,0.0,0.0,4.2,4.2,4.2,0.0,2282.160000000149,211,4.2,4.199,-0.0010000000000003,1800.0,181,0.7961864406779662,-1.0,1.879
389,0.0,0.0,4.2,4.2,4.2,0.0,2391.399999999441,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.7940677966101696,-2.0,1.874
390,0.0,0.0,4.2,4.2,4.2,0.0,2318.140000000596,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.791949152542373,-3.0,1.869
391,0.0,0.0,4.2,4.2,4.2,0.0,2331.4399999994785,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7898305084745764,-4.0,1.864
392,0.0,0.0,4.2,4.2,4.2,0.0,2321.55999999959,215,4.2,4.199,-0.0010000000000003,1800.0,181,0.7877118644067796,-5.0,1.859
393,0.0,0.0,4.2,4.2,4.2,0.0,2495.2200000006706,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.7855932203389832,-6.0,1.854
394,0.0,0.0,4.2,4.2,4.2,0.0,2438.519999999553,226,4.2,4.199,-0.0010000000000003,1800.0,181,0.7834745762711864,-7.0,1.849
395,0.0,0.0,4.2,4.2,4.2,0.0,2473.570000000298,230,4.2,4.199,-0.0010000000000003,1800.0,181,0.78135593220339,-8.0,1.844
396,0.0,0.0,4.2,4.2,4.2,0.0,2491.2800000002608,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.7792372881355932,-9.0,1.839
397,0.0,0.0,4.2,4.2,4.2,0.0,2475.0900000007823,230,4.2,4.199,-0.0010000000000003,1800.0,181,0.7771186440677967,-10.0,1.834
398,0.0,0.0,4.2,4.2,4.2,0.0,2441.7700000004843,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7745762711864408,-11.0,1.828
399,0.0,0.0,4.2,4.2,4.2,0.0,2416.5,224,4.2,4.199,-0.0010000000000003,1800.0,181,0.7724576271186441,-12.0,1.823
