cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
361,0.0,0.0,4.2,4.2,4.2,0.0,2218.570000000298,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.8360169491525424,18.0,1.973
364,0.0,0.0,4.2,4.2,4.2,0.0,2144.3600000003353,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.8296610169491526,15.0,1.958
365,0.0,0.0,4.2,4.2,4.2,0.0,2106.2700000004843,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.827542372881356,14.0,1.953
366,0.0,0.0,4.2,4.2,4.2,0.0,2129.1800000006333,195,4.2,4.199,-0.0010000000000003,1800.0,181,0.8254237288135593,13.0,1.948
367,0.0,0.0,4.2,4.2,4.2,0.0,2197.1699999999255,202,4.2,4.199,-0.0010000000000003,1800.0,181,0.823728813559322,12.0,1.944
368,0.0,0.0,4.2,4.2,4.2,0.0,2147.0200000004843,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.8216101694915255,11.0,1.939
369,0.0,0.0,4.2,4.2,4.2,0.0,2216.9500000001863,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.8194915254237288,10.0,1.934
370,0.0,0.0,4.2,4.2,4.2,0.0,2377.7199999997392,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.8173728813559322,9.0,1.929
371,0.0,0.0,4.2,4.2,4.2,0.0,2202.410000000149,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.8152542372881356,8.0,1.924
372,0.0,0.0,4.2,4.2,4.2,0.0,2144.839999999851,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.813135593220339,7.0,1.919
373,0.0,0.0,4.2,4.2,4.2,0.0,2312.980000000447,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.8114406779661018,6.0,1.915
374,0.0,0.0,4.2,4.2,4.2,0.0,2313.649999999441,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.8093220338983051,5.0,1.91
375,0.0,0.0,4.2,4.2,4.2,0.0,2396.5400000000373,222,4.2,4.199,-0.0010000000000003,1800.0,181,0.8076271186440678,4.0,1.906
377,0.0,0.0,4.2,4.2,4.2,0.0,2537.850000000559,236,4.2,4.199,-0.0010000000000003,1800.0,181,0.8038135593220339,2.0,1.897
378,0.0,0.0,4.2,4.2,4.2,0.0,2476.600000000559,230,4.2,4.199,-0.0010000000000003,1800.0,181,0.8021186440677966,1.0,1.893
379,0.0,0.0,4.2,4.2,4.2,0.0,2384.019999999553,221,4.2,4.199,-0.0010000000000003,1800.0,181,0.8,0.0,1.888
380,0.0,0.0,4.2,4.2,4.2,0.0,2309.5699999993667,213,4.2,4.199,-0.0010000000000003,1800.0,181,0.7983050847457627,-1.0,1.884
381,0.0,0.0,4.2,4.2,4.2,0.0,2446.25,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7966101694915254,-2.0,1.88
382,0.0,0.0,4.2,4.2,4.2,0.0,2456.2599999997765,228,4.2,4.199,-0.0010000000000003,1800.0,181,0.7949152542372881,-3.0,1.876
383,0.0,0.0,4.2,4.2,4.2,0.0,2550.679999999702,238,4.2,4.199,-0.0010000000000003,1800.0,181,0.7936440677966102,-4.0,1.873
384,0.0,0.0,4.2,4.2,4.2,0.0,2234.859999999404,206,4.2,4.199,-0.0010000000000003,1800.0,181,0.7915254237288136,-5.0,1.868
385,0.0,0.0,4.2,4.2,4.2,0.0,2533.2999999998137,236,4.2,4.199,-0.0010000000000003,1800.0,181,0.7902542372881356,-6.0,1.865
386,0.0,0.0,4.2,4.2,4.2,0.0,2514.929999999702,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.7889830508474577,-7.0,1.862
387,0.0,0.0,4.2,4.2,4.2,0.0,2545.8199999993667,237,4.2,4.199,-0.0010000000000003,1800.0,181,0.7877118644067796,-8.0,1.859
388,0.0,0.0,4.2,4.2,4.2,0.0,2640.1699999999255,247,4.2,4.199,-0.0010000000000003,1800.0,181,0.7864406779661017,-9.0,1.856
389,0.0,0.0,4.2,4.2,4.2,0.0,2569.320000000298,239,4.2,4.199,-0.0010000000000003,1800.0,181,0.7851694915254238,-10.0,1.853
390,0.0,0.0,4.2,4.2,4.2,0.0,2685.1500000003725,251,4.2,4.199,-0.0010000000000003,1800.0,181,0.7843220338983051,-11.0,1.851
391,0.0,0.0,4.2,4.2,4.2,0.0,2593.4700000006706,242,4.2,4.199,-0.0010000000000003,1800.0,181,0.7834745762711864,-12.0,1.849
392,0.0,0.0,4.2,4.2,4.2,0.0,2496.410000000149,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.7826271186440679,-13.0,1.847
393,0.0,0.0,4.2,4.2,4.2,0.0,2552.019999999553,238,4.2,4.199,-0.0010000000000003,1800.0,181,0.7817796610169492,-14.0,1.845
394,0.0,0.0,4.2,4.2,4.2,0.0,2610.1899999994785,244,4.2,4.199,-0.0010000000000003,1800.0,181,0.7809322033898305,-15.0,1.843
395,0.0,0.0,4.2,4.2,4.2,0.0,2685.9500000001863,251,4.2,4.199,-0.0010000000000003,1800.0,181,0.7805084745762713,-16.0,1.842
396,0.0,0.0,4.2,4.2,4.2,0.0,2618.800000000745,244,4.2,4.199,-0.0010000000000003,1800.0,181,0.7792372881355932,-17.0,1.839
397,0.0,0.0,4.2,4.2,4.2,0.0,2578.050000000745,240,4.2,4.199,-0.0010000000000003,1800.0,181,0.7779661016949153,-18.0,1.836
398,0.0,0.0,4.2,4.2,4.2,0.0,2760.9699999997392,259,4.2,4.199,-0.0010000000000003,1800.0,181,0.7771186440677967,-19.0,1.834
399,0.0,0.0,4.2,4.2,4.2,0.0,2737.5,256,4.2,4.199,-0.0010000000000003,1800.0,181,0.776271186440678,-20.0,1.832
400,0.0,0.0,4.2,4.2,4.2,0.0,2742.7599999997765,257,4.2,4.199,-0.0010000000000003,1800.0,181,0.7754237288135594,-21.0,1.83
