cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
396,0.0,0.0,4.2,4.2,4.2,0.0,2136.7700000004843,196,4.2,4.199,-0.0010000000000003,1800.0,181,0.8139830508474577,8.0,1.921
398,0.0,0.0,4.2,4.2,4.2,0.0,2103.25,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8105932203389831,6.0,1.913
399,0.0,0.0,4.2,4.2,4.2,0.0,2101.230000000447,193,4.2,4.199,-0.0010000000000003,1800.0,181,0.8088983050847458,5.0,1.909
402,0.0,0.0,4.2,4.2,4.2,0.0,2214.339999999851,204,4.2,4.199,-0.0010000000000003,1800.0,181,0.8038135593220339,2.0,1.897
404,0.0,0.0,4.2,4.2,4.2,0.0,2155.850000000559,198,4.2,4.199,-0.0010000000000003,1800.0,181,0.8,0.0,1.888
405,0.0,0.0,4.2,4.2,4.2,0.0,2200.4799999995157,203,4.2,4.199,-0.0010000000000003,1800.0,181,0.7983050847457627,-1.0,1.884
406,0.0,0.0,4.2,4.2,4.2,0.0,2299.4500000001863,212,4.2,4.199,-0.0010000000000003,1800.0,181,0.7970338983050848,-2.0,1.881
407,0.0,0.0,4.2,4.2,4.2,0.0,2184.089999999851,201,4.2,4.199,-0.0010000000000003,1800.0,181,0.7949152542372881,-3.0,1.876
408,0.0,0.0,4.2,4.2,4.2,0.0,2149.480000000447,197,4.2,4.199,-0.0010000000000003,1800.0,181,0.7932203389830509,-4.0,1.872
409,0.0,0.0,4.2,4.2,4.2,0.0,2352.7799999993294,218,4.2,4.199,-0.0010000000000003,1800.0,181,0.7915254237288136,-5.0,1.868
410,0.0,0.0,4.2,4.2,4.2,0.0,2385.7999999998137,221,4.2,4.199,-0.0010000000000003,1800.0,181,0.7898305084745764,-6.0,1.864
411,0.0,0.0,4.2,4.2,4.2,0.0,2332.5699999993667,216,4.2,4.199,-0.0010000000000003,1800.0,181,0.7877118644067796,-7.0,1.859
412,0.0,0.0,4.2,4.2,4.2,0.0,2319.269999999553,214,4.2,4.199,-0.0010000000000003,1800.0,181,0.7860169491525424,-8.0,1.855
413,0.0,0.0,4.2,4.2,4.2,0.0,2378.480000000447,220,4.2,4.199,-0.0010000000000003,1800.0,181,0.7843220338983051,-9.0,1.851
414,0.0,0.0,4.2,4.2,4.2,0.0,2261.300000000745,209,4.2,4.199,-0.0010000000000003,1800.0,181,0.7822033898305085,-10.0,1.846
415,0.0,0.0,4.2,4.2,4.2,0.0,2417.9000000003725,224,4.2,4.199,-0.0010000000000003,1800.0,181,0.7805084745762713,-11.0,1.842
416,0.0,0.0,4.2,4.2,4.2,0.0,2438.429999999702,226,4.2,4.199,-0.0010000000000003,1800.0,181,0.778813559322034,-12.0,1.838
417,0.0,0.0,4.2,4.2,4.2,0.0,2444.4799999995157,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7766949152542373,-13.0,1.833
418,0.0,0.0,4.2,4.2,4.2,0.0,2351.5999999996275,218,4.2,4.199,-0.0010000000000003,1800.0,181,0.7745762711864408,-14.0,1.828
419,0.0,0.0,4.2,4.2,4.2,0.0,2510.7599999997765,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.7728813559322034,-15.0,1.824
420,0.0,0.0,4.2,4.2,4.2,0.0,2559.179999999702,238,4.2,4.199,-0.0010000000000003,1800.0,181,0.7707627118644068,-16.0,1.819
421,0.0,0.0,4.2,4.2,4.2,0.0,2510.8600000003353,234,4.2,4.199,-0.0010000000000003,1800.0,181,0.7686440677966102,-17.0,1.814
422,0.0,0.0,4.2,4.2,4.2,0.0,2498.5999999996275,232,4.2,4.199,-0.0010000000000003,1800.0,181,0.766949152542373,-18.0,1.81
423,0.0,0.0,4.2,4.2,4.2,0.0,2632.2800000002608,246,4.2,4.199,-0.0010000000000003,1800.0,181,0.7648305084745762,-19.0,1.805
424,0.0,0.0,4.2,4.2,4.2,0.0,2557.370000000112,238,4.2,4.199,-0.0010000000000003,1800.0,181,0.763135593220339,-20.0,1.801
425,0.0,0.0,4.2,4.2,4.2,0.0,2570.519999999553,240,4.2,4.199,-0.0010000000000003,1800.0,181,0.7610169491525425,-21.0,1.796
426,0.0,0.0,4.2,4.2,4.2,0.0,2743.4500000001863,257,4.2,4.199,-0.0010000000000003,1800.0,181,0.7593220338983051,-22.0,1.792
427,0.0,0.0,4.2,4.2,4.2,0.0,2578.80999999959,240,4.2,4.199,-0.0010000000000003,1800.0,181,0.7567796610169492,-23.0,1.786
428,0.0,0.0,4.2,4.2,4.2,0.0,2632.660000000149,246,4.2,4.199,-0.0010000000000003,1800.0,181,0.7546610169491526,-24.0,1.781
429,0.0,0.0,4.2,4.2,4.2,0.0,2443.5699999993667,227,4.2,4.199,-0.0010000000000003,1800.0,181,0.7521186440677966,-25.0,1.775
430,0.0,0.0,4.2,4.2,4.2,0.0,2744.6599999992177,257,4.2,4.199,-0.0010000000000003,1800.0,181,0.7508474576271187,-26.0,1.772
