cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
2,2.945636363636203e-06,0.6438212583666769,4.3449,4.3396,4.341681818181818,-0.5536283539886209,570.0,20,4.3449,4.3371,-0.0077999999999995,300.0,11,1.0175729310344828,1350.0,59.01923
3,2.838181818181963e-06,0.6982085249631109,4.3449,4.3396,4.341627272727273,-0.3924405515992348,570.0,20,4.3449,4.3371,-0.0077999999999995,300.0,11,1.0175170689655173,1349.0,59.01599
4,3.1436363636362735e-06,0.5105576882244812,4.3449,4.339,4.341518181818182,-0.2659976006659752,570.0,20,4.3449,4.3371,-0.0077999999999995,300.0,11,1.0173105172413792,1348.0,59.00401
5,2.7489090909091194e-06,0.7413090935435017,4.3452,4.3399,4.341909090909091,-0.1544644644040493,570.0,20,4.3452,4.3374,-0.0078000000000004,300.0,11,1.0172306896551724,1347.0,58.99938
6,2.804545454545529e-06,0.6378752984833167,4.3452,4.3399,4.341963636363636,-0.3948232809455119,570.0,20,4.3452,4.3377,-0.0075000000000002,300.0,11,1.0175331034482755,1346.0,59.01692
7,2.8896363636361977e-06,0.5984562427769227,4.3449,4.3396,4.341718181818181,-0.5061719040506474,570.0,20,4.3449,4.3374,-0.0075000000000002,300.0,11,1.0168636206896553,1345.0,58.97809
8,2.945636363636203e-06,0.6438212583666769,4.3449,4.3396,4.341681818181818,-0.5536283539886209,570.0,20,4.3449,4.3374,-0.0075000000000002,300.0,11,1.016674827586207,1344.0,58.96714
9,3.0787272727271093e-06,0.5579453460064485,4.3446,4.339,4.341354545454545,-0.5506902549660762,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0164720689655171,1343.0,58.95538
10,3.0787272727271093e-06,0.5579453460064485,4.3446,4.339,4.341354545454545,-0.5506902549660762,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.016336896551724,1342.0,58.94754
11,3.0787272727271093e-06,0.5579453460064485,4.3446,4.339,4.341354545454545,-0.5506902549660762,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0162870689655172,1341.0,58.94465
12,2.8407272727275852e-06,0.682799435613833,4.3455,4.3402,4.342254545454546,-0.4087915697277702,570.0,20,4.3455,4.3381,-0.0074000000000005,300.0,11,1.0163777586206897,1340.0,58.94991
13,2.945636363636203e-06,0.6438212583666769,4.3449,4.3396,4.341681818181818,-0.5536283539886209,570.0,20,4.3449,4.3374,-0.0075000000000002,300.0,11,1.0163458620689654,1339.0,58.94806
14,3.050909090908887e-06,0.4634080046115916,4.3446,4.339,4.34140909090909,-0.5898793448868775,572.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0158112068965517,1338.0,58.91705
15,2.97690909090885e-06,0.6239492805192434,4.3446,4.339,4.341290909090908,-0.4036397945725589,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0159305172413793,1337.0,58.92397
16,2.7336363636359738e-06,0.6211318589209722,4.3443,4.339,4.341181818181817,-0.4477557243919783,570.0,20,4.3443,4.3371,-0.0071999999999992,300.0,11,1.0158777586206895,1336.0,58.92091
17,3.027636363635779e-06,0.4912557943191228,4.3443,4.3387,4.341018181818182,-0.4346565128650042,570.0,20,4.3443,4.3368,-0.0074999999999993,300.0,11,1.0158101724137931,1335.0,58.91699
18,2.8907272727266403e-06,0.4989980780526682,4.3443,4.339,4.341154545454545,-0.4748053808637236,570.0,20,4.3443,4.3371,-0.0071999999999992,300.0,11,1.015814655172414,1334.0,58.91725
19,2.858545454545143e-06,0.7351288692374066,4.3446,4.339,4.341236363636363,-0.0173207490891442,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0158431034482758,1333.0,58.9189
20,2.936545454545175e-06,0.6855591475583914,4.3446,4.339,4.341263636363636,-0.244485628615664,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0157551724137932,1332.0,58.9138
21,2.952181818181559e-06,0.5570236993004898,4.3446,4.339,4.341327272727272,-0.4172185283830254,570.0,20,4.3446,4.3371,-0.0074999999999993,300.0,11,1.0158162068965515,1331.0,58.91734
22,3.066909090908416e-06,0.5296593998405721,4.3443,4.3387,4.340990909090909,-0.4754713523052585,570.0,20,4.3443,4.3371,-0.0071999999999992,300.0,11,1.0155501724137932,1330.0,58.90191
23,3.066909090908416e-06,0.5296593998405721,4.3443,4.3387,4.340990909090909,-0.4754713523052585,570.0,20,4.3443,4.3368,-0.0074999999999993,300.0,11,1.015546379310345,1329.0,58.90169
24,3.066909090908416e-06,0.5296593998405721,4.3443,4.3387,4.340990909090909,-0.4754713523052585,570.0,20,4.3443,4.3368,-0.0074999999999993,300.0,11,1.0155706896551724,1328.0,58.9031
25,2.6649090909086726e-06,0.6166311422217927,4.3443,4.339,4.34120909090909,-0.3640475067513331,570.0,20,4.3443,4.3371,-0.0071999999999992,300.0,11,1.0155079310344828,1327.0,58.89946
26,2.941999999999396e-06,0.5749018503422502,4.3443,4.339,4.3411,-0.4692165459477779,570.0,20,4.3443,4.3371,-0.0071999999999992,300.0,11,1.0156139655172414,1326.0,58.90561
