cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
741,2.6094574622095625e-08,-0.4215130973000505,3.6003628,3.5997171,3.6000578341463414,-0.5507242079532628,315.00359999993816,87,3.6000853,3.5998516,-0.0002336999999998,300.0,82,0.9684427272727272,1496.0,1.065287
850,1.6500709288868698e-08,-0.0478640337121737,3.6003199,3.599781,3.600032973493976,-0.3126679342624636,320.00749999983236,91,3.6000938,3.6001387,4.490000000023642e-05,300.0,83,0.9635502727272728,1387.0,1.0599053
905,2.4073642291314754e-08,0.0092952193104681,3.6003265,3.5996895,3.600000849411766,-0.7643243900496781,335.001600000076,94,3.6001701,3.6000481,-0.0001220000000001,300.0,85,0.9607411818181818,1332.0,1.0568153
944,2.0055840968531667e-08,-0.4023564624401879,3.6003075,3.5997362,3.6000542209302333,-0.4353672443585155,355.00370000023395,103,3.6000614,3.6000881,2.6699999999824087e-05,300.0,86,0.958297818181818,1293.0,1.0541276
998,1.9862726322123443e-08,0.5227976456019946,3.6003361,3.5997801,3.5999876458823517,-0.6645829155195369,360.00680000009015,102,3.6001282,3.6002779,0.0001497000000001,300.0,85,0.9562713636363636,1239.0,1.0518985
1108,2.0155330156792816e-08,0.0914367612044048,3.6003008,3.5997314,3.600014007291667,-0.8323591827775583,359.0395999997854,113,3.600152,3.5999851,-0.0001668999999999,300.0,96,0.951631,1129.0,1.0467941
1335,1.9968747256842605e-08,-0.207339464184736,3.6003208,3.599721,3.6000447121951216,-0.3505284099115018,331.47489999979734,91,3.6000872,3.6001329,4.570000000025942e-05,300.0,82,0.9382975454545454,902.0,1.0321273
1423,2.4835397987681505e-08,0.0670039973145195,3.6003418,3.5997086,3.5999971965116284,-0.9931017832481404,340.1822999995202,97,3.6002293,3.6002941,6.480000000008701e-05,300.0,86,0.9352426363636362,814.0,1.0287669
1860,1.8957082024626343e-08,0.2338417423128974,3.6003284,3.5997467,3.6000201558139535,-0.3845361521685726,378.41949999984354,110,3.6000862,3.6002331,0.0001469000000002,300.0,86,0.8920309727272726,377.0,0.98123407
1895,2.9063626153842205e-08,-0.0229843349590937,3.600316,3.5996904,3.600005330769231,-1.08742232628706,346.0580000001937,107,3.6001768,3.6002312,5.440000000023204e-05,300.0,91,0.8869265999999999,342.0,0.97561926
1908,1.6058626391729013e-08,-0.126843437830399,3.6003008,3.5997105,3.6000578505617984,-0.0242746768290791,307.49170000012964,91,3.6000443,3.6001787,0.0001343999999998,300.0,89,0.8843877636363636,329.0,0.97282654
1936,2.1416762101776917e-08,0.1200934053306556,3.6003075,3.5996952,3.600003636585366,-0.6410659104110321,359.4977000001818,99,3.599988,3.6002483,0.0002602999999998,300.0,82,0.8798615999999999,301.0,0.96784776
1989,2.5606864044944897e-08,-0.1760796588713756,3.6003151,3.5997171,3.600009866666667,-0.8244054888454269,413.615399999544,122,3.6001129,3.6002054,9.250000000005087e-05,300.0,90,0.8711575363636364,248.0,0.95827329
