cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,1494.2999999999884,132,4.2,4.199,-0.0010000000000003,300.0,31,0.9957627118644068,322.0,2.35
2,0.0,0.0,4.2,4.2,4.2,0.0,1421.1300000000049,125,4.2,4.199,-0.0010000000000003,300.0,31,0.996186440677966,321.0,2.351
3,0.0,0.0,4.2,4.2,4.2,0.0,1342.9500000000116,117,4.2,4.199,-0.0010000000000003,300.0,31,0.996186440677966,320.0,2.351
4,0.0,0.0,4.2,4.2,4.2,0.0,1245.5999999999767,107,4.2,4.199,-0.0010000000000003,300.0,31,0.996186440677966,319.0,2.351
5,0.0,0.0,4.2,4.2,4.2,0.0,1474.8699999999951,130,4.2,4.199,-0.0010000000000003,300.0,31,0.9966101694915254,318.0,2.352
6,0.0,0.0,4.2,4.2,4.2,0.0,1438.859999999986,126,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,317.0,2.353
7,0.0,0.0,4.2,4.2,4.2,0.0,1432.5199999999604,126,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,316.0,2.353
8,0.0,0.0,4.2,4.2,4.2,0.0,1219.960000000021,104,4.2,4.199,-0.0010000000000003,300.0,31,0.9966101694915254,315.0,2.352
9,0.0,0.0,4.2,4.2,4.2,0.0,1429.1300000000049,125,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,314.0,2.353
10,0.0,0.0,4.2,4.2,4.2,0.0,1277.3799999999464,110,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,313.0,2.353
11,0.0,0.0,4.2,4.2,4.2,0.0,1318.8099999999977,114,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,312.0,2.353
12,0.0,0.0,4.2,4.2,4.2,0.0,1289.100000000035,111,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,311.0,2.353
13,0.0,0.0,4.2,4.2,4.2,0.0,1302.1399999999558,113,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,310.0,2.353
14,0.0,0.0,4.2,4.2,4.2,0.0,1260.2299999999814,109,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,309.0,2.354
15,0.0,0.0,4.2,4.2,4.2,0.0,1087.0,91,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,308.0,2.353
16,0.0,0.0,4.2,4.2,4.2,0.0,1158.6599999999744,98,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,307.0,2.353
17,0.0,0.0,4.2,4.2,4.2,0.0,1286.179999999993,111,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,306.0,2.354
18,0.0,0.0,4.2,4.2,4.2,0.0,1249.5200000000186,107,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,305.0,2.354
19,0.0,0.0,4.2,4.2,4.2,0.0,1334.210000000021,116,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,304.0,2.354
20,0.0,0.0,4.2,4.2,4.2,0.0,1141.070000000007,97,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,303.0,2.353
21,0.0,0.0,4.2,4.2,4.2,0.0,1291.8800000000049,112,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,302.0,2.354
22,0.0,0.0,4.2,4.2,4.2,0.0,1173.9700000000305,100,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,301.0,2.353
23,0.0,0.0,4.2,4.2,4.2,0.0,1199.9799999999814,102,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,300.0,2.354
24,0.0,0.0,4.2,4.2,4.2,0.0,1268.3400000000838,109,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,299.0,2.354
25,0.0,0.0,4.2,4.2,4.2,0.0,1163.969999999972,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,298.0,2.354
26,0.0,0.0,4.2,4.2,4.2,0.0,1174.2900000000373,100,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,297.0,2.354
27,0.0,0.0,4.2,4.2,4.2,0.0,1146.0999999999767,97,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,296.0,2.354
28,0.0,0.0,4.2,4.2,4.2,0.0,1188.7399999999907,101,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,295.0,2.354
29,0.0,0.0,4.2,4.2,4.2,0.0,1128.7700000000186,95,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,294.0,2.353
30,0.0,0.0,4.2,4.2,4.2,0.0,1140.859999999986,97,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,293.0,2.347
31,0.0,0.0,4.2,4.2,4.2,0.0,1228.0899999999674,105,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,292.0,2.353
32,0.0,0.0,4.2,4.2,4.2,0.0,1167.5499999999302,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,291.0,2.353
33,0.0,0.0,4.2,4.2,4.2,0.0,1176.1500000000233,100,4.2,4.199,-0.0010000000000003,300.0,31,0.9974576271186442,290.0,2.354
34,0.0,0.0,4.2,4.2,4.2,0.0,1168.890000000014,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,289.0,2.353
35,0.0,0.0,4.2,4.2,4.2,0.0,1077.2100000000792,90,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,288.0,2.353
36,0.0,0.0,4.2,4.2,4.2,0.0,1106.6500000000233,93,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,287.0,2.353
37,0.0,0.0,4.2,4.2,4.2,0.0,1104.1999999999534,93,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,286.0,2.353
38,0.0,0.0,4.2,4.2,4.2,0.0,1235.8399999999674,106,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,285.0,2.353
39,0.0,0.0,4.2,4.2,4.2,0.0,1160.7399999999907,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,284.0,2.353
40,0.0,0.0,4.2,4.2,4.2,0.0,1164.9799999999814,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,283.0,2.353
41,0.0,0.0,4.2,4.2,4.2,0.0,1047.829999999958,87,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,282.0,2.353
42,0.0,0.0,4.2,4.2,4.2,0.0,1074.2099999999627,90,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,281.0,2.353
43,0.0,0.0,4.2,4.2,4.2,0.0,1089.1999999999534,91,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,280.0,2.353
44,0.0,0.0,4.2,4.2,4.2,0.0,1126.1499999999069,95,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,279.0,2.353
45,0.0,0.0,4.2,4.2,4.2,0.0,1179.6800000000512,100,4.2,4.199,-0.0010000000000003,300.0,31,0.9970338983050848,278.0,2.353
46,0.0,0.0,4.2,4.2,4.2,0.0,1216.4000000000233,104,4.2,4.199,-0.0010000000000003,300.0,31,0.9966101694915254,277.0,2.352
47,0.0,0.0,4.2,4.2,4.2,0.0,1104.689999999944,93,4.2,4.199,-0.0010000000000003,300.0,31,0.9966101694915254,276.0,2.352
48,0.0,0.0,4.2,4.2,4.2,0.0,1143.9500000000698,97,4.2,4.199,-0.0010000000000003,300.0,31,0.9911016949152542,275.0,2.339
49,0.0,0.0,4.2,4.2,4.2,0.0,1108.719999999972,93,4.2,4.199,-0.0010000000000003,300.0,31,0.9923728813559324,274.0,2.342
50,0.0,0.0,4.2,4.2,4.2,0.0,1030.719999999972,86,4.2,4.199,-0.0010000000000003,300.0,31,0.9927966101694916,273.0,2.343
51,0.0,0.0,4.2,4.2,4.2,0.0,1106.6999999999534,93,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,272.0,2.344
52,0.0,0.0,4.2,4.2,4.2,0.0,1111.089999999851,94,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,271.0,2.344
53,0.0,0.0,4.2,4.2,4.2,0.0,1043.339999999851,87,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,270.0,2.344
54,0.0,0.0,4.2,4.2,4.2,0.0,1088.1200000001118,91,4.2,4.199,-0.0010000000000003,300.0,31,0.9936440677966104,269.0,2.345
55,0.0,0.0,4.2,4.2,4.2,0.0,1069.9099999999162,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9936440677966104,268.0,2.345
56,0.0,0.0,4.2,4.2,4.2,0.0,1075.3300000000745,90,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,267.0,2.344
57,0.0,0.0,4.2,4.2,4.2,0.0,1060.9599999999627,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,266.0,2.344
58,0.0,0.0,4.2,4.2,4.2,0.0,944.9799999999814,77,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,265.0,2.344
59,0.0,0.0,4.2,4.2,4.2,0.0,1001.7900000000373,83,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,264.0,2.344
60,0.0,0.0,4.2,4.2,4.2,0.0,1064.6799999999348,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9932203389830508,263.0,2.344
61,0.0,0.0,4.2,4.2,4.2,0.0,1085.8499999998603,91,4.2,4.199,-0.0010000000000003,300.0,31,0.9927966101694916,262.0,2.343
62,0.0,0.0,4.2,4.2,4.2,0.0,1058.7999999998135,88,4.2,4.199,-0.0010000000000003,300.0,31,0.9927966101694916,261.0,2.343
63,0.0,0.0,4.2,4.2,4.2,0.0,1071.4799999999814,90,4.2,4.199,-0.0010000000000003,300.0,31,0.9923728813559324,260.0,2.342
64,0.0,0.0,4.2,4.2,4.2,0.0,1010.7300000002142,84,4.2,4.199,-0.0010000000000003,300.0,31,0.9923728813559324,259.0,2.342
65,0.0,0.0,4.2,4.2,4.2,0.0,1061.969999999972,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9923728813559324,258.0,2.342
66,0.0,0.0,4.2,4.2,4.2,0.0,1051.7399999999907,88,4.2,4.199,-0.0010000000000003,300.0,31,0.991949152542373,257.0,2.341
67,0.0,0.0,4.2,4.2,4.2,0.0,1053.1699999999255,88,4.2,4.199,-0.0010000000000003,300.0,31,0.991949152542373,256.0,2.341
68,0.0,0.0,4.2,4.2,4.2,0.0,1056.910000000149,88,4.2,4.199,-0.0010000000000003,300.0,31,0.991949152542373,255.0,2.341
69,0.0,0.0,4.2,4.2,4.2,0.0,1119.0200000000186,94,4.2,4.199,-0.0010000000000003,300.0,31,0.9915254237288136,254.0,2.34
70,0.0,0.0,4.2,4.2,4.2,0.0,1026.6400000001304,85,4.2,4.199,-0.0010000000000003,300.0,31,0.9915254237288136,253.0,2.34
71,0.0,0.0,4.2,4.2,4.2,0.0,1122.0499999998135,95,4.2,4.199,-0.0010000000000003,300.0,31,0.9911016949152542,252.0,2.339
72,0.0,0.0,4.2,4.2,4.2,0.0,1076.7699999997858,90,4.2,4.199,-0.0010000000000003,300.0,31,0.9911016949152542,251.0,2.339
73,0.0,0.0,4.2,4.2,4.2,0.0,976.8000000000466,80,4.2,4.199,-0.0010000000000003,300.0,31,0.990677966101695,250.0,2.338
74,0.0,0.0,4.2,4.2,4.2,0.0,1070.0400000000373,90,4.2,4.199,-0.0010000000000003,300.0,31,0.990677966101695,249.0,2.338
75,0.0,0.0,4.2,4.2,4.2,0.0,1057.030000000028,88,4.2,4.199,-0.0010000000000003,300.0,31,0.9902542372881358,248.0,2.337
76,0.0,0.0,4.2,4.2,4.2,0.0,1037.5900000000838,86,4.2,4.199,-0.0010000000000003,300.0,31,0.9902542372881358,247.0,2.337
77,0.0,0.0,4.2,4.2,4.2,0.0,1081.1400000001304,91,4.2,4.199,-0.0010000000000003,300.0,31,0.9898305084745762,246.0,2.336
78,0.0,0.0,4.2,4.2,4.2,0.0,1069.3600000001024,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9898305084745762,245.0,2.336
79,0.0,0.0,4.2,4.2,4.2,0.0,985.75,81,4.2,4.199,-0.0010000000000003,300.0,31,0.989406779661017,244.0,2.335
80,0.0,0.0,4.2,4.2,4.2,0.0,1015.6699999999256,84,4.2,4.199,-0.0010000000000003,300.0,31,0.989406779661017,243.0,2.335
81,0.0,0.0,4.2,4.2,4.2,0.0,1067.5900000000838,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9889830508474576,242.0,2.334
82,0.0,0.0,4.2,4.2,4.2,0.0,1122.6299999998882,95,4.2,4.199,-0.0010000000000003,300.0,31,0.9889830508474576,241.0,2.334
83,0.0,0.0,4.2,4.2,4.2,0.0,1044.5499999998135,87,4.2,4.199,-0.0010000000000003,300.0,31,0.9885593220338984,240.0,2.333
84,0.0,0.0,4.2,4.2,4.2,0.0,1129.5800000000745,95,4.2,4.199,-0.0010000000000003,300.0,31,0.9885593220338984,239.0,2.333
85,0.0,0.0,4.2,4.2,4.2,0.0,1032.310000000056,86,4.2,4.199,-0.0010000000000003,300.0,31,0.988135593220339,238.0,2.332
86,0.0,0.0,4.2,4.2,4.2,0.0,1062.1200000001118,89,4.2,4.199,-0.0010000000000003,300.0,31,0.988135593220339,237.0,2.332
87,0.0,0.0,4.2,4.2,4.2,0.0,1046.219999999972,87,4.2,4.199,-0.0010000000000003,300.0,31,0.9877118644067796,236.0,2.331
88,0.0,0.0,4.2,4.2,4.2,0.0,1038.5900000000838,86,4.2,4.199,-0.0010000000000003,300.0,31,0.9872881355932204,235.0,2.33
89,0.0,0.0,4.2,4.2,4.2,0.0,1098.719999999972,92,4.2,4.199,-0.0010000000000003,300.0,31,0.9872881355932204,234.0,2.33
90,0.0,0.0,4.2,4.2,4.2,0.0,1045.8899999998976,87,4.2,4.199,-0.0010000000000003,300.0,31,0.9868644067796613,233.0,2.329
91,0.0,0.0,4.2,4.2,4.2,0.0,1037.3900000001304,86,4.2,4.199,-0.0010000000000003,300.0,31,0.9868644067796613,232.0,2.329
92,0.0,0.0,4.2,4.2,4.2,0.0,1033.4799999999814,86,4.2,4.199,-0.0010000000000003,300.0,31,0.9864406779661016,231.0,2.328
93,0.0,0.0,4.2,4.2,4.2,0.0,1029.5400000000373,85,4.2,4.199,-0.0010000000000003,300.0,31,0.9864406779661016,230.0,2.328
94,0.0,0.0,4.2,4.2,4.2,0.0,1056.219999999972,88,4.2,4.199,-0.0010000000000003,300.0,31,0.9860169491525425,229.0,2.327
95,0.0,0.0,4.2,4.2,4.2,0.0,994.9199999999256,82,4.2,4.199,-0.0010000000000003,300.0,31,0.9855932203389832,228.0,2.326
96,0.0,0.0,4.2,4.2,4.2,0.0,1039.6699999999255,86,4.2,4.199,-0.0010000000000003,300.0,31,0.9855932203389832,227.0,2.326
