cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2226.1199999999953,205,4.2,4.199,-0.0010000000000003,300.0,31,0.9351694915254236,272.0,2.207
2,0.0,0.0,4.2,4.2,4.2,0.0,2235.350000000035,206,4.2,4.199,-0.0010000000000003,300.0,31,0.9351694915254236,271.0,2.207
3,0.0,0.0,4.2,4.2,4.2,0.0,2270.829999999958,210,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,270.0,2.203
4,0.0,0.0,4.2,4.2,4.2,0.0,2224.7399999999907,205,4.2,4.199,-0.0010000000000003,300.0,31,0.9343220338983051,269.0,2.205
5,0.0,0.0,4.2,4.2,4.2,0.0,2299.640000000014,212,4.2,4.199,-0.0010000000000003,300.0,31,0.9372881355932204,268.0,2.212
6,0.0,0.0,4.2,4.2,4.2,0.0,2020.8800000000049,185,4.2,4.199,-0.0010000000000003,300.0,31,0.9351694915254236,267.0,2.207
7,0.0,0.0,4.2,4.2,4.2,0.0,2215.679999999993,204,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,266.0,2.203
8,0.0,0.0,4.2,4.2,4.2,0.0,2158.2900000000373,198,4.2,4.199,-0.0010000000000003,300.0,31,0.9322033898305084,265.0,2.2
9,0.0,0.0,4.2,4.2,4.2,0.0,2130.4000000000233,196,4.2,4.199,-0.0010000000000003,300.0,31,0.93135593220339,264.0,2.198
10,0.0,0.0,4.2,4.2,4.2,0.0,2194.0100000000093,202,4.2,4.199,-0.0010000000000003,300.0,31,0.93135593220339,263.0,2.198
11,0.0,0.0,4.2,4.2,4.2,0.0,1982.3300000000163,181,4.2,4.199,-0.0010000000000003,300.0,31,0.9309322033898306,262.0,2.197
12,0.0,0.0,4.2,4.2,4.2,0.0,2087.429999999993,191,4.2,4.199,-0.0010000000000003,300.0,31,0.93135593220339,261.0,2.198
13,0.0,0.0,4.2,4.2,4.2,0.0,2048.6999999999534,187,4.2,4.199,-0.0010000000000003,300.0,31,0.9343220338983051,260.0,2.205
14,0.0,0.0,4.2,4.2,4.2,0.0,1906.359999999986,173,4.2,4.199,-0.0010000000000003,300.0,31,0.9351694915254236,259.0,2.207
15,0.0,0.0,4.2,4.2,4.2,0.0,1853.320000000007,168,4.2,4.199,-0.0010000000000003,300.0,31,0.9322033898305084,258.0,2.2
16,0.0,0.0,4.2,4.2,4.2,0.0,1967.5200000000184,179,4.2,4.199,-0.0010000000000003,300.0,31,0.9309322033898306,257.0,2.197
17,0.0,0.0,4.2,4.2,4.2,0.0,1976.6699999999837,180,4.2,4.199,-0.0010000000000003,300.0,31,0.9300847457627118,256.0,2.195
18,0.0,0.0,4.2,4.2,4.2,0.0,1972.6599999999744,180,4.2,4.199,-0.0010000000000003,300.0,31,0.9296610169491526,255.0,2.194
19,0.0,0.0,4.2,4.2,4.2,0.0,2041.0599999999977,187,4.2,4.199,-0.0010000000000003,300.0,31,0.9300847457627118,254.0,2.195
20,0.0,0.0,4.2,4.2,4.2,0.0,1874.7399999999907,170,4.2,4.199,-0.0010000000000003,300.0,31,0.9305084745762712,253.0,2.196
21,0.0,0.0,4.2,4.2,4.2,0.0,1968.25,179,4.2,4.199,-0.0010000000000003,300.0,31,0.932627118644068,252.0,2.201
22,0.0,0.0,4.2,4.2,4.2,0.0,1771.219999999972,160,4.2,4.199,-0.0010000000000003,300.0,31,0.9360169491525424,251.0,2.209
