cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,1535.4400000000023,136,4.2,4.199,-0.0010000000000003,300.0,31,0.9936440677966104,344.0,2.345
2,0.0,0.0,4.2,4.2,4.2,0.0,1407.2000000000116,123,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,343.0,2.346
3,0.0,0.0,4.2,4.2,4.2,0.0,1459.710000000021,128,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,342.0,2.346
4,0.0,0.0,4.2,4.2,4.2,0.0,1364.5599999999977,119,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,341.0,2.346
5,0.0,0.0,4.2,4.2,4.2,0.0,1391.179999999993,122,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,340.0,2.347
6,0.0,0.0,4.2,4.2,4.2,0.0,1378.1100000000442,120,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,339.0,2.347
7,0.0,0.0,4.2,4.2,4.2,0.0,1171.0199999999604,100,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,338.0,2.346
8,0.0,0.0,4.2,4.2,4.2,0.0,1297.3899999999558,112,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,337.0,2.347
9,0.0,0.0,4.2,4.2,4.2,0.0,1332.7399999999907,116,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,336.0,2.347
10,0.0,0.0,4.2,4.2,4.2,0.0,1351.320000000007,118,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,335.0,2.347
11,0.0,0.0,4.2,4.2,4.2,0.0,1305.1900000000023,113,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,334.0,2.347
12,0.0,0.0,4.2,4.2,4.2,0.0,1299.9099999999744,112,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,333.0,2.347
13,0.0,0.0,4.2,4.2,4.2,0.0,1296.8399999999674,112,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,332.0,2.347
14,0.0,0.0,4.2,4.2,4.2,0.0,1230.3799999999464,106,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,331.0,2.347
15,0.0,0.0,4.2,4.2,4.2,0.0,1303.7200000000305,113,4.2,4.199,-0.0010000000000003,300.0,31,0.994915254237288,330.0,2.348
16,0.0,0.0,4.2,4.2,4.2,0.0,1276.7299999999814,110,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,329.0,2.347
17,0.0,0.0,4.2,4.2,4.2,0.0,1170.7999999999884,100,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,328.0,2.347
18,0.0,0.0,4.2,4.2,4.2,0.0,1254.5299999999695,108,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,327.0,2.347
19,0.0,0.0,4.2,4.2,4.2,0.0,1200.6300000000049,103,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,326.0,2.347
20,0.0,0.0,4.2,4.2,4.2,0.0,1145.640000000014,97,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,325.0,2.347
21,0.0,0.0,4.2,4.2,4.2,0.0,1090.6199999999951,92,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,324.0,2.346
22,0.0,0.0,4.2,4.2,4.2,0.0,1251.329999999958,108,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,323.0,2.347
23,0.0,0.0,4.2,4.2,4.2,0.0,1167.3300000000745,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,322.0,2.347
24,0.0,0.0,4.2,4.2,4.2,0.0,1156.9199999999255,98,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,321.0,2.347
25,0.0,0.0,4.2,4.2,4.2,0.0,1169.939999999944,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,320.0,2.347
26,0.0,0.0,4.2,4.2,4.2,0.0,1206.2999999999302,103,4.2,4.199,-0.0010000000000003,300.0,31,0.9944915254237288,319.0,2.347
27,0.0,0.0,4.2,4.2,4.2,0.0,1099.25,92,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,318.0,2.346
28,0.0,0.0,4.2,4.2,4.2,0.0,1069.8199999999488,89,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,317.0,2.346
29,0.0,0.0,4.2,4.2,4.2,0.0,1132.8899999998976,96,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,316.0,2.346
30,0.0,0.0,4.2,4.2,4.2,0.0,1160.420000000042,99,4.2,4.199,-0.0010000000000003,300.0,31,0.9940677966101696,315.0,2.346
