cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,1582.0,141,4.2,4.199,-0.0010000000000003,300.0,31,0.925,190.0,2.183
2,0.0,0.0,4.2,4.2,4.2,0.0,1768.9000000000233,159,4.2,4.199,-0.0010000000000003,300.0,31,0.9258474576271188,189.0,2.185
3,0.0,0.0,4.2,4.2,4.2,0.0,1747.1200000000536,157,4.2,4.199,-0.0010000000000003,300.0,31,0.926271186440678,188.0,2.186
4,0.0,0.0,4.2,4.2,4.2,0.0,1684.6199999999951,151,4.2,4.199,-0.0010000000000003,300.0,31,0.9266949152542372,187.0,2.187
5,0.0,0.0,4.2,4.2,4.2,0.0,1758.789999999979,158,4.2,4.199,-0.0010000000000003,300.0,31,0.9271186440677968,186.0,2.188
6,0.0,0.0,4.2,4.2,4.2,0.0,1527.140000000014,135,4.2,4.199,-0.0010000000000003,300.0,31,0.9271186440677968,185.0,2.188
7,0.0,0.0,4.2,4.2,4.2,0.0,1589.2299999999814,141,4.2,4.199,-0.0010000000000003,300.0,31,0.927542372881356,184.0,2.189
8,0.0,0.0,4.2,4.2,4.2,0.0,1636.8400000000256,146,4.2,4.199,-0.0010000000000003,300.0,31,0.9279661016949152,183.0,2.19
9,0.0,0.0,4.2,4.2,4.2,0.0,1389.0,121,4.2,4.199,-0.0010000000000003,300.0,31,0.9279661016949152,182.0,2.19
10,0.0,0.0,4.2,4.2,4.2,0.0,1523.390000000014,135,4.2,4.199,-0.0010000000000003,300.0,31,0.9283898305084746,181.0,2.191
11,0.0,0.0,4.2,4.2,4.2,0.0,1508.4800000000396,133,4.2,4.199,-0.0010000000000003,300.0,31,0.9283898305084746,180.0,2.191
12,0.0,0.0,4.2,4.2,4.2,0.0,1553.6699999999837,138,4.2,4.199,-0.0010000000000003,300.0,31,0.928813559322034,179.0,2.192
13,0.0,0.0,4.2,4.2,4.2,0.0,1479.0,130,4.2,4.199,-0.0010000000000003,300.0,31,0.928813559322034,178.0,2.192
14,0.0,0.0,4.2,4.2,4.2,0.0,1478.219999999972,130,4.2,4.199,-0.0010000000000003,300.0,31,0.9292372881355933,177.0,2.193
15,0.0,0.0,4.2,4.2,4.2,0.0,1508.4500000000116,133,4.2,4.199,-0.0010000000000003,300.0,31,0.9296610169491526,176.0,2.194
16,0.0,0.0,4.2,4.2,4.2,0.0,1509.2999999999884,133,4.2,4.199,-0.0010000000000003,300.0,31,0.9296610169491526,175.0,2.194
17,0.0,0.0,4.2,4.2,4.2,0.0,1590.179999999993,142,4.2,4.199,-0.0010000000000003,300.0,31,0.9300847457627118,174.0,2.195
18,0.0,0.0,4.2,4.2,4.2,0.0,1560.6900000000023,139,4.2,4.199,-0.0010000000000003,300.0,31,0.9305084745762712,173.0,2.196
19,0.0,0.0,4.2,4.2,4.2,0.0,1388.820000000007,121,4.2,4.199,-0.0010000000000003,300.0,31,0.9300847457627118,172.0,2.195
20,0.0,0.0,4.2,4.2,4.2,0.0,1435.359999999986,126,4.2,4.199,-0.0010000000000003,300.0,31,0.9305084745762712,171.0,2.196
21,0.0,0.0,4.2,4.2,4.2,0.0,1528.2700000000186,135,4.2,4.199,-0.0010000000000003,300.0,31,0.9309322033898306,170.0,2.197
22,0.0,0.0,4.2,4.2,4.2,0.0,1514.9099999999744,134,4.2,4.199,-0.0010000000000003,300.0,31,0.9309322033898306,169.0,2.197
23,0.0,0.0,4.2,4.2,4.2,0.0,1546.0200000000186,137,4.2,4.199,-0.0010000000000003,300.0,31,0.93135593220339,168.0,2.198
24,0.0,0.0,4.2,4.2,4.2,0.0,1465.7399999999907,129,4.2,4.199,-0.0010000000000003,300.0,31,0.93135593220339,167.0,2.198
25,0.0,0.0,4.2,4.2,4.2,0.0,1444.6300000000049,127,4.2,4.199,-0.0010000000000003,300.0,31,0.9317796610169492,166.0,2.199
26,0.0,0.0,4.2,4.2,4.2,0.0,1491.6199999999951,132,4.2,4.199,-0.0010000000000003,300.0,31,0.9317796610169492,165.0,2.199
27,0.0,0.0,4.2,4.2,4.2,0.0,1373.4299999999348,120,4.2,4.199,-0.0010000000000003,300.0,31,0.9317796610169492,164.0,2.199
28,0.0,0.0,4.2,4.2,4.2,0.0,1249.0100000000093,107,4.2,4.199,-0.0010000000000003,300.0,31,0.9317796610169492,163.0,2.199
29,0.0,0.0,4.2,4.2,4.2,0.0,1369.7600000000093,119,4.2,4.199,-0.0010000000000003,300.0,31,0.9322033898305084,162.0,2.2
30,0.0,0.0,4.2,4.2,4.2,0.0,1443.3200000000652,127,4.2,4.199,-0.0010000000000003,300.0,31,0.9322033898305084,161.0,2.2
31,0.0,0.0,4.2,4.2,4.2,0.0,1341.719999999972,117,4.2,4.199,-0.0010000000000003,300.0,31,0.9322033898305084,160.0,2.2
32,0.0,0.0,4.2,4.2,4.2,0.0,1497.8999999999069,132,4.2,4.199,-0.0010000000000003,300.0,31,0.932627118644068,159.0,2.201
33,0.0,0.0,4.2,4.2,4.2,0.0,1504.3800000000049,133,4.2,4.199,-0.0010000000000003,300.0,31,0.9330508474576272,158.0,2.202
34,0.0,0.0,4.2,4.2,4.2,0.0,1397.1799999999348,122,4.2,4.199,-0.0010000000000003,300.0,31,0.9330508474576272,157.0,2.202
35,0.0,0.0,4.2,4.2,4.2,0.0,1451.9099999999162,128,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,156.0,2.203
36,0.0,0.0,4.2,4.2,4.2,0.0,1417.890000000014,124,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,155.0,2.203
37,0.0,0.0,4.2,4.2,4.2,0.0,1434.9800000000978,126,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,154.0,2.203
38,0.0,0.0,4.2,4.2,4.2,0.0,1539.4000000000233,136,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,153.0,2.203
39,0.0,0.0,4.2,4.2,4.2,0.0,1368.4499999999534,119,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,152.0,2.203
40,0.0,0.0,4.2,4.2,4.2,0.0,1420.0,124,4.2,4.199,-0.0010000000000003,300.0,31,0.933898305084746,151.0,2.204
41,0.0,0.0,4.2,4.2,4.2,0.0,1277.3499999999767,110,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,150.0,2.203
42,0.0,0.0,4.2,4.2,4.2,0.0,1313.2299999999814,114,4.2,4.199,-0.0010000000000003,300.0,31,0.933898305084746,149.0,2.204
43,0.0,0.0,4.2,4.2,4.2,0.0,1314.5100000000093,114,4.2,4.199,-0.0010000000000003,300.0,31,0.933898305084746,148.0,2.204
44,0.0,0.0,4.2,4.2,4.2,0.0,1290.1300000000049,112,4.2,4.199,-0.0010000000000003,300.0,31,0.933898305084746,147.0,2.204
45,0.0,0.0,4.2,4.2,4.2,0.0,1346.640000000014,117,4.2,4.199,-0.0010000000000003,300.0,31,0.9343220338983051,146.0,2.205
46,0.0,0.0,4.2,4.2,4.2,0.0,1052.2399999999907,88,4.2,4.199,-0.0010000000000003,300.0,31,0.933898305084746,145.0,2.204
47,0.0,0.0,4.2,4.2,4.2,0.0,1353.9899999999907,118,4.2,4.199,-0.0010000000000003,300.0,31,0.9343220338983051,144.0,2.205
48,0.0,0.0,4.2,4.2,4.2,0.0,1211.5299999999115,104,4.2,4.199,-0.0010000000000003,300.0,31,0.9355932203389832,143.0,2.208
49,0.0,0.0,4.2,4.2,4.2,0.0,1379.4799999999814,120,4.2,4.199,-0.0010000000000003,300.0,31,0.9360169491525424,142.0,2.209
50,0.0,0.0,4.2,4.2,4.2,0.0,1350.8499999999767,118,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,141.0,2.21
51,0.0,0.0,4.2,4.2,4.2,0.0,1467.3800000000049,129,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,140.0,2.211
52,0.0,0.0,4.2,4.2,4.2,0.0,1403.6300000000049,123,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,139.0,2.211
53,0.0,0.0,4.2,4.2,4.2,0.0,1370.130000000121,120,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,138.0,2.211
54,0.0,0.0,4.2,4.2,4.2,0.0,1441.469999999972,127,4.2,4.199,-0.0010000000000003,300.0,31,0.9372881355932204,137.0,2.212
55,0.0,0.0,4.2,4.2,4.2,0.0,1262.6599999999162,109,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,136.0,2.211
56,0.0,0.0,4.2,4.2,4.2,0.0,1354.119999999879,118,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,135.0,2.211
57,0.0,0.0,4.2,4.2,4.2,0.0,1276.6799999998766,110,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,134.0,2.211
58,0.0,0.0,4.2,4.2,4.2,0.0,1286.9200000001583,111,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,133.0,2.211
59,0.0,0.0,4.2,4.2,4.2,0.0,1368.6700000001583,119,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,132.0,2.211
60,0.0,0.0,4.2,4.2,4.2,0.0,1297.810000000056,112,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,131.0,2.211
61,0.0,0.0,4.2,4.2,4.2,0.0,1328.0200000000186,115,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,130.0,2.211
62,0.0,0.0,4.2,4.2,4.2,0.0,1386.5100000000093,121,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,129.0,2.211
63,0.0,0.0,4.2,4.2,4.2,0.0,1424.280000000028,125,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,128.0,2.211
64,0.0,0.0,4.2,4.2,4.2,0.0,1396.0400000000373,122,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,127.0,2.211
65,0.0,0.0,4.2,4.2,4.2,0.0,1310.8999999999069,114,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,126.0,2.21
66,0.0,0.0,4.2,4.2,4.2,0.0,1337.6799999999348,116,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,125.0,2.21
67,0.0,0.0,4.2,4.2,4.2,0.0,1273.3700000001118,109,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,124.0,2.21
68,0.0,0.0,4.2,4.2,4.2,0.0,1289.3400000000838,111,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,123.0,2.21
69,0.0,0.0,4.2,4.2,4.2,0.0,1295.3200000000652,112,4.2,4.199,-0.0010000000000003,300.0,31,0.9360169491525424,122.0,2.209
