cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.2,4.2,4.2,0.0,2194.0599999999977,202,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,406.0,2.211
2,0.0,0.0,4.2,4.2,4.2,0.0,2077.7200000000303,190,4.2,4.198,-0.0019999999999997,300.0,31,0.936864406779661,405.0,2.211
3,0.0,0.0,4.2,4.2,4.2,0.0,2243.680000000051,207,4.2,4.199,-0.0010000000000003,300.0,31,0.9360169491525424,404.0,2.209
4,0.0,0.0,4.2,4.2,4.2,0.0,2214.9400000000023,204,4.2,4.199,-0.0010000000000003,300.0,31,0.9360169491525424,403.0,2.209
5,0.0,0.0,4.2,4.2,4.2,0.0,2101.6599999999744,193,4.2,4.199,-0.0010000000000003,300.0,31,0.9385593220338982,402.0,2.215
6,0.0,0.0,4.2,4.2,4.2,0.0,2004.7399999999907,183,4.2,4.199,-0.0010000000000003,300.0,31,0.936864406779661,401.0,2.211
7,0.0,0.0,4.2,4.2,4.2,0.0,2132.179999999993,196,4.2,4.199,-0.0010000000000003,300.0,31,0.9351694915254236,400.0,2.207
8,0.0,0.0,4.2,4.2,4.2,0.0,2068.9199999999837,189,4.2,4.199,-0.0010000000000003,300.0,31,0.9343220338983051,399.0,2.205
9,0.0,0.0,4.2,4.2,4.2,0.0,2047.4899999999907,187,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,398.0,2.203
10,0.0,0.0,4.2,4.2,4.2,0.0,2069.9000000000233,189,4.2,4.199,-0.0010000000000003,300.0,31,0.9330508474576272,397.0,2.202
11,0.0,0.0,4.2,4.2,4.2,0.0,2150.240000000049,198,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,396.0,2.203
12,0.0,0.0,4.2,4.2,4.2,0.0,2058.5800000000163,188,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,395.0,2.203
13,0.0,0.0,4.2,4.2,4.2,0.0,2008.2700000000184,183,4.2,4.199,-0.0010000000000003,300.0,31,0.9360169491525424,394.0,2.209
14,0.0,0.0,4.2,4.2,4.2,0.0,1824.3699999999951,165,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,393.0,2.21
15,0.0,0.0,4.2,4.2,4.2,0.0,1830.9799999999816,166,4.2,4.199,-0.0010000000000003,300.0,31,0.9343220338983051,392.0,2.205
16,0.0,0.0,4.2,4.2,4.2,0.0,1989.2300000000396,181,4.2,4.199,-0.0010000000000003,300.0,31,0.9334745762711864,391.0,2.203
17,0.0,0.0,4.2,4.2,4.2,0.0,1903.8699999999951,173,4.2,4.199,-0.0010000000000003,300.0,31,0.932627118644068,390.0,2.201
18,0.0,0.0,4.2,4.2,4.2,0.0,1896.1299999999464,172,4.2,4.199,-0.0010000000000003,300.0,31,0.9317796610169492,389.0,2.199
19,0.0,0.0,4.2,4.2,4.2,0.0,1800.0100000000093,163,4.2,4.198,-0.0019999999999997,300.0,31,0.9317796610169492,388.0,2.199
20,0.0,0.0,4.2,4.2,4.2,0.0,1935.7399999999907,176,4.2,4.199,-0.0010000000000003,300.0,31,0.932627118644068,387.0,2.201
21,0.0,0.0,4.2,4.2,4.2,0.0,1894.7200000000885,172,4.2,4.199,-0.0010000000000003,300.0,31,0.933898305084746,386.0,2.204
22,0.0,0.0,4.2,4.2,4.2,0.0,1776.390000000014,160,4.2,4.199,-0.0010000000000003,300.0,31,0.9364406779661018,385.0,2.21
