cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
256,6.799999999999924e-06,0.6090604323193738,4.181,4.174,4.1770000000000005,-0.6487889273367982,540.0019999998622,11,4.181,4.172,-0.0090000000000003,300.0,6,0.856,383.0,2.568
257,6.799999999999924e-06,0.6090604323193738,4.181,4.174,4.1770000000000005,-0.6487889273367982,540.0019999998622,11,4.181,4.172,-0.0090000000000003,300.0,6,0.856,382.0,2.568
258,6.799999999999924e-06,0.6090604323193738,4.181,4.174,4.1770000000000005,-0.6487889273367982,540.0019999998622,11,4.181,4.172,-0.0090000000000003,300.0,6,0.856,381.0,2.568
520,1.096666666666718e-05,0.5653891794439087,4.173,4.164,4.167833333333333,-0.3395201448618996,540.0020000003278,11,4.173,4.161,-0.0120000000000004,300.0,6,0.8206666666666668,119.0,2.462
653,1.546666666666764e-05,0.6981569802902128,4.17,4.159,4.163666666666667,0.1031138525555475,540.0039999997243,11,4.17,4.156,-0.0140000000000002,300.0,6,0.8029999999999999,-14.0,2.409
654,1.546666666666764e-05,0.6981569802902128,4.17,4.159,4.163666666666667,0.1031138525555475,540.0039999997243,11,4.17,4.156,-0.0140000000000002,300.0,6,0.8029999999999999,-15.0,2.409
655,1.546666666666764e-05,0.6981569802902128,4.17,4.159,4.163666666666667,0.1031138525555475,540.0039999997243,11,4.17,4.156,-0.0140000000000002,300.0,6,0.8029999999999999,-16.0,2.409
656,1.546666666666764e-05,0.6981569802902128,4.17,4.159,4.163666666666667,0.1031138525555475,540.0039999997243,11,4.17,4.156,-0.0140000000000002,300.0,6,0.8029999999999999,-17.0,2.409
657,1.546666666666764e-05,0.6981569802902128,4.17,4.159,4.163666666666667,0.1031138525555475,540.0039999997243,11,4.17,4.156,-0.0140000000000002,300.0,6,0.8029999999999999,-18.0,2.409
658,1.546666666666764e-05,0.6981569802902128,4.17,4.159,4.163666666666667,0.1031138525555475,540.0039999997243,11,4.17,4.156,-0.0140000000000002,300.0,6,0.8029999999999999,-19.0,2.409
