cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.4568656404541047e-06,0.5545589104388966,4.1971,4.1897,4.1922836734693885,-0.5831054860333542,299.9999999999927,294,4.1971,4.1897,-0.0073999999999996,300.0,294,0.9305,320.0,1.861
2,3.3077756495089906e-06,0.5821532167552464,4.1971,4.1898,4.192386734693878,-0.5372298451888509,299.9999999999927,294,4.1971,4.1898,-0.0072999999999998,300.0,294,0.9345,319.0,1.869
3,3.2303850109869506e-06,0.5882737189223736,4.1971,4.1898,4.192449488054607,-0.563993011022252,299.9999999999927,293,4.1971,4.19,-0.0070999999999994,300.0,293,0.938,318.0,1.876
4,3.174160783580369e-06,0.6034758531528941,4.1971,4.19,4.192492832764505,-0.5413228990248844,299.9999999999927,293,4.1971,4.19,-0.0070999999999994,300.0,293,0.941,317.0,1.882
5,3.08210692411998e-06,0.6214937346949756,4.1971,4.19,4.192557679180887,-0.5414715991847552,299.9999999999927,293,4.1971,4.19,-0.0070999999999994,300.0,293,0.944,316.0,1.888
6,3.0564184861378483e-06,0.6145467077263992,4.1971,4.19,4.192561433447099,-0.5365144261950241,299.9999999999927,293,4.1971,4.19,-0.0070999999999994,300.0,293,0.9465,315.0,1.893
7,3.0578792837441336e-06,0.6372208065320835,4.1971,4.19,4.1925604095563145,-0.5185948806295122,299.9999999999927,293,4.1971,4.19,-0.0070999999999994,300.0,293,0.949,314.0,1.898
8,2.9875924540652816e-06,0.6182511161846544,4.1971,4.1903,4.192626962457338,-0.5461088761500692,299.9999999999927,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.9515,313.0,1.903
9,2.9688309411380195e-06,0.6313557439891322,4.1971,4.1903,4.192660750853242,-0.5177526408469881,299.9999999999927,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.9535,312.0,1.907
11,3.1693204450886456e-06,0.6221529050203813,4.1971,4.1898,4.192427303754267,-0.4997193245666596,299.99999999998545,293,4.1971,4.1898,-0.0072999999999998,300.0,293,0.9555,310.0,1.911
15,2.8640839544009632e-06,0.6326747060888438,4.1971,4.1905,4.192729931972789,-0.5037870128352648,300.0,294,4.1971,4.1905,-0.0065999999999997,300.0,294,0.964,306.0,1.928
17,2.8123945346057317e-06,0.6350372671693667,4.1971,4.1905,4.192746598639456,-0.5118943554367879,299.99999999998545,294,4.1971,4.1905,-0.0065999999999997,300.0,294,0.9665,304.0,1.933
19,2.7969693064940535e-06,0.6362288513911372,4.1971,4.1905,4.1927588435374155,-0.5078930293445287,300.0,294,4.1971,4.1905,-0.0065999999999997,300.0,294,0.969,302.0,1.938
20,2.785489192264042e-06,0.6377310348018166,4.1971,4.1905,4.192783333333334,-0.5073347711933298,300.0,294,4.1971,4.1906,-0.0064999999999999,300.0,294,0.97,301.0,1.94
22,2.7845988592267784e-06,0.6380162843267805,4.1971,4.1905,4.192774061433448,-0.4959864124231403,300.0,293,4.1971,4.1906,-0.0064999999999999,300.0,293,0.972,299.0,1.944
23,2.752701856094381e-06,0.6340367701931701,4.1971,4.1906,4.19280614334471,-0.5004640209964668,300.0,293,4.1971,4.1906,-0.0064999999999999,300.0,293,0.9735,298.0,1.947
