cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
2,2.7245324699612044e-06,0.633847197168565,4.1971,4.1901,4.192507508532423,-0.4104278277226192,299.9999999999927,293,4.1971,4.1901,-0.0069999999999996,300.0,293,0.9415,554.0,1.883
3,2.678752408813364e-06,0.6332696887087653,4.1971,4.1903,4.192548639455783,-0.4197111250370646,299.9999999999927,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.95,553.0,1.9
6,2.738655383608402e-06,0.6304864467481155,4.1971,4.1903,4.192531058020477,-0.4499595272238856,299.9999999999927,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.9725,550.0,1.945
8,2.8248922343260673e-06,0.6389829652283189,4.1971,4.1901,4.192459044368601,-0.4221484261883108,299.9999999999927,293,4.1971,4.1901,-0.0069999999999996,300.0,293,0.95,548.0,1.9
9,2.78180747113006e-06,0.6344922561893414,4.1971,4.1901,4.192484300341297,-0.4240798253432802,299.9999999999927,293,4.1971,4.1901,-0.0069999999999996,300.0,293,0.9635,547.0,1.927
12,2.7783450581598384e-06,0.6500273460654116,4.1971,4.1901,4.192495918367348,-0.4056996940629873,299.99999999998545,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.965,544.0,1.93
13,2.7314731489866003e-06,0.6476491585987807,4.1971,4.1903,4.192516326530612,-0.4220986512824414,300.0,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.961,543.0,1.922
14,2.721558473218645e-06,0.6610012924603238,4.1971,4.1903,4.192533673469387,-0.3873143565982069,300.0,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.972,542.0,1.944
15,2.6901656567063717e-06,0.655389311957272,4.1971,4.1903,4.192575850340136,-0.4120569183526696,300.0,294,4.1971,4.1903,-0.0068000000000001,300.0,294,1.0015,541.0,2.003
17,2.7180489192264184e-06,0.6540501870181449,4.1971,4.1903,4.192530952380952,-0.4003840058688523,299.99999999998545,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.9735,539.0,1.947
18,2.714239279329507e-06,0.6471657951804655,4.1971,4.1903,4.192531292517007,-0.4172755917253541,300.0,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.97,538.0,1.94
19,2.7168205985466098e-06,0.6596130440125252,4.1971,4.1903,4.19252925170068,-0.3983748515941556,300.0,294,4.1971,4.1903,-0.0068000000000001,300.0,294,0.981,537.0,1.962
20,2.665323767732343e-06,0.6581012673147064,4.1971,4.1903,4.192565986394557,-0.3849577350770263,299.99999999998545,294,4.1971,4.1903,-0.0068000000000001,300.0,294,1.0045,536.0,2.009
21,2.583509670079649e-06,0.654523223394361,4.1971,4.1905,4.192654761904762,-0.3981081529724677,300.0,294,4.1971,4.1905,-0.0065999999999997,300.0,294,0.995,535.0,1.99
22,2.660513581747608e-06,0.6631016140966065,4.1971,4.1905,4.192600341296928,-0.3992271824995446,299.9999999999709,293,4.1971,4.1905,-0.0065999999999997,300.0,293,0.979,534.0,1.958
25,2.6489373042217875e-06,0.6630328950341694,4.1971,4.1905,4.192598976109215,-0.3850539947848195,300.0,293,4.1971,4.1905,-0.0065999999999997,300.0,293,1.007,531.0,2.014
26,2.573637149936872e-06,0.6608920660884304,4.1971,4.1905,4.192655972696246,-0.3786931411007854,300.0,293,4.1971,4.1905,-0.0065999999999997,300.0,293,0.998,530.0,1.996
29,2.6655949319743707e-06,0.6545688435981041,4.1971,4.1903,4.192564163822525,-0.3961835414105743,300.0,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.9895,527.0,1.979
34,2.6469584833325643e-06,0.6645738181096665,4.1971,4.1903,4.192561774744027,-0.3789514855859663,300.0,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.9915,522.0,1.983
35,2.632168170554958e-06,0.6753805558246537,4.1971,4.1903,4.192574744027303,-0.3648611664889021,300.0,293,4.1971,4.1903,-0.0068000000000001,300.0,293,1.009,521.0,2.018
36,2.570895086259252e-06,0.6827419850600607,4.1971,4.1905,4.1926163822525595,-0.3354884652623529,300.0,293,4.1971,4.1905,-0.0065999999999997,300.0,293,1.0,520.0,2.0
37,2.6735354621534426e-06,0.6684869909913607,4.1971,4.1903,4.192526621160409,-0.3839655224013873,300.0,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.985,519.0,1.97
38,2.684598625461695e-06,0.6732496957384517,4.1971,4.1903,4.1925399317406145,-0.3773406782148512,300.0,293,4.1971,4.1903,-0.0068000000000001,300.0,293,0.9825,518.0,1.965
