cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.738514657066656e-06,0.5532227434147967,4.1971,4.1894,4.192045392491467,-0.5872021656506248,299.99999999999227,293,4.1971,4.1894,-0.0076999999999998,300.0,293,0.941,737.0,1.882
2,3.3825019870025296e-06,0.5781907414717784,4.1971,4.1897,4.192252559726962,-0.5286482997158566,299.9999999999927,293,4.1971,4.1897,-0.0073999999999996,300.0,293,0.9235,736.0,1.847
3,3.4594838468369974e-06,0.5812533632491117,4.1971,4.1895,4.192210238907851,-0.5205768793651786,299.99999999999636,293,4.1971,4.1895,-0.0076,300.0,293,0.9075,735.0,1.815
4,3.3794176913365534e-06,0.5857696541806364,4.1972,4.1897,4.192299658703072,-0.523885653727612,299.9999999999927,293,4.1972,4.1897,-0.0074999999999993,300.0,293,0.919,734.0,1.838
5,3.31413717331328e-06,0.5894102344733215,4.1972,4.1898,4.192383276450513,-0.5080965087218643,299.9999999999927,293,4.1972,4.1898,-0.0073999999999996,300.0,293,0.9355,733.0,1.871
7,3.2745467296272814e-06,0.6001491511758673,4.1972,4.1898,4.192426279863482,-0.4938747458131449,299.9999999999927,293,4.1972,4.1898,-0.0073999999999996,300.0,293,0.9585,731.0,1.917
8,3.2919764832389377e-06,0.604261366925403,4.1972,4.1898,4.192420477815699,-0.4952315675381724,299.9999999999927,293,4.1972,4.1898,-0.0073999999999996,300.0,293,0.9365,730.0,1.873
9,3.240018233671421e-06,0.6104402409864267,4.1972,4.1898,4.19244505119454,-0.4843636709322529,299.9999999999927,293,4.1972,4.1898,-0.0073999999999996,300.0,293,0.922,729.0,1.844
11,3.354212445649546e-06,0.6074659157156161,4.1972,4.1898,4.192352901023891,-0.4862248679029481,300.0,293,4.1972,4.1898,-0.0073999999999996,300.0,293,0.939,727.0,1.878
12,3.0552896380395116e-06,0.6218369430748364,4.1972,4.19,4.192599319727891,-0.5082105121872527,299.99999999998545,294,4.1972,4.1901,-0.0070999999999994,300.0,294,0.9585,726.0,1.917
16,3.0978612059157686e-06,0.6237874152922794,4.1972,4.19,4.192561904761905,-0.4696724587480756,300.0,294,4.1972,4.1901,-0.0070999999999994,300.0,294,0.934,722.0,1.868
18,2.9760512874091705e-06,0.6443739706647603,4.1972,4.1901,4.19266768707483,-0.4703785847508022,299.99999999998545,294,4.1972,4.1901,-0.0070999999999994,300.0,294,0.968,720.0,1.936
20,3.1167035824568174e-06,0.6254729117451372,4.1972,4.19,4.192551700680272,-0.473250755896899,299.99999999998545,294,4.1972,4.19,-0.0071999999999992,300.0,294,0.953,718.0,1.906
23,2.945812099677406e-06,0.6554837134705855,4.1972,4.1901,4.192679522184301,-0.4803894120375838,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.9475,715.0,1.895
24,2.902061573706136e-06,0.6478589896337371,4.1972,4.1905,4.1927324232081915,-0.4777433268133526,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.975,714.0,1.95
25,2.976068072373659e-06,0.6518969897131246,4.1972,4.1901,4.192638225255972,-0.4676758550629403,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9785,713.0,1.957
26,3.0468878862966728e-06,0.6318360817177497,4.1972,4.1901,4.192605460750853,-0.4733547361992309,299.9999999999709,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.958,712.0,1.916
27,3.013079152835568e-06,0.6364903561356325,4.1972,4.1901,4.192619453924915,-0.476578322338212,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9435,711.0,1.887
28,2.923671045864743e-06,0.6616866723033982,4.1972,4.1905,4.192692150170648,-0.4667407761589288,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.945,710.0,1.89
29,2.9171922483520502e-06,0.650639479584625,4.1972,4.1901,4.1926941979522185,-0.4725027919312814,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.95,709.0,1.9
30,2.863117490298803e-06,0.6514859724336877,4.1972,4.1905,4.1927587030716715,-0.4723371495631343,299.9999999999709,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.98,708.0,1.96
33,3.022926738042914e-06,0.6397984017543502,4.1972,4.1901,4.192583959044368,-0.4616059392358993,299.9999999999709,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9465,705.0,1.893
34,2.90158562812663e-06,0.6645254631562362,4.1972,4.1905,4.192679180887372,-0.4582849032316876,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.948,704.0,1.896
37,2.9444899247276875e-06,0.6517618366862034,4.1972,4.1901,4.192647781569966,-0.4743022246578192,299.9999999999709,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9825,701.0,1.965
38,2.9761456823600916e-06,0.6551447866924859,4.1972,4.1901,4.192621501706484,-0.4521482005788231,299.9999999999709,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9625,700.0,1.925
40,2.899500677918554e-06,0.6696813943882531,4.1972,4.1905,4.1926614334471,-0.4474153368657019,299.9999999999709,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.9495,698.0,1.899
41,2.8966606666978035e-06,0.6712010536419667,4.1972,4.1901,4.19266518771331,-0.4316321825280229,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.952,697.0,1.904
42,2.8477883491514936e-06,0.6542431231982991,4.1972,4.1905,4.192738566552902,-0.4740427369728066,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.9845,696.0,1.969
44,2.94254523353127e-06,0.6680049185169648,4.1972,4.1901,4.192644368600682,-0.4383468020096734,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.964,694.0,1.928
45,2.922023470007962e-06,0.662725115918644,4.1972,4.1901,4.192664505119454,-0.4526830900529672,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.9505,693.0,1.901
46,2.9360044882883856e-06,0.6731459696976435,4.1972,4.1901,4.192604778156996,-0.4228234980109819,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.95,692.0,1.9
48,2.9256148020010957e-06,0.6703923778825343,4.1972,4.1901,4.192656655290102,-0.4317369049262129,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9855,690.0,1.971
51,2.872485857216338e-06,0.663768684830574,4.1972,4.1905,4.192696245733789,-0.4538835143046253,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.953,687.0,1.906
52,2.8447879751274365e-06,0.6764327562045469,4.1972,4.1905,4.192713310580205,-0.4298672453834307,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.9515,686.0,1.903
55,2.931139838234628e-06,0.6653047007303818,4.1972,4.1901,4.192611262798635,-0.4330909668175358,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.982,683.0,1.964
56,2.9914736546823223e-06,0.6656498015599001,4.1972,4.1901,4.192558703071672,-0.4324066809597364,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.963,682.0,1.926
57,3.030639581093032e-06,0.667105221619199,4.1972,4.19,4.1924812286689415,-0.3980494544538002,299.9999999999418,293,4.1972,4.19,-0.0071999999999992,300.0,293,0.9495,681.0,1.899
58,3.0327044275094245e-06,0.657191408945932,4.1972,4.19,4.192501023890785,-0.4198416922704528,300.0,293,4.1972,4.19,-0.0071999999999992,300.0,293,0.9495,680.0,1.899
59,2.957527467389772e-06,0.6688256686783556,4.1972,4.1901,4.192574402730375,-0.4093685320029352,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9505,679.0,1.901
60,2.9316978353359245e-06,0.6637240624923242,4.1972,4.1901,4.19258771331058,-0.421127628293493,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.986,678.0,1.972
61,3.051103370891561e-06,0.6570486928012289,4.1972,4.1901,4.192523208191125,-0.4290096377253722,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.982,677.0,1.964
62,2.975691476927371e-06,0.6679715297817672,4.1972,4.1901,4.19256313993174,-0.4244983098626282,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9635,676.0,1.927
63,2.9543082893075917e-06,0.6616806713222658,4.1972,4.1901,4.192574402730375,-0.4258166053937149,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.95,675.0,1.9
66,2.862224274159636e-06,0.7063288361891776,4.1972,4.1905,4.192637883959044,-0.380092305452246,300.0,293,4.1972,4.1905,-0.0066999999999994,300.0,293,0.987,672.0,1.974
67,2.93755201271682e-06,0.6793138620330865,4.1972,4.1901,4.192580204778157,-0.4049065719063813,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.981,671.0,1.962
68,3.0182392818738553e-06,0.6714122149685706,4.1972,4.19,4.192496245733788,-0.3920174770243867,300.0,293,4.1972,4.19,-0.0071999999999992,300.0,293,0.9625,670.0,1.925
69,3.027925787318141e-06,0.6778088187013549,4.1972,4.19,4.192468835616439,-0.3792094228666727,299.9999999999418,292,4.1972,4.19,-0.0071999999999992,300.0,292,0.9485,669.0,1.897
70,3.0402096872223498e-06,0.6781755245816078,4.1972,4.19,4.1924825938566554,-0.3829661401510007,300.0,293,4.1972,4.19,-0.0071999999999992,300.0,293,0.949,668.0,1.898
71,3.003965122259107e-06,0.67161107619867,4.1972,4.19,4.192502730375426,-0.3932621019926166,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.949,667.0,1.898
72,2.985771892094058e-06,0.6723072795448104,4.1972,4.1901,4.1925136518771335,-0.3923988017165039,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9855,666.0,1.971
75,2.9049616625368077e-06,0.6835244673093074,4.1972,4.1901,4.192578839590443,-0.3928078850386014,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.9505,663.0,1.901
76,2.8485197998971297e-06,0.6988125965381882,4.1972,4.1901,4.192615699658703,-0.3815797852659397,300.0,293,4.1972,4.1901,-0.0070999999999994,300.0,293,0.951,662.0,1.902
