cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
2,4.0540540540591624e-10,-5.000226366785722,4.2001,4.1998,4.200000000000001,72.48467658368982,612.8400000000329,608,4.2,4.1945,-0.0055000000000005,300.0,297,0.8845,250.0,1.769
10,2.916001885479881e-07,-3.8527916464858767,4.2002,4.1975,4.199870903010033,13.052529221308175,583.9200000000274,581,4.2001,4.1949,-0.0052000000000003,300.0,299,0.9185,242.0,1.837
22,3.983096902509037e-06,0.6112703112239191,4.1965,4.1881,4.191090068493151,-0.5127917238402868,300.0,292,4.1965,4.1881,-0.0083999999999999,300.0,292,0.9265,230.0,1.853
23,3.980990401706423e-06,0.6291580280209571,4.1965,4.1881,4.191103092783505,-0.4993360473789523,300.0,291,4.1965,4.1885,-0.008,300.0,291,0.9335,229.0,1.867
26,4.048848441758573e-06,0.6389342098297044,4.1965,4.188,4.191118900343642,-0.4392914507911745,300.0,291,4.1965,4.188,-0.0085000000000006,300.0,291,0.8895,226.0,1.779
30,4.0361123355847904e-06,0.6177226191436368,4.1965,4.188,4.191311340206185,-0.5067951729521547,300.0,291,4.1965,4.1886,-0.0079000000000002,300.0,291,0.908,222.0,1.816
31,3.8198912582969874e-06,0.6048008343715662,4.1966,4.1885,4.191378767123287,-0.5009700095869949,300.0,292,4.1966,4.1886,-0.008,300.0,292,0.922,221.0,1.844
38,3.521997375014995e-06,0.65598202042013,4.1968,4.1891,4.1916551724137925,-0.4142603650300054,300.11999999999534,291,4.1968,4.1891,-0.0076999999999998,300.0,290,0.914,214.0,1.828
41,3.623115260708808e-06,0.6769141287575269,4.1969,4.1891,4.191637586206896,-0.3887445057450143,300.0,290,4.1969,4.1891,-0.0078000000000004,300.0,290,0.942,211.0,1.884
42,3.551801635264981e-06,0.6641958480315994,4.1969,4.1891,4.191635051546392,-0.3905183801538645,300.0,291,4.1969,4.1891,-0.0078000000000004,300.0,291,0.9685,210.0,1.937
