cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
2,1.3379973350789152e-06,0.6206178819568265,4.1971,4.1925,4.1940576791808875,-0.4630987865677562,299.99999999999545,293,4.1971,4.1925,-0.0045999999999999,300.0,293,0.2225,1072.0,0.445
3,1.3011122539624458e-06,0.6212182189276722,4.1972,4.1926,4.194159726962457,-0.4557523012299467,299.9999999999927,293,4.1972,4.1926,-0.0045999999999999,300.0,293,0.378,1071.0,0.756
4,1.5949812987984744e-06,0.6019787252096638,4.1972,4.1921,4.193921501706485,-0.5427400082413483,299.9999999999927,293,4.1972,4.1921,-0.0050999999999996,300.0,293,0.456,1070.0,0.912
6,1.9447105989060414e-06,0.5554672620209358,4.1972,4.1917,4.193633788395904,-0.6319810126681631,299.9999999999927,293,4.1972,4.1917,-0.0054999999999996,300.0,293,0.971,1068.0,1.942
7,2.6876214409277083e-06,0.4710589430644786,4.1971,4.1908,4.19316723549488,-0.7491189373787615,299.9999999999927,293,4.1971,4.1908,-0.0062999999999995,300.0,293,0.556,1067.0,1.112
9,2.1037523960915234e-06,0.5459767401976143,4.1972,4.1915,4.193569965870307,-0.6661537051784197,299.9999999999927,293,4.1972,4.1915,-0.0057,300.0,293,0.6225,1065.0,1.245
10,2.0826857263080312e-06,0.5591095903547535,4.1972,4.1915,4.193595563139932,-0.6421264527081925,299.9999999999927,293,4.1972,4.1915,-0.0057,300.0,293,0.645,1064.0,1.29
11,2.0885929683483183e-06,0.5431510992272603,4.1972,4.1915,4.1935982935153575,-0.6797858324700194,299.9999999999927,293,4.1972,4.1915,-0.0057,300.0,293,0.667,1063.0,1.334
12,2.3400787788116203e-06,0.5357212078590851,4.1971,4.1911,4.193320819112628,-0.6464369390217093,299.9999999999927,293,4.1971,4.1911,-0.0060000000000002,300.0,293,0.9745,1062.0,1.949
13,2.643524942727685e-06,0.4864754508900662,4.1972,4.1909,4.19321023890785,-0.7207559560637411,300.0,293,4.1972,4.1909,-0.0062999999999995,300.0,293,0.6895,1061.0,1.379
15,2.1639126094124983e-06,0.5474923131429896,4.1972,4.1915,4.1935401360544216,-0.662508812817808,300.0,294,4.1972,4.1915,-0.0057,300.0,294,0.756,1059.0,1.512
16,2.239556197905916e-06,0.5390771020046737,4.1972,4.1912,4.193500340136055,-0.6799761554140464,299.99999999998545,294,4.1972,4.1912,-0.0059999999999993,300.0,294,0.767,1058.0,1.534
24,2.531822198326427e-06,0.4941724006203693,4.1972,4.1911,4.19334880546075,-0.7300188180780207,299.9999999999709,293,4.1972,4.1911,-0.0060999999999999,300.0,293,0.8005,1050.0,1.601
25,2.306096591706144e-06,0.5371393955577978,4.1972,4.1912,4.193478156996585,-0.6642166029713032,300.0,293,4.1972,4.1912,-0.0059999999999993,300.0,293,0.8005,1049.0,1.601
27,2.2746278460892622e-06,0.5520639823498187,4.1972,4.1912,4.19347747440273,-0.651168258280193,300.0,293,4.1972,4.1912,-0.0059999999999993,300.0,293,0.8005,1047.0,1.601
28,2.296114591612669e-06,0.5392442540213178,4.1972,4.1912,4.1934672354948805,-0.6683535500461208,300.0,293,4.1972,4.1912,-0.0059999999999993,300.0,293,0.8005,1046.0,1.601
31,2.325922670531705e-06,0.5411181408242928,4.1972,4.1912,4.193453242320818,-0.6655851744552024,300.0,293,4.1972,4.1912,-0.0059999999999993,300.0,293,0.8005,1043.0,1.601
32,2.28216209266459e-06,0.5393394054026048,4.1972,4.1912,4.19347747440273,-0.6784120703964591,300.0,293,4.1972,4.1912,-0.0059999999999993,300.0,293,0.8005,1042.0,1.601
33,2.2692335122159276e-06,0.5461846429798184,4.1972,4.1912,4.193476369863014,-0.656423551306133,299.9999999999709,292,4.1972,4.1912,-0.0059999999999993,300.0,292,0.7895,1041.0,1.579
36,2.217355883865659e-06,0.5559229138383041,4.1972,4.1915,4.193535153583618,-0.6595177486397619,300.0,293,4.1972,4.1915,-0.0057,300.0,293,0.767,1038.0,1.534
38,2.143390294076468e-06,0.5647644749564315,4.1972,4.1915,4.193599658703072,-0.6338629737270076,300.0,293,4.1972,4.1915,-0.0057,300.0,293,0.7115,1036.0,1.423
39,2.059621300668655e-06,0.5568976343663876,4.1972,4.1917,4.19365324232082,-0.6487286136735801,300.0,293,4.1972,4.1917,-0.0054999999999996,300.0,293,0.6895,1035.0,1.379
40,2.0607805413998587e-06,0.5643642763818841,4.1972,4.1917,4.193635153583618,-0.6308645695363881,300.0,293,4.1972,4.1917,-0.0054999999999996,300.0,293,0.9985,1034.0,1.997
41,2.4976199218567744e-06,0.5118380520511955,4.1972,4.1911,4.193317808219178,-0.6901266377028925,300.0599999999977,293,4.1972,4.1911,-0.0060999999999999,300.0,292,0.667,1033.0,1.334
42,2.086617420169347e-06,0.5702024768956946,4.1972,4.1915,4.1935508532423205,-0.6321092462543603,300.0,293,4.1972,4.1915,-0.0057,300.0,293,0.645,1032.0,1.29
43,2.022819206134081e-06,0.5718590454794553,4.1972,4.1917,4.193644368600683,-0.6287408720014378,300.0,293,4.1972,4.1917,-0.0054999999999996,300.0,293,0.6225,1031.0,1.245
44,1.9795373790266502e-06,0.567853861101825,4.1972,4.1917,4.193665187713311,-0.6388517302095829,299.9999999999418,293,4.1972,4.1917,-0.0054999999999996,300.0,293,0.6005,1030.0,1.201
