cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,7.50000000000945e-09,-2.88189966300523,4.2001,4.1998,4.200072727272727,6.411052556582529,766.0,155,4.2001,4.1998,-0.0003000000000001,600.0,121,1.021376946239991,465.0,0.159628633333333
2,9.855371900838864e-09,-2.310889487609612,4.2001,4.1998,4.200062809917355,3.396075923180942,749.0,151,4.2001,4.2001,0.0,600.0,121,1.0193749401388772,464.0,0.159315744444444
3,5.603305785131026e-09,-3.536237543237234,4.2001,4.1998,4.200080165289256,10.681274759741235,748.0,151,4.2001,4.2001,0.0,600.0,121,1.0161337661989032,463.0,0.158809188888889
4,0.0,0.0,4.2001,4.2001,4.2001,0.0,744.0,150,4.2001,4.2001,0.0,600.0,121,1.015457093824241,462.0,0.158703433333333
5,7.50000000000945e-09,-2.8818996630052296,4.2001,4.1998,4.200072727272727,6.411052556582533,742.0,150,4.2001,4.2001,0.0,600.0,121,1.0130388325483428,461.0,0.158325488888889
6,1.041322314050899e-08,-2.1987290405918953,4.2001,4.1998,4.200060330578512,2.881773048156542,751.0,152,4.2001,4.2001,0.0,600.0,121,1.0136249312094785,460.0,0.158417088888889
7,2.056611570250525e-08,-0.6504289753625555,4.2001,4.1998,4.199995867768594,-1.6037292411192452,748.0,151,4.1998,4.2001,0.0003000000000001,600.0,121,1.010440632442826,459.0,0.157919422222222
8,2.9008264462846475e-09,-5.289222828896131,4.2001,4.1998,4.2000900826446275,26.412228515684916,746.0,151,4.2001,4.2001,0.0,600.0,121,1.00920174897983,458.0,0.1577258
9,1.8334710743824754e-08,-0.9867636245697652,4.2001,4.1998,4.200015702479338,-1.0438288149300026,738.0,149,4.2001,4.1998,-0.0003000000000001,600.0,121,1.0077753907267546,457.0,0.157502877777778
10,0.0,0.0,4.2001,4.2001,4.2001,0.0,744.0,150,4.2001,4.2001,0.0,600.0,121,1.0053618927466197,456.0,0.157125677777778
11,8.702479338853942e-09,-2.567298683948672,4.2001,4.1998,4.200067768595041,4.66791323216016,738.0,149,4.2001,4.2001,0.0,600.0,121,1.0057625783427075,455.0,0.1571883
12,2.0789256198373304e-08,-0.611959754876695,4.2001,4.1998,4.199993388429752,-1.6531086525820686,742.0,150,4.2001,4.2001,0.0,600.0,121,1.003024323122872,454.0,0.156760344444444
13,1.1491735537204562e-08,-1.9989429873105875,4.2001,4.1998,4.2000553719008265,2.0290400181861887,743.0,150,4.2001,4.2001,0.0,600.0,121,1.0030354848756409,453.0,0.156762088888889
14,2.0789256198373304e-08,-0.6119597548766951,4.2001,4.1998,4.199993388429752,-1.6531086525820686,738.0,149,4.2001,4.2001,0.0,600.0,121,1.0012798904629654,452.0,0.156487711111111
15,1.4752066115721071e-09,-7.679513885803193,4.2001,4.1998,4.200095041322314,57.9323494101156,740.0,149,4.2001,4.2001,0.0,600.0,121,0.99886767217423,451.0,0.156110711111111
16,2.2425619834739008e-08,-0.2188494289880356,4.2001,4.1998,4.199966115702479,-1.9851981605564653,730.0,147,4.2001,4.2001,0.0,600.0,121,0.9982838485200304,450.0,0.156019466666667
17,1.095867768596422e-08,-2.095146853661836,4.2001,4.1998,4.200057851239669,2.429527835351517,736.0,149,4.2001,4.1998,-0.0003000000000001,600.0,121,0.997029750948168,449.0,0.155823466666667
18,2.0330578512422315e-08,-0.6895472518382144,4.2001,4.1998,4.199998347107437,-1.550430589783482,735.0,148,4.2001,4.1998,-0.0003000000000001,600.0,121,0.9968601918376868,448.0,0.155796966666667
19,2.2648760330607044e-08,-0.0837571863300982,4.2001,4.1998,4.199956198347107,-2.0267651186723743,733.0,148,4.2001,4.1998,-0.0003000000000001,600.0,121,0.994285310553231,447.0,0.155394544444444
20,1.1491735537204564e-08,-1.998942987310588,4.2001,4.1998,4.2000553719008265,2.0290400181861896,732.0,148,4.2001,4.2001,0.0,600.0,121,0.9936212929046422,446.0,0.155290766666667
