cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2216.9000000000233,204,4.2,4.199,-0.0010000000000003,600.0,61,0.939406779661017,293.0,2.217
2,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2209.5199999999604,203,4.2,4.199,-0.0010000000000003,600.0,61,0.939406779661017,292.0,2.217
3,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2180.8699999999953,201,4.2,4.199,-0.0010000000000003,600.0,61,0.938135593220339,291.0,2.214
4,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2206.0599999999977,203,4.2,4.199,-0.0010000000000003,600.0,61,0.938135593220339,290.0,2.214
5,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2148.710000000021,197,4.2,4.199,-0.0010000000000003,600.0,61,0.9415254237288136,289.0,2.222
6,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2015.6300000000049,184,4.2,4.199,-0.0010000000000003,600.0,61,0.9402542372881356,288.0,2.219
7,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2069.8400000000256,189,4.2,4.199,-0.0010000000000003,600.0,61,0.9377118644067798,287.0,2.213
8,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2054.3800000000047,188,4.2,4.199,-0.0010000000000003,600.0,61,0.9364406779661018,286.0,2.21
9,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2040.219999999972,187,4.2,4.199,-0.0010000000000003,600.0,61,0.9355932203389832,285.0,2.208
10,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1968.719999999972,179,4.2,4.199,-0.0010000000000003,600.0,61,0.9347457627118644,284.0,2.206
11,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1834.3199999999488,166,4.2,4.199,-0.0010000000000003,600.0,61,0.9347457627118644,283.0,2.206
12,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1884.539999999979,171,4.2,4.199,-0.0010000000000003,600.0,61,0.9347457627118644,282.0,2.206
13,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,2038.780000000028,186,4.2,4.199,-0.0010000000000003,600.0,61,0.9377118644067798,281.0,2.213
14,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1823.740000000049,165,4.2,4.199,-0.0010000000000003,600.0,61,0.9402542372881356,280.0,2.219
15,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1730.2399999999907,156,4.2,4.199,-0.0010000000000003,600.0,61,0.9364406779661018,279.0,2.21
16,8.02231429038317e-31,0.0,4.2,4.2,4.199999999999999,0.0,1827.8099999999977,164,4.2,4.199,-0.0010000000000003,600.0,60,0.9351694915254236,278.0,2.207
17,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1959.0,178,4.2,4.199,-0.0010000000000003,600.0,61,0.9343220338983051,277.0,2.205
