cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1556.1999999999534,138,4.2,4.199,-0.0010000000000003,600.0,61,0.9991525423728814,298.0,2.358
2,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1393.539999999979,122,4.2,4.199,-0.0010000000000003,600.0,61,0.9995762711864408,297.0,2.359
3,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1374.320000000007,120,4.2,4.199,-0.0010000000000003,600.0,61,1.0,296.0,2.36
4,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1462.5,129,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,295.0,2.361
5,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1306.170000000042,113,4.2,4.199,-0.0010000000000003,600.0,61,1.0,294.0,2.36
6,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1390.149999999965,122,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,293.0,2.361
7,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1322.0900000000256,115,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,292.0,2.361
8,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1136.0999999999767,96,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,291.0,2.361
9,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1419.570000000007,124,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,290.0,2.362
10,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1280.5,111,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,289.0,2.362
11,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1369.649999999965,119,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,288.0,2.362
12,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1337.2200000000305,116,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,287.0,2.362
13,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1233.4800000000396,106,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,286.0,2.362
14,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1250.3800000000049,108,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,285.0,2.362
15,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1242.3300000000163,107,4.2,4.199,-0.0010000000000003,600.0,61,1.000847457627119,284.0,2.362
