cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1391.8499999999767,122,4.2,4.199,-0.0010000000000003,600.0,61,0.9970338983050848,362.0,2.353
3,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1514.570000000007,134,4.2,4.199,-0.0010000000000003,600.0,61,0.9978813559322034,360.0,2.355
4,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1379.2399999999907,120,4.2,4.199,-0.0010000000000003,600.0,61,0.9983050847457628,359.0,2.356
5,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1491.6599999999744,132,4.2,4.199,-0.0010000000000003,600.0,61,0.9987288135593222,358.0,2.357
6,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1288.6199999999951,111,4.2,4.199,-0.0010000000000003,600.0,61,0.9987288135593222,357.0,2.357
7,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1468.75,129,4.2,4.199,-0.0010000000000003,600.0,61,0.9991525423728814,356.0,2.358
8,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1423.4499999999534,125,4.2,4.199,-0.0010000000000003,600.0,61,0.9991525423728814,355.0,2.358
9,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1378.25,120,4.2,4.199,-0.0010000000000003,600.0,61,0.9991525423728814,354.0,2.358
10,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1476.640000000014,130,4.2,4.199,-0.0010000000000003,600.0,61,0.9995762711864408,353.0,2.359
11,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1306.0,113,4.2,4.199,-0.0010000000000003,600.0,61,0.9995762711864408,352.0,2.359
12,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1484.570000000007,131,4.2,4.199,-0.0010000000000003,600.0,61,0.9995762711864408,351.0,2.359
13,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1341.6300000000049,117,4.2,4.199,-0.0010000000000003,600.0,61,0.9995762711864408,350.0,2.359
14,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1367.2600000000093,119,4.2,4.199,-0.0010000000000003,600.0,61,1.0,349.0,2.36
15,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1300.1300000000049,113,4.2,4.199,-0.0010000000000003,600.0,61,1.0,348.0,2.36
16,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1380.1699999999837,121,4.2,4.199,-0.0010000000000003,600.0,61,1.0,347.0,2.36
17,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1170.3300000000163,100,4.2,4.199,-0.0010000000000003,600.0,61,1.0,346.0,2.36
18,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1288.0,111,4.2,4.199,-0.0010000000000003,600.0,61,1.0,345.0,2.36
19,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1202.0599999999977,103,4.2,4.199,-0.0010000000000003,600.0,61,1.0,344.0,2.36
20,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1409.350000000035,123,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,343.0,2.361
21,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1372.4599999999627,120,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,342.0,2.361
22,8.020085869746953e-31,0.0,4.2,4.2,4.199999999999999,0.0,1245.8400000000256,107,4.2,4.199,-0.0010000000000003,600.0,61,1.0004237288135596,341.0,2.361
