cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
2,4.823578947368491e-06,0.6759243532828205,4.3452,4.3377,4.340459999999998,-0.3717285228538283,570.0,20,4.3452,4.3377,-0.0075000000000002,570.0,20,1.0237425862068965,1231.0,59.37707
3,4.699894736842222e-06,0.6557058327380092,4.3452,4.3377,4.340409999999999,-0.3497634281280519,570.0,20,4.3452,4.3377,-0.0075000000000002,570.0,20,1.023821551724138,1230.0,59.38165
4,4.545157894736858e-06,0.6740373868329753,4.3452,4.3377,4.34041,-0.2579716501362279,570.0,20,4.3452,4.3377,-0.0075000000000002,570.0,20,1.023746379310345,1229.0,59.37729
5,4.2435789473683e-06,0.6649051342980731,4.3452,4.3381,4.34076,-0.3729202747165803,570.0,20,4.3452,4.3381,-0.0071000000000003,570.0,20,1.0237068965517242,1228.0,59.375
6,4.3035789473685675e-06,0.7115857423892563,4.3455,4.3384,4.340940000000001,-0.2644249939286767,570.0,20,4.3455,4.3384,-0.0071000000000003,570.0,20,1.0239556896551725,1227.0,59.38943
7,4.385763157894667e-06,0.6775418725720117,4.3452,4.3381,4.340655,-0.3799756137380985,570.0,20,4.3452,4.3381,-0.0071000000000003,570.0,20,1.023498448275862,1226.0,59.36291
8,4.3750263157894215e-06,0.6328465462958422,4.3452,4.3381,4.340685000000001,-0.4111542461368693,570.0,20,4.3452,4.3381,-0.0071000000000003,570.0,20,1.023519827586207,1225.0,59.36415
9,4.4962894736842754e-06,0.6612836792589732,4.3452,4.3377,4.340504999999999,-0.3714080076125365,570.0,20,4.3452,4.3377,-0.0075000000000002,570.0,20,1.0235291379310345,1224.0,59.36469
10,4.482394736841952e-06,0.6131909156145502,4.3449,4.3377,4.340334999999999,-0.4734229046584275,570.0,20,4.3449,4.3377,-0.0072,570.0,20,1.023425344827586,1223.0,59.35867
11,4.262210526315694e-06,0.6370532549148569,4.3449,4.3377,4.34043,-0.4218937216503278,570.0,20,4.3449,4.3377,-0.0072,570.0,20,1.023446551724138,1222.0,59.3599
12,4.136421052631782e-06,0.6795163260135098,4.3455,4.3384,4.34108,-0.3586959469908737,570.0,20,4.3455,4.3384,-0.0071000000000003,570.0,20,1.023336724137931,1221.0,59.35353
13,4.3750263157894215e-06,0.6328465462958422,4.3452,4.3381,4.340685000000001,-0.4111542461368693,570.0,20,4.3452,4.3381,-0.0071000000000003,570.0,20,1.0231787931034482,1220.0,59.34437
14,4.225263157894629e-06,0.6609335456604418,4.3449,4.3377,4.340400000000001,-0.3630480253092423,571.0,20,4.3449,4.3377,-0.0072,571.0,20,1.0230293103448276,1219.0,59.3357
15,4.257473684210541e-06,0.6271543085258393,4.3449,4.3377,4.34032,-0.3735713857257234,570.0,20,4.3449,4.3377,-0.0072,570.0,20,1.0232260344827586,1218.0,59.34711
16,4.284631578947442e-06,0.7196422579347226,4.3449,4.3377,4.34024,-0.248583760614117,570.0,20,4.3449,4.3377,-0.0072,570.0,20,1.023208448275862,1217.0,59.34609
17,4.4595789473686055e-06,0.7110485210963249,4.3449,4.3374,4.34018,-0.2994241140288278,570.0,20,4.3449,4.3374,-0.0075000000000002,570.0,20,1.0231553448275863,1216.0,59.34301
18,4.0695789473685186e-06,0.6613498666262869,4.3449,4.3377,4.340369999999999,-0.2854651738833857,570.0,20,4.3449,4.3377,-0.0072,570.0,20,1.0230813793103448,1215.0,59.33872
