cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.7280697300587537e-05,1.964569190483902,4.2006731033325195,4.189826488494873,4.192861914634705,3.8775596689228102,60.200540092628216,4,4.2006731033325195,4.190150260925293,-0.0105228424072265,60.200540092628216,4,1.0388673950958287,447.0,1.1427541346054118
2,2.6861370088226977e-05,1.9339061557359631,4.2003493309021,4.189502716064453,4.19261908531189,3.764172240472128,60.20848956408736,4,4.2003493309021,4.189502716064453,-0.0108466148376464,60.20848956408736,4,1.03692027860282,446.0,1.140612306463102
3,2.6861370088226977e-05,1.9339061557359631,4.200511455535889,4.189664840698242,4.192781209945679,3.764172240472128,60.20075881863886,4,4.200511455535889,4.189664840698242,-0.0108466148376464,60.20075881863886,4,1.0352368024489031,445.0,1.1387604826937936
4,2.521901696657854e-05,1.929664979235083,4.2003493309021,4.189826488494873,4.192861914634705,3.748544635048905,60.19913337561593,4,4.2003493309021,4.189826488494873,-0.0105228424072265,60.19913337561593,4,1.0360831469056302,444.0,1.1396914615961933
5,2.4100112038164905e-05,1.9392621563211132,4.2003493309021,4.190150260925293,4.193023920059204,3.78027090527981,60.198145063448464,4,4.2003493309021,4.190150260925293,-0.0101990699768066,60.198145063448464,4,1.0358805073017618,443.0,1.139468558031938
6,2.4608391773502564e-05,1.945623660934266,4.200511455535889,4.190150260925293,4.193104863166809,3.808504211245527,60.19175312216976,4,4.200511455535889,4.190150260925293,-0.0103611946105957,60.19175312216976,4,1.0351706755238843,442.0,1.1386877430762727
7,2.437944908706413e-05,1.869961133259772,4.2003493309021,4.189664840698242,4.193023920059204,3.5806448003845865,60.21156063870876,4,4.2003493309021,4.189664840698242,-0.0106844902038574,60.21156063870876,4,1.0344671688875091,441.0,1.1379138857762603
8,2.345629688231081e-05,1.9032162092221825,4.2003493309021,4.190150260925293,4.193145275115967,3.6478739672300975,60.21728689555312,4,4.2003493309021,4.190150260925293,-0.0101990699768066,60.21728689555312,4,1.0337751792851082,440.0,1.137152697213619
9,2.192798410760588e-05,1.896677555954493,4.200187683105469,4.190312385559082,4.193226337432861,3.623098721252155,60.20871779351728,4,4.200187683105469,4.190312385559082,-0.0098752975463867,60.20871779351728,4,1.0329950180089114,439.0,1.136294519809803
10,2.301756518363618e-05,1.9467650074107417,4.2003493309021,4.190474033355713,4.1931856870651245,3.807042640631313,60.19791682844516,4,4.2003493309021,4.190474033355713,-0.0098752975463867,60.19791682844516,4,1.032220793026372,438.0,1.135442872329009
11,2.2852631900605047e-05,1.922496530105301,4.2003493309021,4.190312385559082,4.193226337432861,3.722035182223728,60.21227897409699,4,4.2003493309021,4.190312385559082,-0.0100369453430175,60.21227897409699,4,1.0311607392257185,437.0,1.13427681314829
12,2.2458466522342253e-05,1.9570263810059656,4.2003493309021,4.190474033355713,4.1932666301727295,3.850999154024155,60.21243282093201,4,4.2003493309021,4.190474033355713,-0.0098752975463867,60.21243282093201,4,1.03046544429425,436.0,1.133511988723675
13,2.2073220179663625e-05,1.9249178769081996,4.2003493309021,4.190636157989502,4.193347692489624,3.7238268874210014,60.187256392790005,4,4.2003493309021,4.190636157989502,-0.0097131729125976,60.187256392790005,4,1.0297026271087748,435.0,1.1326728898196523
14,2.1927520928481197e-05,1.896604623310351,4.2003493309021,4.190474033355713,4.193388104438782,3.6228155269567104,60.209672787517775,4,4.2003493309021,4.190474033355713,-0.0098752975463867,60.209672787517775,4,1.0290258458027293,434.0,1.1319284303830022
15,2.489843617089112e-05,1.9411804168621352,4.200511455535889,4.190150260925293,4.193064451217651,3.7874702475400817,60.21668353275163,4,4.200511455535889,4.190150260925293,-0.0103611946105957,60.21668353275163,4,1.025050618199026,433.0,1.1275556800189286
16,2.603243236383908e-05,1.93183161193122,4.2006731033325195,4.189988613128662,4.193064451217651,3.756533489482454,60.19519201014191,4,4.2006731033325195,4.189988613128662,-0.0106844902038574,60.19519201014191,4,1.0229374400994709,432.0,1.125231184109418
17,2.521901696657854e-05,1.929664979235083,4.200511455535889,4.189988613128662,4.193024039268494,3.748544635048905,60.20322163653327,4,4.200511455535889,4.189988613128662,-0.0105228424072265,60.20322163653327,4,1.0216061783434125,431.0,1.1237667961777535
18,2.4399754162611017e-05,1.9318962962286368,4.2003493309021,4.190150260925293,4.192983388900757,3.750594355653167,60.203062628686894,4,4.2003493309021,4.190150260925293,-0.0101990699768066,60.203062628686894,4,1.021255081312131,430.0,1.1233805894433442
19,2.433061465959933e-05,1.9473053236462028,4.200511455535889,4.190150260925293,4.193145394325256,3.8213110937805936,60.19947905925801,4,4.200511455535889,4.190150260925293,-0.0103611946105957,60.19947905925801,4,1.023221777618374,429.0,1.1255439553802116
20,2.2091553603331704e-05,1.91986907919087,4.2003493309021,4.190474033355713,4.1933475732803345,3.7122896751678702,60.19417137186974,4,4.2003493309021,4.190474033355713,-0.0098752975463867,60.19417137186974,4,1.0211797065072945,428.0,1.123297677158024
21,2.570896327824812e-05,1.9430389177859635,4.200511455535889,4.189988613128662,4.192942976951599,3.794425599921432,60.216733324865345,4,4.200511455535889,4.189988613128662,-0.0105228424072265,60.216733324865345,4,1.0181138318100675,427.0,1.1199252149910743
22,2.6337973395129662e-05,1.9266299941634577,4.200511455535889,4.189826488494873,4.192862033843994,3.7320377201045143,60.20572178758448,4,4.200511455535889,4.189826488494873,-0.0106849670410156,60.20572178758448,4,1.0171349744515754,426.0,1.118848471896733
23,2.534060937856945e-05,1.9028861044242815,4.2003493309021,4.189826488494873,4.192862033843994,3.64024613037773,60.1811234545894,4,4.2003493309021,4.189826488494873,-0.0105228424072265,60.1811234545894,4,1.0164663706419934,425.0,1.118113007706193
24,2.2836035346548066e-05,1.92731988322677,4.2003493309021,4.190474033355713,4.193226218223572,3.733059172191453,60.19524824206019,4,4.2003493309021,4.190474033355713,-0.0098752975463867,60.19524824206019,4,1.0190420120792278,424.0,1.1209462132871508
25,2.2930915671774223e-05,1.9685405765905433,4.200511455535889,4.190636157989502,4.193347692489624,3.889250765666695,60.205652415868826,4,4.200511455535889,4.190797805786133,-0.0097136497497558,60.205652415868826,4,1.0175483346647556,423.0,1.119303168131231
26,2.570896327824812e-05,1.9430389177859635,4.200511455535889,4.189988613128662,4.192942976951599,3.794425599921432,60.17590157373343,4,4.200511455535889,4.189988613128662,-0.0105228424072265,60.17590157373343,4,1.0141695589208195,422.0,1.1155865148129016
