cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,1.4627320448804918e-05,1.948930161870991,4.200242042541504,4.192138671875,4.194529294967651,3.842618661314052,65.02946885156416,4,4.200242042541504,4.192787170410156,-0.0074548721313476,65.02946885156416,4,1.0022198553040118,589.0,1.3529968046604162
2,1.6273097628527466e-05,1.971760691027658,4.200242042541504,4.19181489944458,4.194205164909363,3.9105529310424703,65.03043237602105,4,4.200242042541504,4.192300796508789,-0.0079412460327148,65.03043237602105,4,0.9970255081662078,588.0,1.345984436024381
3,1.6466790896174643e-05,1.980613380389964,4.200565814971924,4.192138671875,4.1944886445999146,3.93887692128672,65.02910090693331,4,4.200565814971924,4.192625045776367,-0.0079407691955566,65.02910090693331,4,0.9950334324904704,587.0,1.3432951338621353
4,1.5198774159822884e-05,1.972377883307915,4.200079917907715,4.191976547241211,4.1942455768585205,3.908138788840876,65.03579674860521,4,4.200079917907715,4.192625045776367,-0.0074548721313476,65.03579674860521,4,0.9925490828094988,586.0,1.3399412617928237
5,1.6536084103790927e-05,1.954914432379039,4.200403690338135,4.19181489944458,4.194326639175415,3.860352787561432,65.0302930642647,4,4.200403690338135,4.192625045776367,-0.0077786445617675,65.0302930642647,4,0.9913925399060266,585.0,1.338379928873136
6,1.5181251228568726e-05,1.9789623648713777,4.200242042541504,4.192138671875,4.19440770149231,3.9338316318888857,65.0291689355654,4,4.200242042541504,4.192625045776367,-0.0076169967651367,65.0291689355654,4,0.9955635338462058,584.0,1.3440107706923778
7,1.4016440142465097e-05,1.9466910368847483,4.200079917907715,4.192138671875,4.194488763809204,3.836018464203857,65.02427915811131,4,4.200079917907715,4.192787170410156,-0.0072927474975585,65.02427915811131,4,0.9955923249799912,583.0,1.344049638722988
8,1.4942578597280468e-05,1.9905365892312183,4.200242042541504,4.192300796508789,4.194448232650757,3.969644880799425,65.03883785754442,4,4.200242042541504,4.192625045776367,-0.0076169967651367,65.03883785754442,4,0.9881254269997544,582.0,1.3339693264496686
9,1.581652264803779e-05,1.9798119125019196,4.200403690338135,4.192138671875,4.194448113441467,3.936425367910146,65.02542972611263,4,4.200403690338135,4.192625045776367,-0.0077786445617675,65.02542972611263,4,0.9858829880941288,581.0,1.330942033927074
10,1.581652264803779e-05,1.9798119125019196,4.200403690338135,4.192138671875,4.194448113441467,3.936425367910146,65.04242421165691,4,4.200403690338135,4.192625045776367,-0.0077786445617675,65.04242421165691,4,0.9826323614138412,580.0,1.3265536879086857
11,1.5380497264535126e-05,1.98396111121888,4.200242042541504,4.192138671875,4.194367170333862,3.948001771572819,65.0329315327981,4,4.200242042541504,4.192462921142578,-0.0077791213989257,65.0329315327981,4,0.9840689514203712,579.0,1.3284930844175011
12,1.418940178155026e-05,1.9598240345655285,4.200242042541504,4.192300796508789,4.194610357284546,3.876567458627157,65.03636591107352,4,4.200242042541504,4.192949295043945,-0.0072927474975585,65.03636591107352,4,0.9874536323347556,578.0,1.3330624036519203
