cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.301,4.301,4.301,0.0,60.44799999985844,10,4.301,4.301,0.0,60.44799999985844,10,0.9421428571428572,262.0,2.638
2,0.0,0.0,4.301,4.301,4.301,0.0,60.44799999985844,10,4.301,4.301,0.0,60.44799999985844,10,0.9421428571428572,261.0,2.638
3,0.0,0.0,4.301,4.301,4.301,0.0,60.44799999985844,10,4.301,4.301,0.0,60.44799999985844,10,0.9421428571428572,260.0,2.638
4,0.0,0.0,4.301,4.301,4.301,0.0,60.44799999985844,10,4.301,4.301,0.0,60.44799999985844,10,0.9421428571428572,259.0,2.638
5,0.0,0.0,4.301,4.301,4.301,0.0,60.44799999985844,10,4.301,4.301,0.0,60.44799999985844,10,0.9421428571428572,258.0,2.638
6,0.0,0.0,4.301,4.301,4.301,0.0,60.44799999985844,10,4.301,4.301,0.0,60.44799999985844,10,0.9421428571428572,257.0,2.638
7,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,76.60699999984354,12,4.301,4.301,0.0,76.60699999984354,12,0.9410714285714286,256.0,2.635
8,0.0,0.0,4.301,4.301,4.301,0.0,62.27199999988079,10,4.301,4.301,0.0,62.27199999988079,10,0.94,255.0,2.632
9,0.0,0.0,4.301,4.301,4.301,0.0,51.26600000006147,9,4.301,4.301,0.0,51.26600000006147,9,0.9382142857142856,254.0,2.627
10,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,81.24600000004284,13,4.301,4.301,0.0,81.24600000004284,13,0.9378571428571428,253.0,2.626
11,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,76.99199999985285,12,4.301,4.301,0.0,76.99199999985285,12,0.9360714285714288,252.0,2.621
12,0.0,0.0,4.301,4.301,4.301,0.0,58.36700000008568,10,4.301,4.301,0.0,58.36700000008568,10,0.9357142857142858,251.0,2.62
13,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,75.26499999989755,12,4.301,4.301,0.0,75.26499999989755,12,0.9346428571428572,250.0,2.617
14,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,85.05499999993481,14,4.301,4.301,0.0,85.05499999993481,14,0.9332142857142858,249.0,2.613
15,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,65.95299999997951,11,4.301,4.301,0.0,65.95299999997951,11,0.9325,248.0,2.611
16,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,82.97700000018813,13,4.301,4.301,0.0,82.97700000018813,13,0.9317857142857144,247.0,2.609
17,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,68.03099999995902,11,4.301,4.301,0.0,68.03099999995902,11,0.93,246.0,2.604
18,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,72.23399999993853,12,4.301,4.301,0.0,72.23399999993853,12,0.93,245.0,2.604
19,0.0,0.0,4.301,4.301,4.301,0.0,50.01600000006147,9,4.301,4.301,0.0,50.01600000006147,9,0.9289285714285714,244.0,2.601
20,0.0,0.0,4.301,4.301,4.301,0.0,51.20300000021234,9,4.301,4.301,0.0,51.20300000021234,9,0.9289285714285714,243.0,2.601
21,0.0,0.0,4.301,4.301,4.301,0.0,62.65600000019185,10,4.301,4.301,0.0,62.65600000019185,10,0.9278571428571428,242.0,2.598
22,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,83.2960000000894,13,4.301,4.301,0.0,83.2960000000894,13,0.9275,241.0,2.597
23,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,66.93799999984913,11,4.301,4.301,0.0,66.93799999984913,11,0.9260714285714288,240.0,2.593
24,0.0,0.0,4.301,4.301,4.301,0.0,53.031999999890104,9,4.301,4.301,0.0,53.031999999890104,9,0.9260714285714288,239.0,2.593
