cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,65.24800000002142,11,4.3,4.3,0.0,65.24800000002142,11,0.9489285714285716,254.0,2.657
2,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,64.60900000005495,11,4.3,4.3,0.0,64.60900000005495,11,0.9478571428571428,253.0,2.654
3,0.0,0.0,4.3,4.3,4.3,0.0,44.35200000007171,8,4.3,4.3,0.0,44.35200000007171,8,0.9464285714285716,252.0,2.65
5,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,71.35900000005495,12,4.3,4.3,0.0,71.35900000005495,12,0.9442857142857144,250.0,2.644
6,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,69.91799999994691,11,4.3,4.3,0.0,69.91799999994691,11,0.9425,249.0,2.639
7,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,61.21900000004098,10,4.3,4.3,0.0,61.21900000004098,10,0.9421428571428572,248.0,2.638
8,0.0,0.0,4.3,4.3,4.3,0.0,52.828000000095926,9,4.3,4.3,0.0,52.828000000095926,9,0.9410714285714286,247.0,2.635
9,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,63.008000000030734,11,4.3,4.3,0.0,63.008000000030734,11,0.94,246.0,2.632
10,0.0,0.0,4.3,4.3,4.3,0.0,54.04700000002049,9,4.3,4.3,0.0,54.04700000002049,9,0.9385714285714288,245.0,2.628
11,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,76.93000000005122,12,4.3,4.3,0.0,76.93000000005122,12,0.9382142857142856,244.0,2.627
13,0.0,0.0,4.3,4.3,4.3,0.0,55.828000000095926,9,4.3,4.3,0.0,55.828000000095926,9,0.9364285714285716,242.0,2.622
14,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,68.43799999996554,11,4.3,4.3,0.0,68.43799999996554,11,0.935357142857143,241.0,2.619
15,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,58.17200000002049,10,4.3,4.3,0.0,58.17200000002049,10,0.935,240.0,2.618
16,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,71.17199999990407,12,4.3,4.3,0.0,71.17199999990407,12,0.9342857142857144,239.0,2.616
17,0.0,0.0,4.3,4.3,4.3,0.0,31.593999999924563,6,4.3,4.3,0.0,31.593999999924563,6,0.9335714285714286,238.0,2.614
18,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,66.43799999996554,11,4.3,4.3,0.0,66.43799999996554,11,0.9328571428571428,237.0,2.612
19,0.0,0.0,4.3,4.3,4.3,0.0,54.78200000000652,9,4.3,4.3,0.0,54.78200000000652,9,0.9314285714285716,236.0,2.608
20,8.452081127367983e-31,0.0,4.3,4.3,4.299999999999999,0.0,92.125,15,4.3,4.3,0.0,92.125,15,0.9314285714285716,235.0,2.608
21,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,68.29700000002049,11,4.3,4.3,0.0,68.29700000002049,11,0.9310714285714288,234.0,2.607
22,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,61.89100000006147,10,4.3,4.3,0.0,61.89100000006147,10,0.9292857142857144,233.0,2.602
23,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,63.32799999997951,11,4.3,4.3,0.0,63.32799999997951,11,0.9296428571428572,232.0,2.603
24,2.8869082407948532e-05,1.330021262216092,4.3,4.285,4.289423728813559,0.1325197237332775,14165.342999999992,59,4.3,4.285,-0.0149999999999996,14165.342999999992,59,0.9289285714285714,231.0,2.601
25,8.67746995743113e-31,0.0,4.3,4.3,4.299999999999999,0.0,64.875,11,4.3,4.3,0.0,64.875,11,0.9314285714285716,230.0,2.608
26,0.0,0.0,4.3,4.3,4.3,0.0,53.09299999999348,9,4.3,4.3,0.0,53.09299999999348,9,0.9325,229.0,2.611
27,0.0,0.0,4.3,4.3,4.3,0.0,41.78099999995902,7,4.3,4.3,0.0,41.78099999995902,7,0.9303571428571428,228.0,2.605
28,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,57.71900000004098,10,4.3,4.3,0.0,57.71900000004098,10,0.93,227.0,2.604
29,0.0,0.0,4.3,4.3,4.3,0.0,52.18699999991805,9,4.3,4.3,0.0,52.18699999991805,9,0.9289285714285714,226.0,2.601
30,0.0,0.0,4.3,4.3,4.3,0.0,38.375,7,4.3,4.3,0.0,38.375,7,0.9275,225.0,2.597
31,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,59.18800000008195,10,4.3,4.3,0.0,59.18800000008195,10,0.9264285714285716,224.0,2.594
32,0.0,0.0,4.3,4.3,4.3,0.0,36.09400000004098,7,4.3,4.3,0.0,36.09400000004098,7,0.9267857142857144,223.0,2.595
33,8.495425133149358e-31,0.0,4.3,4.3,4.299999999999999,0.0,88.56300000008196,14,4.3,4.3,0.0,88.56300000008196,14,0.9260714285714288,222.0,2.593
34,0.0,0.0,4.3,4.3,4.3,0.0,51.625,9,4.3,4.3,0.0,51.625,9,0.9242857142857144,221.0,2.588
35,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,70.09400000004098,12,4.3,4.3,0.0,70.09400000004098,12,0.9242857142857144,220.0,2.588
36,0.0,0.0,4.3,4.3,4.3,0.0,45.03099999995902,8,4.3,4.3,0.0,45.03099999995902,8,0.9225,219.0,2.583
37,0.0,0.0,4.3,4.3,4.3,0.0,44.25,8,4.3,4.3,0.0,44.25,8,0.9225,218.0,2.583
38,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,74.21900000004098,12,4.3,4.3,0.0,74.21900000004098,12,0.9214285714285716,217.0,2.58
39,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,56.93800000008195,10,4.3,4.3,0.0,56.93800000008195,10,0.9214285714285716,216.0,2.58
40,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,70.5,12,4.3,4.3,0.0,70.5,12,0.9203571428571428,215.0,2.577
41,0.0,0.0,4.3,4.3,4.3,0.0,53.03099999995902,9,4.3,4.3,0.0,53.03099999995902,9,0.9192857142857144,214.0,2.574
42,8.545993139894294e-31,0.0,4.3,4.3,4.299999999999999,0.0,77.25,13,4.3,4.3,0.0,77.25,13,0.9192857142857144,213.0,2.574
43,8.605755329683765e-31,0.0,4.3,4.3,4.299999999999999,0.0,71.68800000008196,12,4.3,4.3,0.0,71.68800000008196,12,0.9185714285714288,212.0,2.572
44,0.0,0.0,4.3,4.3,4.3,0.0,52.25,9,4.3,4.3,0.0,52.25,9,0.9175,211.0,2.569
46,8.765121169122354e-31,0.0,4.3,4.3,4.299999999999999,0.0,62.5,10,4.3,4.3,0.0,62.5,10,0.9164285714285716,209.0,2.566
48,3.3996503496503785e-05,0.853944546482192,4.3,4.286,4.290863636363636,-1.1104596210885935,14217.188000000082,66,4.3,4.286,-0.0140000000000002,14217.188000000082,66,0.915,207.0,2.562
49,3.3996503496503785e-05,0.853944546482192,4.3,4.286,4.290863636363636,-1.1104596210885935,14217.188000000082,66,4.3,4.286,-0.0140000000000002,14217.188000000082,66,0.915,206.0,2.562
54,0.0,0.0,4.3,4.3,4.3,0.0,60.351000000024214,3,4.3,4.3,0.0,60.351000000024214,3,0.9114285714285716,201.0,2.552
55,0.0,0.0,4.3,4.3,4.3,0.0,37.78899999987334,3,4.3,4.3,0.0,37.78899999987334,3,0.9114285714285716,200.0,2.552
56,0.0,0.0,4.3,4.3,4.3,0.0,82.24200000008568,4,4.3,4.3,0.0,82.24200000008568,4,0.9114285714285716,199.0,2.552
57,0.0,0.0,4.3,4.3,4.3,0.0,42.43699999991805,3,4.3,4.3,0.0,42.43699999991805,3,0.9103571428571428,198.0,2.549
58,0.0,0.0,4.3,4.3,4.3,0.0,66.33599999989383,3,4.3,4.3,0.0,66.33599999989383,3,0.9096428571428572,197.0,2.547
