cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.380952380953971e-07,-1.2296340919107835,4.301,4.3,4.300714285714285,-0.8400000000102308,41.98300000000745,7,4.3,4.301,0.0010000000000003,41.98300000000745,7,0.9439285714285716,258.0,2.643
2,8.3333333333389e-08,-3.464101615136832,4.301,4.3,4.300916666666667,11.999999999994872,76.99199999996927,12,4.301,4.301,0.0,76.99199999996927,12,0.942857142857143,257.0,2.64
3,9.203377227578472e-31,0.0,4.301,4.301,4.301000000000001,0.0,41.98499999998603,7,4.301,4.301,0.0,41.98499999998603,7,0.9432142857142858,256.0,2.641
4,2.181818181819639e-07,-1.1893733869147058,4.301,4.3,4.300727272727273,-0.7638888888864219,69.98400000005495,11,4.301,4.301,0.0,69.98400000005495,11,0.9410714285714286,255.0,2.635
5,1.714285714286859e-07,-1.6720819322496578,4.301,4.3,4.3008,0.8974358974282488,98.01599999994504,15,4.301,4.3,-0.0010000000000003,98.01599999994504,15,0.9410714285714286,254.0,2.635
6,2.651515151516922e-07,0.3884033249795024,4.301,4.3,4.300416666666667,-2.2628571428587554,77.02299999992829,12,4.301,4.301,0.0,77.02299999992829,12,0.9396428571428572,253.0,2.631
7,9.090909090915165e-08,3.316624790363256,4.301,4.3,4.300090909090908,11.000000000042627,69.98400000005495,11,4.301,4.3,-0.0010000000000003,69.98400000005495,11,0.9385714285714288,252.0,2.628
8,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,69.98400000005495,11,4.301,4.301,0.0,69.98400000005495,11,0.9357142857142858,251.0,2.62
9,1.6666666666677798e-07,-2.4494897427815476,4.301,4.3,4.300833333333333,5.999999999991719,34.9769999999553,6,4.301,4.301,0.0,34.9769999999553,6,0.9360714285714288,250.0,2.621
10,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,76.99199999996927,12,4.301,4.301,0.0,76.99199999996927,12,0.9346428571428572,249.0,2.617
11,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,77.0230000000447,12,4.301,4.301,0.0,77.0230000000447,12,0.9328571428571428,248.0,2.612
12,1.1111111111118533e-07,-2.9999999999920055,4.301,4.3,4.300888888888888,8.999999999958547,50.92200000002049,9,4.301,4.3,-0.0010000000000003,50.92200000002049,9,0.9307142857142856,247.0,2.606
13,0.0,0.0,4.301,4.301,4.301,0.0,56.0,9,4.301,4.301,0.0,56.0,9,0.9310714285714288,246.0,2.607
14,0.0,0.0,4.301,4.301,4.301,0.0,48.98400000005495,8,4.301,4.301,0.0,48.98400000005495,8,0.9314285714285716,245.0,2.608
15,2.045454545455912e-07,-1.326649916147462,4.301,4.3,4.300750000000001,-0.3259259259146372,77.0,12,4.3,4.301,0.0010000000000003,77.0,12,0.9307142857142856,244.0,2.606
16,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,77.0,12,4.301,4.301,0.0,77.0,12,0.9285714285714288,243.0,2.6
17,9.203377227578472e-31,0.0,4.301,4.301,4.301000000000001,0.0,42.01500000001397,7,4.301,4.301,0.0,42.01500000001397,7,0.9285714285714288,242.0,2.6
18,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,69.98400000005495,11,4.301,4.301,0.0,69.98400000005495,11,0.9278571428571428,241.0,2.598
19,2.6666666666684476e-07,0.1489608979294667,4.301,4.3,4.300466666666667,-2.307692307692672,97.98399999993852,15,4.301,4.3,-0.0010000000000003,97.98399999993852,15,0.9257142857142858,240.0,2.592
20,2.142857142858574e-07,-1.440164599644273,4.301,4.3,4.30075,-4.972910971901001e-12,48.98399999993853,8,4.301,4.301,0.0,48.98399999993853,8,0.9239285714285717,239.0,2.587
22,0.0,0.0,4.301,4.301,4.301,0.0,63.0,10,4.301,4.301,0.0,63.0,10,0.925,237.0,2.59
23,9.090909090915162e-08,-3.3166247903524537,4.301,4.3,4.300909090909091,10.99999999998401,69.98499999998603,11,4.301,4.301,0.0,69.98499999998603,11,0.9228571428571428,236.0,2.584
24,9.090909090915162e-08,-3.3166247903524537,4.301,4.3,4.300909090909091,10.99999999998401,69.98499999998603,11,4.301,4.301,0.0,69.98499999998603,11,0.9228571428571428,235.0,2.584
25,0.0,0.0,4.301,4.301,4.301,0.0,56.0,9,4.301,4.301,0.0,56.0,9,0.9257142857142858,234.0,2.592
26,2.651515151516923e-07,0.3884033249857118,4.301,4.3,4.300416666666666,-2.2628571428548843,77.03200000000652,12,4.3,4.3,0.0,77.03200000000652,12,0.9267857142857144,233.0,2.595
27,1.3186813186821997e-07,-2.294821061375323,4.301,4.3,4.300857142857144,3.791666666688535,90.96900000004098,14,4.301,4.301,0.0,90.96900000004098,14,0.9257142857142858,232.0,2.592
28,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,70.0,11,4.301,4.301,0.0,70.0,11,0.9217857142857144,231.0,2.581
29,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,84.0,13,4.301,4.301,0.0,84.0,13,0.9210714285714288,230.0,2.579
30,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,77.0319999998901,12,4.301,4.301,0.0,77.0319999998901,12,0.9217857142857144,229.0,2.581
31,0.0,0.0,4.301,4.301,4.301,0.0,49.0,8,4.301,4.301,0.0,49.0,8,0.9207142857142856,228.0,2.578
32,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,77.0,12,4.301,4.301,0.0,77.0,12,0.9196428571428572,227.0,2.575
33,0.0,0.0,4.301,4.301,4.301,0.0,56.0,9,4.301,4.301,0.0,56.0,9,0.9192857142857144,226.0,2.574
34,0.0,0.0,4.301,4.301,4.301,0.0,63.0,10,4.301,4.301,0.0,63.0,10,0.918214285714286,225.0,2.571
35,9.090909090915162e-08,-3.3166247903524533,4.301,4.3,4.300909090909091,10.99999999998401,70.0,11,4.301,4.3,-0.0010000000000003,70.0,11,0.9175,224.0,2.569
37,7.692307692312831e-08,-3.605551275472723,4.301,4.3,4.300923076923078,13.00000000004974,84.0,13,4.301,4.301,0.0,84.0,13,0.915357142857143,222.0,2.563
38,2.727272727274549e-07,-0.2127615794991408,4.301,4.3,4.300545454545454,-2.4444444444452342,69.9680000001099,11,4.3,4.301,0.0010000000000003,69.9680000001099,11,0.915,221.0,2.562
39,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,70.03100000019185,11,4.301,4.301,0.0,70.03100000019185,11,0.9146428571428572,220.0,2.561
40,2.3809523809539714e-07,-1.229634091918428,4.301,4.3,4.300714285714286,-0.8399999999923269,41.96899999980815,7,4.301,4.3,-0.0010000000000003,41.96899999980815,7,0.9135714285714286,219.0,2.558
42,1.944444444445743e-07,-1.6198477414638008,4.301,4.3,4.300777777777777,0.7346938775389376,56.0,9,4.3,4.3,0.0,56.0,9,0.9128571428571428,217.0,2.556
44,1.1111111111118533e-07,-2.9999999999920055,4.301,4.3,4.300888888888888,8.999999999958547,56.0,9,4.301,4.3,-0.0010000000000003,56.0,9,0.9103571428571428,215.0,2.549
45,8.452081127367983e-31,0.0,4.301,4.301,4.301000000000001,0.0,98.06300000008196,15,4.301,4.301,0.0,98.06300000008196,15,0.9107142857142856,214.0,2.55
46,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,91.0,14,4.301,4.301,0.0,91.0,14,0.91,213.0,2.548
47,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,70.0,11,4.301,4.301,0.0,70.0,11,0.9085714285714288,212.0,2.544
48,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,70.0,11,4.301,4.301,0.0,70.0,11,0.9085714285714288,211.0,2.544
49,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,70.0,11,4.301,4.301,0.0,70.0,11,0.9085714285714288,210.0,2.544
50,2.50000000000167e-07,1.9999999999973357,4.301,4.3,4.30025,3.999999999982237,108.0,4,4.3,4.301,0.0010000000000003,108.0,4,0.9096428571428572,209.0,2.547
51,2.50000000000167e-07,1.9999999999973357,4.301,4.3,4.30025,3.999999999982237,108.0,4,4.3,4.301,0.0010000000000003,108.0,4,0.9096428571428572,208.0,2.547
54,0.0,0.0,4.3,4.3,4.3,0.0,108.0,4,4.3,4.3,0.0,108.0,4,0.9046428571428572,205.0,2.533
55,0.0,0.0,4.3,4.3,4.3,0.0,72.0,3,4.3,4.3,0.0,72.0,3,0.908214285714286,204.0,2.543
