cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,63.167999999946915,11,4.301,4.301,0.0,63.167999999946915,11,0.9435714285714286,238.0,2.642
2,8.452081127367983e-31,0.0,4.301,4.301,4.301000000000001,0.0,94.68700000003446,15,4.301,4.301,0.0,94.68700000003446,15,0.9432142857142858,237.0,2.641
3,0.0,0.0,4.301,4.301,4.301,0.0,58.43299999996088,10,4.301,4.301,0.0,58.43299999996088,10,0.9417857142857144,236.0,2.637
4,0.0,0.0,4.301,4.301,4.301,0.0,102.46400000003632,16,4.301,4.301,0.0,102.46400000003632,16,0.9421428571428572,235.0,2.638
5,0.0,0.0,4.301,4.301,4.301,0.0,112.28899999998976,18,4.301,4.301,0.0,112.28899999998976,18,0.9407142857142856,234.0,2.634
6,0.0,0.0,4.301,4.301,4.301,0.0,112.0,17,4.301,4.301,0.0,112.0,17,0.9414285714285716,233.0,2.636
7,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,74.97600000002421,12,4.301,4.301,0.0,74.97600000002421,12,0.9389285714285714,232.0,2.629
8,0.0,0.0,4.301,4.301,4.301,0.0,62.9769999999553,10,4.301,4.301,0.0,62.9769999999553,10,0.9385714285714288,231.0,2.628
9,0.0,0.0,4.301,4.301,4.301,0.0,170.9760000000242,26,4.301,4.301,0.0,170.9760000000242,26,0.9367857142857144,230.0,2.623
10,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,88.54700000002049,14,4.301,4.301,0.0,88.54700000002049,14,0.9357142857142858,229.0,2.62
11,8.67746995743113e-31,0.0,4.301,4.301,4.301000000000001,0.0,69.98400000005495,11,4.301,4.301,0.0,69.98400000005495,11,0.935,228.0,2.618
12,0.0,0.0,4.301,4.301,4.301,0.0,53.125,9,4.301,4.301,0.0,53.125,9,0.9342857142857144,227.0,2.616
13,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,76.18799999996554,12,4.301,4.301,0.0,76.18799999996554,12,0.9335714285714286,226.0,2.614
14,0.0,0.0,4.301,4.301,4.301,0.0,129.375,20,4.301,4.301,0.0,129.375,20,0.9317857142857144,225.0,2.609
15,8.452081127367983e-31,0.0,4.301,4.301,4.301000000000001,0.0,93.125,15,4.301,4.301,0.0,93.125,15,0.9307142857142856,224.0,2.606
16,0.0,0.0,4.301,4.301,4.301,0.0,136.23499999998603,21,4.301,4.301,0.0,136.23499999998603,21,0.9307142857142856,223.0,2.606
17,0.0,0.0,4.301,4.301,4.301,0.0,118.23399999993852,18,4.301,4.301,0.0,118.23399999993852,18,0.9296428571428572,222.0,2.603
18,0.0,0.0,4.301,4.301,4.301,0.0,130.81299999996554,20,4.301,4.301,0.0,130.81299999996554,20,0.9285714285714288,221.0,2.6
19,0.0,0.0,4.301,4.301,4.301,0.0,60.64099999994505,10,4.301,4.301,0.0,60.64099999994505,10,0.9278571428571428,220.0,2.598
20,0.0,0.0,4.301,4.301,4.301,0.0,124.82799999997953,19,4.301,4.301,0.0,124.82799999997953,19,0.9275,219.0,2.597
21,0.0,0.0,4.301,4.301,4.301,0.0,58.65599999995902,10,4.301,4.301,0.0,58.65599999995902,10,0.9257142857142858,218.0,2.592
22,0.0,0.0,4.301,4.301,4.301,0.0,103.32799999997953,16,4.301,4.301,0.0,103.32799999997953,16,0.9257142857142858,217.0,2.592
23,8.264257102315362e-31,0.0,4.301,4.301,4.301000000000001,0.0,140.18799999996554,22,4.301,4.301,0.0,140.18799999996554,22,0.9246428571428572,216.0,2.589
24,3.091210045662163e-05,0.5060938246720935,4.301,4.288,4.293589041095891,-1.6161892981805834,14268.34400000004,73,4.301,4.288,-0.0129999999999999,14268.34400000004,73,0.925,215.0,2.59
25,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,77.0,12,4.301,4.301,0.0,77.0,12,0.9296428571428572,214.0,2.603
26,0.0,0.0,4.301,4.301,4.301,0.0,122.40600000007544,19,4.301,4.301,0.0,122.40600000007544,19,0.9271428571428572,213.0,2.596
27,0.0,0.0,4.301,4.301,4.301,0.0,115.40600000019184,18,4.301,4.301,0.0,115.40600000019184,18,0.9246428571428572,212.0,2.589
28,8.452081127367983e-31,0.0,4.301,4.301,4.301000000000001,0.0,92.0,15,4.301,4.301,0.0,92.0,15,0.9239285714285717,211.0,2.587
29,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,80.375,13,4.301,4.301,0.0,80.375,13,0.9217857142857144,210.0,2.581
30,0.0,0.0,4.301,4.301,4.301,0.0,111.81300000008196,17,4.301,4.301,0.0,111.81300000008196,17,0.9217857142857144,209.0,2.581
31,0.0,0.0,4.301,4.301,4.301,0.0,63.0,10,4.301,4.301,0.0,63.0,10,0.9214285714285716,208.0,2.58
32,9.203377227578472e-31,0.0,4.301,4.301,4.301000000000001,0.0,39.65599999995902,7,4.301,4.301,0.0,39.65599999995902,7,0.9196428571428572,207.0,2.575
33,0.0,0.0,4.301,4.301,4.301,0.0,52.40599999995902,9,4.301,4.301,0.0,52.40599999995902,9,0.9192857142857144,206.0,2.574
34,0.0,0.0,4.301,4.301,4.301,0.0,137.15599999995902,21,4.301,4.301,0.0,137.15599999995902,21,0.9185714285714288,205.0,2.572
35,0.0,0.0,4.301,4.301,4.301,0.0,63.03099999995902,10,4.301,4.301,0.0,63.03099999995902,10,0.918214285714286,204.0,2.571
36,0.0,0.0,4.301,4.301,4.301,0.0,105.375,17,4.301,4.301,0.0,105.375,17,0.9167857142857144,203.0,2.567
37,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,76.25,12,4.301,4.301,0.0,76.25,12,0.9157142857142858,202.0,2.564
38,0.0,0.0,4.301,4.301,4.301,0.0,49.0,8,4.301,4.301,0.0,49.0,8,0.9164285714285716,201.0,2.566
39,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,88.9680000001099,14,4.301,4.301,0.0,88.9680000001099,14,0.9146428571428572,200.0,2.561
40,0.0,0.0,4.301,4.301,4.301,0.0,60.687999999849126,10,4.301,4.301,0.0,60.687999999849126,10,0.9146428571428572,199.0,2.561
41,0.0,0.0,4.301,4.301,4.301,0.0,101.59400000004098,16,4.301,4.301,0.0,101.59400000004098,16,0.9135714285714286,198.0,2.558
42,0.0,0.0,4.301,4.301,4.301,0.0,125.25,19,4.301,4.301,0.0,125.25,19,0.9132142857142858,197.0,2.557
43,8.247182190946941e-31,0.0,4.301,4.301,4.301000000000001,0.0,152.875,23,4.301,4.301,0.0,152.875,23,0.9125,196.0,2.555
44,0.0,0.0,4.301,4.301,4.301,0.0,57.68699999991805,10,4.301,4.301,0.0,57.68699999991805,10,0.9117857142857144,195.0,2.553
45,0.0,0.0,4.301,4.301,4.301,0.0,118.125,18,4.301,4.301,0.0,118.125,18,0.9107142857142856,194.0,2.55
46,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,77.93699999991804,13,4.301,4.301,0.0,77.93699999991804,13,0.9107142857142856,193.0,2.55
47,8.605755329683765e-31,0.0,4.301,4.301,4.301000000000001,0.0,72.5,12,4.301,4.301,0.0,72.5,12,0.908214285714286,192.0,2.543
48,2.772727272727362e-05,0.7701747489145698,4.301,4.288,4.293,-1.2245565294690004,14221.625,67,4.301,4.288,-0.0129999999999999,14221.625,67,0.908214285714286,191.0,2.543
