cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.637362637359715e-07,-0.3245367068250991,4.302,4.301,4.301571428571429,-2.240530303028117,89.88799999991897,14,4.302,4.301,-0.0009999999999994,89.88799999991897,14,0.945,246.0,2.646
2,2.666666666663711e-07,0.1489608979266883,4.302,4.301,4.301466666666667,-2.30769230769331,97.2149999999674,15,4.302,4.301,-0.0009999999999994,97.2149999999674,15,0.945,245.0,2.646
3,1.6842105263139228e-07,-1.6244657241377134,4.302,4.301,4.3018,0.6985294117716556,128.8959999999497,20,4.301,4.302,0.0009999999999994,128.8959999999497,20,0.9442857142857144,244.0,2.644
4,2.124183006533593e-07,1.084860856017923,4.302,4.301,4.301277777777778,-0.9415384615408152,118.04700000002047,18,4.301,4.301,0.0,118.04700000002047,18,0.942857142857143,243.0,2.64
5,7.142857142849225e-08,3.741657386765635,4.302,4.301,4.301071428571429,13.999999999951562,88.41399999998976,14,4.301,4.301,0.0,88.41399999998976,14,0.9421428571428572,242.0,2.638
6,2.2916666666641266e-07,0.8952565163443839,4.302,4.301,4.3013125,-1.3906093906083052,103.29700000002047,16,4.301,4.301,0.0,103.29700000002047,16,0.9410714285714286,241.0,2.635
7,6.249999999993074e-08,3.999999999995433,4.302,4.301,4.3010625000000005,15.999999999972124,100.32099999999627,16,4.301,4.301,0.0,100.32099999999627,16,0.94,240.0,2.632
8,1.714285714283814e-07,-1.6720819322555984,4.302,4.301,4.3018,0.8974358974435512,96.45299999997953,15,4.301,4.301,0.0,96.45299999997953,15,0.9389285714285714,239.0,2.629
9,1.999999999997783e-07,1.2777531300032847,4.302,4.301,4.30125,-0.439560439553802,102.3049999999348,16,4.301,4.301,0.0,102.3049999999348,16,0.9378571428571428,238.0,2.626
10,2.426470588232604e-07,0.6766922918963759,4.302,4.301,4.301352941176471,-1.7662337662341343,106.14000000001396,17,4.301,4.301,0.0,106.14000000001396,17,0.9367857142857144,237.0,2.623
11,2.3333333333307477e-07,0.7627040392751601,4.302,4.301,4.301333333333333,-1.5789473684187676,134.295999999973,21,4.301,4.301,0.0,134.295999999973,21,0.9357142857142858,236.0,2.62
12,2.62499999999709e-07,0.2788285922672945,4.302,4.301,4.3014375000000005,-2.218733647306656,102.85899999993852,16,4.301,4.301,0.0,102.85899999993852,16,0.935,235.0,2.618
13,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,90.68700000003446,14,4.301,4.301,0.0,90.68700000003446,14,0.9328571428571428,234.0,2.612
