cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.299,4.299,4.299,0.0,97.98399999993852,15,4.299,4.299,0.0,97.98399999993852,15,0.9471428571428572,261.0,2.652
2,0.0,0.0,4.299,4.299,4.299,0.0,63.00799999991432,10,4.299,4.299,0.0,63.00799999991432,10,0.9453571428571428,260.0,2.647
3,0.0,0.0,4.299,4.299,4.299,0.0,112.0,17,4.299,4.299,0.0,112.0,17,0.9446428571428572,259.0,2.645
4,0.0,0.0,4.299,4.299,4.299,0.0,112.0,17,4.299,4.299,0.0,112.0,17,0.9435714285714286,258.0,2.642
5,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9425,257.0,2.639
7,0.0,0.0,4.299,4.299,4.299,0.0,35.00799999991432,6,4.299,4.299,0.0,35.00799999991432,6,0.9396428571428572,255.0,2.631
8,0.0,0.0,4.299,4.299,4.299,0.0,56.0,9,4.299,4.299,0.0,56.0,9,0.9396428571428572,254.0,2.631
9,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9375,253.0,2.625
10,0.0,0.0,4.299,4.299,4.299,0.0,70.01599999994505,11,4.299,4.299,0.0,70.01599999994505,11,0.9367857142857144,252.0,2.623
11,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.935357142857143,251.0,2.619
12,0.0,0.0,4.299,4.299,4.299,0.0,49.01500000001397,8,4.299,4.299,0.0,49.01500000001397,8,0.9335714285714286,250.0,2.614
13,0.0,0.0,4.299,4.299,4.299,0.0,98.01599999994504,15,4.299,4.299,0.0,98.01599999994504,15,0.9346428571428572,249.0,2.617
14,0.0,0.0,4.299,4.299,4.299,0.0,41.98399999993853,7,4.299,4.299,0.0,41.98399999993853,7,0.9339285714285716,248.0,2.615
15,0.0,0.0,4.299,4.299,4.299,0.0,91.01599999994504,14,4.299,4.299,0.0,91.01599999994504,14,0.9321428571428572,247.0,2.61
16,0.0,0.0,4.299,4.299,4.299,0.0,76.98399999993853,12,4.299,4.299,0.0,76.98399999993853,12,0.9314285714285716,246.0,2.608
17,0.0,0.0,4.299,4.299,4.299,0.0,56.0,9,4.299,4.299,0.0,56.0,9,0.9307142857142856,245.0,2.606
18,0.0,0.0,4.299,4.299,4.299,0.0,91.01500000001396,14,4.299,4.299,0.0,91.01500000001396,14,0.9292857142857144,244.0,2.602
19,0.0,0.0,4.299,4.299,4.299,0.0,77.03099999995902,12,4.299,4.299,0.0,77.03099999995902,12,0.9303571428571428,243.0,2.605
20,8.326865110666236e-31,0.0,4.299,4.299,4.299000000000001,0.0,125.98400000005496,19,4.299,4.299,0.0,125.98400000005496,19,0.9289285714285714,242.0,2.601
21,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,118.98400000005496,18,4.299,4.299,0.0,118.98400000005496,18,0.928214285714286,241.0,2.599
22,0.0,0.0,4.299,4.299,4.299,0.0,42.01500000001397,7,4.299,4.299,0.0,42.01500000001397,7,0.9264285714285716,240.0,2.594
23,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9267857142857144,239.0,2.595
24,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9267857142857144,238.0,2.595
25,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9307142857142856,237.0,2.606
26,0.0,0.0,4.299,4.299,4.299,0.0,42.0,7,4.299,4.299,0.0,42.0,7,0.9278571428571428,236.0,2.598
27,0.0,0.0,4.299,4.299,4.299,0.0,70.0,11,4.299,4.299,0.0,70.0,11,0.9278571428571428,235.0,2.598
28,0.0,0.0,4.299,4.299,4.299,0.0,49.0,8,4.299,4.299,0.0,49.0,8,0.9264285714285716,234.0,2.594
29,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,114.59400000004098,18,4.299,4.299,0.0,114.59400000004098,18,0.9242857142857144,233.0,2.588
30,0.0,0.0,4.299,4.299,4.299,0.0,63.0,10,4.299,4.299,0.0,63.0,10,0.925,232.0,2.59
32,0.0,0.0,4.299,4.299,4.299,0.0,62.968000000109896,10,4.299,4.299,0.0,62.968000000109896,10,0.9217857142857144,230.0,2.581
33,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,119.0,18,4.299,4.299,0.0,119.0,18,0.9221428571428572,229.0,2.582
34,0.0,0.0,4.299,4.299,4.299,0.0,62.96900000004098,10,4.299,4.299,0.0,62.96900000004098,10,0.9207142857142856,228.0,2.578
35,0.0,0.0,4.299,4.299,4.299,0.0,76.9680000001099,12,4.299,4.299,0.0,76.9680000001099,12,0.9207142857142856,227.0,2.578
36,0.0,0.0,4.299,4.299,4.299,0.0,69.9680000001099,11,4.299,4.299,0.0,69.9680000001099,11,0.918214285714286,226.0,2.571
37,0.0,0.0,4.299,4.299,4.299,0.0,56.0,9,4.299,4.299,0.0,56.0,9,0.9178571428571428,225.0,2.57
38,0.0,0.0,4.299,4.299,4.299,0.0,98.0,15,4.299,4.299,0.0,98.0,15,0.9178571428571428,224.0,2.57
39,0.0,0.0,4.299,4.299,4.299,0.0,56.0,9,4.299,4.299,0.0,56.0,9,0.9175,223.0,2.569
40,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9164285714285716,222.0,2.566
41,0.0,0.0,4.299,4.299,4.299,0.0,76.9680000001099,12,4.299,4.299,0.0,76.9680000001099,12,0.9146428571428572,221.0,2.561
42,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9157142857142858,220.0,2.564
43,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9135714285714286,219.0,2.558
44,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9132142857142858,218.0,2.557
45,0.0,0.0,4.299,4.299,4.299,0.0,98.06200000015087,15,4.299,4.299,0.0,98.06200000015087,15,0.9121428571428573,217.0,2.554
46,0.0,0.0,4.299,4.299,4.299,0.0,63.0,10,4.299,4.299,0.0,63.0,10,0.9125,216.0,2.555
47,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9117857142857144,215.0,2.553
48,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9117857142857144,214.0,2.553
49,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9117857142857144,213.0,2.553
50,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9117857142857144,212.0,2.553
51,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9117857142857144,211.0,2.553
52,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9139285714285716,210.0,2.559
53,0.0,0.0,4.299,4.299,4.299,0.0,76.5429999998305,4,4.299,4.299,0.0,76.5429999998305,4,0.9071428571428573,209.0,2.54
54,0.0,0.0,4.299,4.299,4.299,0.0,108.0,4,4.299,4.299,0.0,108.0,4,0.9092857142857144,208.0,2.546
57,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.91,205.0,2.548
58,0.0,0.0,4.299,4.299,4.299,0.0,108.0,4,4.299,4.299,0.0,108.0,4,0.9035714285714286,204.0,2.53
60,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9071428571428573,202.0,2.54
66,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9017857142857144,196.0,2.525
69,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9025,193.0,2.527
70,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9025,192.0,2.527
71,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9025,191.0,2.527
72,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9025,190.0,2.527
73,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9025,189.0,2.527
74,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8975000000000001,188.0,2.513
75,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9,187.0,2.52
83,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8942857142857144,179.0,2.504
85,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8871428571428572,177.0,2.484
87,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8896428571428573,175.0,2.491
89,0.0,0.0,4.299,4.299,4.299,0.0,108.0,4,4.299,4.299,0.0,108.0,4,0.8825000000000001,173.0,2.471
91,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8871428571428572,171.0,2.484
92,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8871428571428572,170.0,2.484
93,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.8839285714285715,169.0,2.475
