cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.452081127367983e-31,0.0,4.301,4.301,4.301000000000001,0.0,91.52000000001864,15,4.301,4.301,0.0,91.52000000001864,15,0.945,227.0,2.646
2,0.0,0.0,4.301,4.301,4.301,0.0,112.0,17,4.301,4.301,0.0,112.0,17,0.9464285714285716,226.0,2.65
3,0.0,0.0,4.301,4.301,4.301,0.0,111.39000000001396,17,4.301,4.301,0.0,111.39000000001396,17,0.9439285714285716,225.0,2.643
4,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,85.76199999998789,14,4.301,4.301,0.0,85.76199999998789,14,0.9439285714285716,224.0,2.643
5,8.545993139894294e-31,0.0,4.301,4.301,4.301000000000001,0.0,78.27000000001863,13,4.301,4.301,0.0,78.27000000001863,13,0.942857142857143,223.0,2.64
6,0.0,0.0,4.301,4.301,4.301,0.0,100.95699999993668,16,4.301,4.301,0.0,100.95699999993668,16,0.9421428571428572,222.0,2.638
7,0.0,0.0,4.301,4.301,4.301,0.0,120.38300000003072,19,4.301,4.301,0.0,120.38300000003072,19,0.9410714285714286,221.0,2.635
8,0.0,0.0,4.301,4.301,4.301,0.0,127.90599999995902,20,4.301,4.301,0.0,127.90599999995902,20,0.94,220.0,2.632
9,8.452081127367983e-31,0.0,4.301,4.301,4.301000000000001,0.0,93.98400000005496,15,4.301,4.301,0.0,93.98400000005496,15,0.9389285714285714,219.0,2.629
10,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,87.74199999996927,14,4.301,4.301,0.0,87.74199999996927,14,0.9371428571428572,218.0,2.624
11,8.495425133149358e-31,0.0,4.301,4.301,4.301000000000001,0.0,89.21100000001024,14,4.301,4.301,0.0,89.21100000001024,14,0.9367857142857144,217.0,2.623
12,0.0,0.0,4.301,4.301,4.301,0.0,108.375,17,4.301,4.301,0.0,108.375,17,0.935,216.0,2.618
