cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.299,4.299,4.299,0.0,98.01599999994504,15,4.299,4.299,0.0,98.01599999994504,15,0.9453571428571428,245.0,2.647
2,0.0,0.0,4.299,4.299,4.299,0.0,98.01599999994504,15,4.299,4.299,0.0,98.01599999994504,15,0.9432142857142858,244.0,2.641
3,0.0,0.0,4.299,4.299,4.299,0.0,63.008000000030734,10,4.299,4.299,0.0,63.008000000030734,10,0.9421428571428572,243.0,2.638
4,0.0,0.0,4.299,4.299,4.299,0.0,91.00800000003072,14,4.299,4.299,0.0,91.00800000003072,14,0.94,242.0,2.632
5,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9378571428571428,241.0,2.626
6,0.0,0.0,4.299,4.299,4.299,0.0,104.99199999996928,16,4.299,4.299,0.0,104.99199999996928,16,0.9385714285714288,240.0,2.628
7,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,119.00800000003072,18,4.299,4.299,0.0,119.00800000003072,18,0.935357142857143,239.0,2.619
8,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.935,238.0,2.618
9,0.0,0.0,4.299,4.299,4.299,0.0,98.01599999994504,15,4.299,4.299,0.0,98.01599999994504,15,0.9357142857142858,237.0,2.62
10,0.0,0.0,4.299,4.299,4.299,0.0,97.98499999998604,15,4.299,4.299,0.0,97.98499999998604,15,0.9335714285714286,236.0,2.614
11,8.326865110666236e-31,0.0,4.299,4.299,4.299000000000001,0.0,126.02299999992827,19,4.299,4.299,0.0,126.02299999992827,19,0.9317857142857144,235.0,2.609
12,0.0,0.0,4.299,4.299,4.299,0.0,49.03100000007544,8,4.299,4.299,0.0,49.03100000007544,8,0.9317857142857144,234.0,2.609
13,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9325,233.0,2.611
14,0.0,0.0,4.299,4.299,4.299,0.0,97.98400000005496,15,4.299,4.299,0.0,97.98400000005496,15,0.9307142857142856,232.0,2.606
15,0.0,0.0,4.299,4.299,4.299,0.0,63.01599999994505,10,4.299,4.299,0.0,63.01599999994505,10,0.9296428571428572,231.0,2.603
16,0.0,0.0,4.299,4.299,4.299,0.0,112.0,17,4.299,4.299,0.0,112.0,17,0.928214285714286,230.0,2.599
17,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9264285714285716,229.0,2.594
18,0.0,0.0,4.299,4.299,4.299,0.0,112.0,17,4.299,4.299,0.0,112.0,17,0.9267857142857144,228.0,2.595
19,0.0,0.0,4.299,4.299,4.299,0.0,53.04700000002049,9,4.299,4.299,0.0,53.04700000002049,9,0.9239285714285717,227.0,2.587
20,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9246428571428572,226.0,2.589
21,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9225,225.0,2.583
22,0.0,0.0,4.299,4.299,4.299,0.0,48.98400000005495,8,4.299,4.299,0.0,48.98400000005495,8,0.9228571428571428,224.0,2.584
23,0.0,0.0,4.299,4.299,4.299,0.0,70.01500000001397,11,4.299,4.299,0.0,70.01500000001397,11,0.9210714285714288,223.0,2.579
24,0.0,0.0,4.299,4.299,4.299,0.0,70.01500000001397,11,4.299,4.299,0.0,70.01500000001397,11,0.9210714285714288,222.0,2.579
25,0.0,0.0,4.299,4.299,4.299,0.0,105.0,16,4.299,4.299,0.0,105.0,16,0.9246428571428572,221.0,2.589
26,0.0,0.0,4.299,4.299,4.299,0.0,91.0,14,4.299,4.299,0.0,91.0,14,0.9235714285714286,220.0,2.586
27,0.0,0.0,4.299,4.299,4.299,0.0,92.68800000008196,15,4.299,4.299,0.0,92.68800000008196,15,0.9210714285714288,219.0,2.579
28,0.0,0.0,4.299,4.299,4.299,0.0,63.0,10,4.299,4.299,0.0,63.0,10,0.9214285714285716,218.0,2.58
29,0.0,0.0,4.299,4.299,4.299,0.0,91.03099999995902,14,4.299,4.299,0.0,91.03099999995902,14,0.9207142857142856,217.0,2.578
30,3.31321580192825e-30,0.0,4.299,4.299,4.299000000000002,0.0,140.0,21,4.299,4.299,0.0,140.0,21,0.918214285714286,216.0,2.571
31,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.918214285714286,215.0,2.571
32,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,119.0,18,4.299,4.299,0.0,119.0,18,0.9175,214.0,2.569
33,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9178571428571428,213.0,2.57
34,0.0,0.0,4.299,4.299,4.299,0.0,112.0,17,4.299,4.299,0.0,112.0,17,0.915357142857143,212.0,2.563
35,0.0,0.0,4.299,4.299,4.299,0.0,76.96900000004098,12,4.299,4.299,0.0,76.96900000004098,12,0.915357142857143,211.0,2.563
36,0.0,0.0,4.299,4.299,4.299,0.0,77.0,12,4.299,4.299,0.0,77.0,12,0.9146428571428572,210.0,2.561
37,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,119.0,18,4.299,4.299,0.0,119.0,18,0.9128571428571428,209.0,2.556
39,0.0,0.0,4.299,4.299,4.299,0.0,56.0,9,4.299,4.299,0.0,56.0,9,0.9125,207.0,2.555
40,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9121428571428573,206.0,2.554
41,0.0,0.0,4.299,4.299,4.299,0.0,104.96900000004098,16,4.299,4.299,0.0,104.96900000004098,16,0.9096428571428572,205.0,2.547
43,0.0,0.0,4.299,4.299,4.299,0.0,98.0,15,4.299,4.299,0.0,98.0,15,0.9107142857142856,203.0,2.55
44,3.31321580192825e-30,0.0,4.299,4.299,4.299000000000002,0.0,140.0,21,4.299,4.299,0.0,140.0,21,0.9071428571428573,202.0,2.54
45,0.0,0.0,4.299,4.299,4.299,0.0,104.18800000008196,16,4.299,4.299,0.0,104.18800000008196,16,0.9060714285714286,201.0,2.537
46,0.0,0.0,4.299,4.299,4.299,0.0,84.0,13,4.299,4.299,0.0,84.0,13,0.9067857142857144,200.0,2.539
47,0.0,0.0,4.299,4.299,4.299,0.0,63.0,10,4.299,4.299,0.0,63.0,10,0.9057142857142858,199.0,2.536
48,0.0,0.0,4.299,4.299,4.299,0.0,63.0,10,4.299,4.299,0.0,63.0,10,0.9057142857142858,198.0,2.536
49,0.0,0.0,4.299,4.299,4.299,0.0,63.0,10,4.299,4.299,0.0,63.0,10,0.9057142857142858,197.0,2.536
50,0.0,0.0,4.299,4.299,4.299,0.0,62.847000000067055,3,4.299,4.299,0.0,62.847000000067055,3,0.91,196.0,2.548
52,0.0,0.0,4.299,4.299,4.299,0.0,64.41599999996834,3,4.299,4.299,0.0,64.41599999996834,3,0.905,194.0,2.534
53,0.0,0.0,4.299,4.299,4.299,0.0,64.41599999996834,3,4.299,4.299,0.0,64.41599999996834,3,0.905,193.0,2.534
54,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9128571428571428,192.0,2.556
55,0.0,0.0,4.299,4.299,4.299,0.0,72.0,3,4.299,4.299,0.0,72.0,3,0.9071428571428573,191.0,2.54
