cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,8.452081127367983e-31,0.0,4.3,4.3,4.299999999999999,0.0,96.76800000004005,15,4.3,4.3,0.0,96.76800000004005,15,0.9457142857142858,265.0,2.648
2,8.283039504820624e-31,0.0,4.3,4.3,4.299999999999999,0.0,138.17499999993015,21,4.3,4.3,0.0,138.17499999993015,21,0.9453571428571428,264.0,2.647
3,0.0,0.0,4.3,4.3,4.3,0.0,122.81700000003912,19,4.3,4.3,0.0,122.81700000003912,19,0.9439285714285716,263.0,2.643
4,0.0,0.0,4.3,4.3,4.3,0.0,115.03899999998976,18,4.3,4.3,0.0,115.03899999998976,18,0.9432142857142858,262.0,2.641
5,8.303799002326441e-31,0.0,4.3,4.3,4.299999999999999,0.0,128.54299999994691,20,4.3,4.3,0.0,128.54299999994691,20,0.9421428571428572,261.0,2.638
6,0.0,0.0,4.3,4.3,4.3,0.0,115.16399999998976,18,4.3,4.3,0.0,115.16399999998976,18,0.9414285714285716,260.0,2.636
7,0.0,0.0,4.3,4.3,4.3,0.0,106.30400000000373,17,4.3,4.3,0.0,106.30400000000373,17,0.9396428571428572,259.0,2.631
8,8.495425133149358e-31,0.0,4.3,4.3,4.299999999999999,0.0,90.53099999995902,14,4.3,4.3,0.0,90.53099999995902,14,0.9378571428571428,258.0,2.626
9,0.0,0.0,4.3,4.3,4.3,0.0,115.1950000000652,18,4.3,4.3,0.0,115.1950000000652,18,0.9367857142857144,257.0,2.623
10,8.452081127367983e-31,0.0,4.3,4.3,4.299999999999999,0.0,98.625,15,4.3,4.3,0.0,98.625,15,0.9364285714285716,256.0,2.622
11,0.0,0.0,4.3,4.3,4.3,0.0,125.79700000002047,19,4.3,4.3,0.0,125.79700000002047,19,0.9346428571428572,255.0,2.617
12,0.0,0.0,4.3,4.3,4.3,0.0,124.28100000007544,19,4.3,4.3,0.0,124.28100000007544,19,0.9339285714285716,254.0,2.615
