cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,2.62499999999709e-07,0.2788285922672945,4.3,4.299,4.299437500000001,-2.218733647306656,103.90399999998044,16,4.299,4.299,0.0,103.90399999998044,16,0.9467857142857142,262.0,2.651
2,2.5454545454517236e-07,0.6606874726469308,4.3,4.299,4.299363636363636,-1.9642857142819077,69.95100000000093,11,4.3,4.299,-0.0009999999999994,69.95100000000093,11,0.9453571428571428,261.0,2.647
3,2.6666666666637116e-07,0.1489608979385958,4.3,4.299,4.299466666666666,-2.3076923076905773,93.28099999995902,15,4.299,4.299,0.0,93.28099999995902,15,0.945,260.0,2.646
4,2.1978021977997618e-07,-1.0665364503793933,4.3,4.299,4.299714285714285,-1.0340909091003558,87.71100000001024,14,4.3,4.299,-0.0009999999999994,87.71100000001024,14,0.9432142857142858,259.0,2.641
5,8.333333333324097e-08,3.464101615146984,4.3,4.299,4.299083333333333,12.000000000051314,71.93400000000838,12,4.299,4.299,0.0,71.93400000000838,12,0.9421428571428572,258.0,2.638
6,7.142857142849225e-08,3.741657386777264,4.3,4.299,4.299071428571429,14.000000000019377,91.00699999998324,14,4.299,4.299,0.0,91.00699999998324,14,0.9442857142857144,257.0,2.644
7,0.0,0.0,4.299,4.299,4.299,0.0,67.32799999997951,11,4.299,4.299,0.0,67.32799999997951,11,0.9392857142857144,256.0,2.63
8,0.0,0.0,4.299,4.299,4.299,0.0,50.14000000001397,9,4.299,4.299,0.0,50.14000000001397,9,0.9382142857142856,255.0,2.627
9,0.0,0.0,4.299,4.299,4.299,0.0,83.32799999997951,13,4.299,4.299,0.0,83.32799999997951,13,0.9378571428571428,254.0,2.626
10,2.692307692304708e-07,5.9910765807048026e-12,4.3,4.299,4.299499999999999,-2.363636363636364,88.0,14,4.3,4.299,-0.0009999999999994,88.0,14,0.9360714285714288,253.0,2.621
11,0.0,0.0,4.299,4.299,4.299,0.0,100.2260000000242,16,4.299,4.299,0.0,100.2260000000242,16,0.935,252.0,2.618
12,1.0457516339857689e-07,2.705788066803351,4.3,4.299,4.299111111111112,5.976562499966534,115.04700000002047,18,4.299,4.299,0.0,115.04700000002047,18,0.935,251.0,2.618
13,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,117.59399999992456,18,4.299,4.299,0.0,117.59399999992456,18,0.9339285714285716,250.0,2.615
14,0.0,0.0,4.299,4.299,4.299,0.0,66.35999999998603,11,4.299,4.299,0.0,66.35999999998603,11,0.9321428571428572,249.0,2.61
15,0.0,0.0,4.299,4.299,4.299,0.0,39.875,7,4.299,4.299,0.0,39.875,7,0.9310714285714288,248.0,2.607
16,0.0,0.0,4.299,4.299,4.299,0.0,88.82900000002701,14,4.299,4.299,0.0,88.82900000002701,14,0.93,247.0,2.604
17,1.830065359475096e-07,1.4609882296332617,4.3,4.299,4.299222222222223,0.1366071428451869,113.34399999992456,18,4.299,4.299,0.0,113.34399999992456,18,0.93,246.0,2.604
18,2.205882352938731e-07,0.993609208516098,4.3,4.299,4.29929411764706,-1.1657142857228109,109.81199999991804,17,4.299,4.299,0.0,109.81199999991804,17,0.928214285714286,245.0,2.599
19,2.727272727269704e-07,6.122738679695513e-12,4.3,4.299,4.299499999999999,-2.444444444444444,72.85900000005495,12,4.299,4.299,0.0,72.85900000005495,12,0.9271428571428572,244.0,2.596
20,8.333333333324097e-08,3.464101615146984,4.3,4.299,4.299083333333333,12.000000000051314,73.85999999998603,12,4.299,4.299,0.0,73.85999999998603,12,0.9271428571428572,243.0,2.596
21,8.326865110666236e-31,0.0,4.299,4.299,4.299000000000001,0.0,120.48400000005496,19,4.299,4.299,0.0,120.48400000005496,19,0.925,242.0,2.59
