cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,0.0,0.0,4.299,4.299,4.299,0.0,100.8640000000596,16,4.299,4.299,0.0,100.8640000000596,16,0.925,233.0,2.59
2,0.0,0.0,4.299,4.299,4.299,0.0,100.8640000000596,16,4.299,4.299,0.0,100.8640000000596,16,0.925,232.0,2.59
3,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,112.22200000006706,18,4.299,4.299,0.0,112.22200000006706,18,0.9232142857142858,231.0,2.585
4,8.326865110666236e-31,0.0,4.299,4.299,4.299000000000001,0.0,125.63299999991432,19,4.299,4.299,0.0,125.63299999991432,19,0.9214285714285716,230.0,2.58
5,0.0,0.0,4.299,4.299,4.299,0.0,87.35900000017136,14,4.299,4.299,0.0,87.35900000017136,14,0.9196428571428572,229.0,2.575
6,0.0,0.0,4.299,4.299,4.299,0.0,93.8599999998696,15,4.299,4.299,0.0,93.8599999998696,15,0.9185714285714288,228.0,2.572
7,0.0,0.0,4.299,4.299,4.299,0.0,108.8980000000447,17,4.299,4.299,0.0,108.8980000000447,17,0.9164285714285716,227.0,2.566
8,0.0,0.0,4.299,4.299,4.299,0.0,105.09400000004098,17,4.299,4.299,0.0,105.09400000004098,17,0.9164285714285716,226.0,2.566
9,0.0,0.0,4.299,4.299,4.299,0.0,94.90599999995902,15,4.299,4.299,0.0,94.90599999995902,15,0.915357142857143,225.0,2.563
10,0.0,0.0,4.299,4.299,4.299,0.0,98.91399999987334,16,4.299,4.299,0.0,98.91399999987334,16,0.9135714285714286,224.0,2.558
11,0.0,0.0,4.299,4.299,4.299,0.0,95.26499999989755,15,4.299,4.299,0.0,95.26499999989755,15,0.9139285714285716,223.0,2.559
12,0.0,0.0,4.299,4.299,4.299,0.0,73.375,12,4.299,4.299,0.0,73.375,12,0.9128571428571428,222.0,2.556
13,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,116.21900000004098,18,4.299,4.299,0.0,116.21900000004098,18,0.9114285714285716,221.0,2.552
14,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,115.07799999997953,18,4.299,4.299,0.0,115.07799999997953,18,0.9114285714285716,220.0,2.552
15,3.3057028409261456e-30,0.0,4.299,4.299,4.299000000000002,0.0,141.25,22,4.299,4.299,0.0,141.25,22,0.9103571428571428,219.0,2.549
16,0.0,0.0,4.299,4.299,4.299,0.0,87.0789999999106,14,4.299,4.299,0.0,87.0789999999106,14,0.9092857142857144,218.0,2.546
17,0.0,0.0,4.299,4.299,4.299,0.0,95.18799999984913,15,4.299,4.299,0.0,95.18799999984913,15,0.9092857142857144,217.0,2.546
18,0.0,0.0,4.299,4.299,4.299,0.0,77.39100000006147,13,4.299,4.299,0.0,77.39100000006147,13,0.908214285714286,216.0,2.543
19,0.0,0.0,4.299,4.299,4.299,0.0,88.06200000015087,14,4.299,4.299,0.0,88.06200000015087,14,0.908214285714286,215.0,2.543
20,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,113.70299999997953,18,4.299,4.299,0.0,113.70299999997953,18,0.9075,214.0,2.541
21,0.0,0.0,4.299,4.299,4.299,0.0,105.98399999993852,17,4.299,4.299,0.0,105.98399999993852,17,0.9075,213.0,2.541
22,0.0,0.0,4.299,4.299,4.299,0.0,99.76499999989755,16,4.299,4.299,0.0,99.76499999989755,16,0.9071428571428573,212.0,2.54
23,0.0,0.0,4.299,4.299,4.299,0.0,85.79700000002049,14,4.299,4.299,0.0,85.79700000002049,14,0.9067857142857144,211.0,2.539
24,0.0,0.0,4.299,4.299,4.299,0.0,94.93699999991804,15,4.299,4.299,0.0,94.93699999991804,15,0.905357142857143,210.0,2.535
25,2.521683226183713e-05,1.3401512561311968,4.299,4.285,4.289084745762712,0.1710642630685162,13867.718999999808,59,4.299,4.285,-0.0140000000000002,13867.718999999808,59,0.9071428571428573,209.0,2.54
26,0.0,0.0,4.299,4.299,4.299,0.0,99.81199999991804,16,4.299,4.299,0.0,99.81199999991804,16,0.9085714285714288,208.0,2.544
27,0.0,0.0,4.299,4.299,4.299,0.0,91.03100000019184,15,4.299,4.299,0.0,91.03100000019184,15,0.9092857142857144,207.0,2.546
28,0.0,0.0,4.299,4.299,4.299,0.0,109.53099999995902,17,4.299,4.299,0.0,109.53099999995902,17,0.9075,206.0,2.541
29,0.0,0.0,4.299,4.299,4.299,0.0,80.15599999995902,13,4.299,4.299,0.0,80.15599999995902,13,0.9067857142857144,205.0,2.539
30,8.326865110666236e-31,0.0,4.299,4.299,4.299000000000001,0.0,121.0,19,4.299,4.299,0.0,121.0,19,0.9057142857142858,204.0,2.536
31,0.0,0.0,4.299,4.299,4.299,0.0,90.625,14,4.299,4.299,0.0,90.625,14,0.9032142857142856,203.0,2.529
32,0.0,0.0,4.299,4.299,4.299,0.0,91.875,15,4.299,4.299,0.0,91.875,15,0.9035714285714286,202.0,2.53
33,3.31321580192825e-30,0.0,4.299,4.299,4.299000000000002,0.0,138.03099999995902,21,4.299,4.299,0.0,138.03099999995902,21,0.9025,201.0,2.527
34,0.0,0.0,4.299,4.299,4.299,0.0,86.09400000004098,14,4.299,4.299,0.0,86.09400000004098,14,0.9021428571428572,200.0,2.526
35,0.0,0.0,4.299,4.299,4.299,0.0,98.0,15,4.299,4.299,0.0,98.0,15,0.9032142857142856,199.0,2.529
36,0.0,0.0,4.299,4.299,4.299,0.0,96.125,15,4.299,4.299,0.0,96.125,15,0.8992857142857142,198.0,2.518
37,0.0,0.0,4.299,4.299,4.299,0.0,110.31199999991804,17,4.299,4.299,0.0,110.31199999991804,17,0.8996428571428573,197.0,2.519
38,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,112.21900000004098,18,4.299,4.299,0.0,112.21900000004098,18,0.8989285714285714,196.0,2.517
39,0.0,0.0,4.299,4.299,4.299,0.0,94.15599999995902,15,4.299,4.299,0.0,94.15599999995902,15,0.8985714285714287,195.0,2.516
40,0.0,0.0,4.299,4.299,4.299,0.0,94.84400000004098,15,4.299,4.299,0.0,94.84400000004098,15,0.8975000000000001,194.0,2.513
41,0.0,0.0,4.299,4.299,4.299,0.0,102.43700000015087,16,4.299,4.299,0.0,102.43700000015087,16,0.8964285714285715,193.0,2.51
42,0.0,0.0,4.299,4.299,4.299,0.0,97.68699999991804,15,4.299,4.299,0.0,97.68699999991804,15,0.8964285714285715,192.0,2.51
43,8.352644878810713e-31,0.0,4.299,4.299,4.299000000000001,0.0,112.93700000015087,18,4.299,4.299,0.0,112.93700000015087,18,0.8960714285714286,191.0,2.509
44,0.0,0.0,4.299,4.299,4.299,0.0,101.625,16,4.299,4.299,0.0,101.625,16,0.895,190.0,2.506
45,0.0,0.0,4.299,4.299,4.299,0.0,108.25,17,4.299,4.299,0.0,108.25,17,0.8942857142857144,189.0,2.504
46,0.0,0.0,4.299,4.299,4.299,0.0,84.81299999984913,14,4.299,4.299,0.0,84.81299999984913,14,0.8939285714285715,188.0,2.503
47,0.0,0.0,4.299,4.299,4.299,0.0,102.18799999984913,16,4.299,4.299,0.0,102.18799999984913,16,0.8932142857142857,187.0,2.501
48,3.31321580192825e-30,0.0,4.299,4.299,4.299000000000002,0.0,134.06299999984913,21,4.299,4.299,0.0,134.06299999984913,21,0.8932142857142857,186.0,2.501
49,3.20158508158533e-05,0.8571543217973774,4.299,4.285,4.290121212121213,-1.0954439645631342,14216.749999999767,66,4.299,4.285,-0.0140000000000002,14216.749999999767,66,0.8935714285714286,185.0,2.502
50,3.20158508158533e-05,0.8571543217973774,4.299,4.285,4.290121212121213,-1.0954439645631342,14216.749999999767,66,4.299,4.285,-0.0140000000000002,14216.749999999767,66,0.8935714285714286,184.0,2.502
51,0.0,0.0,4.299,4.299,4.299,0.0,95.42400000011548,4,4.299,4.299,0.0,95.42400000011548,4,0.8978571428571428,183.0,2.514
52,0.0,0.0,4.299,4.299,4.299,0.0,95.42400000011548,4,4.299,4.299,0.0,95.42400000011548,4,0.8978571428571428,182.0,2.514
