cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.1805977462027168e-06,-12.469866706343607,4.1989,4.1759,4.198069426751593,156.00939949449304,776.0,157,4.1982,4.1759,-0.0222999999999995,776.0,157,0.9959674185869064,3790.0,0.0803851666666666
2,4.21344339622912e-09,6.70063625124225,4.1989,4.1979,4.198200625,90.96746998491834,793.0,160,4.1982,4.1982,0.0,793.0,160,0.997834513761954,3789.0,0.0805358611111111
3,5.534055727561152e-09,-3.552010037133399,4.1982,4.1979,4.198180392156862,10.757232806864428,758.0,153,4.1982,4.1982,0.0,758.0,153,0.9972277508506896,3788.0,0.0804868888888888
4,2.9385089787811374e-09,-5.2330539149193775,4.1982,4.1979,4.1981899328859065,25.730073308062988,739.0,149,4.1982,4.1982,0.0,739.0,149,0.989365645379946,3787.0,0.0798523333333333
5,9.185277755385564e-09,7.11657257774634,4.1989,4.1982,4.19821329113924,49.269154460026115,781.0,158,4.1982,4.1982,0.0,781.0,158,0.9941354282428,3786.0,0.0802373055555555
6,3.288590604028208e-09,12.206555615761832,4.1989,4.1982,4.198204697986577,149.00000000046407,737.0,149,4.1982,4.1982,0.0,737.0,149,0.9838510894371282,3785.0,0.07940725
7,3.512769485120375e-06,-12.030120086647475,4.1989,4.1756,4.198059589041096,145.1594485990143,724.0,146,4.1982,4.1756,-0.0225999999999997,724.0,146,0.9873367926505624,3784.0,0.0796885833333333
8,4.020114942530935e-09,8.597255847203293,4.1989,4.1979,4.198202758620689,106.57450103511984,718.0,145,4.1982,4.1982,0.0,718.0,145,0.9859133261724063,3783.0,0.0795736944444444
9,6.46977201257816e-08,-7.884362822620854,4.1989,4.1954,4.1982043749999995,95.27623328038794,792.0,160,4.1982,4.1954,-0.0027999999999996,792.0,160,0.988613988999798,3782.0,0.0797916666666666
10,6.00000000000756e-10,-12.247448713771094,4.1982,4.1979,4.198197999999999,149.99999999760357,740.0,150,4.1982,4.1982,0.0,740.0,150,0.98628949852749,3781.0,0.0796040555555555
11,6.709262809341277e-08,-11.159939072017092,4.1982,4.1951,4.198163815789473,131.88971474097428,751.0,152,4.1982,4.1951,-0.0030999999999998,751.0,152,0.9828137760993232,3780.0,0.0793235277777777
12,1.1919463087263335e-09,-8.572037229871244,4.1982,4.1979,4.198195999999999,72.44567202280697,741.0,150,4.1982,4.1982,0.0,741.0,150,0.9887464925283496,3779.0,0.0798023611111111
13,8.814069487449764e-09,4.6138990664987025,4.1989,4.1979,4.198201307189543,41.83193483748064,755.0,153,4.1982,4.1982,0.0,755.0,153,0.986899358923837,3778.0,0.0796532777777777
14,3.808909528725851e-09,8.832166278817848,4.1989,4.1979,4.198202614379085,112.47707220849246,759.0,153,4.1982,4.1982,0.0,759.0,153,0.9894048801909976,3777.0,0.0798555
15,4.4366504008393754e-09,6.532791447959932,4.1989,4.1979,4.198200657894738,86.39991338430922,752.0,152,4.1982,4.1982,0.0,752.0,152,0.9878082987132012,3776.0,0.0797266388888888
16,5.168229453947427e-09,4.919901194931006,4.1989,4.1979,4.198198648648648,67.45924880948003,735.0,148,4.1979,4.1982,0.0003000000000001,735.0,148,0.9852346327742142,3775.0,0.0795189166666666
17,4.350230414749336e-09,6.596233378765692,4.1989,4.1979,4.1982006451612905,88.11274645808605,769.0,155,4.1982,4.1982,0.0,769.0,155,0.9867534329599256,3774.0,0.0796414999999999
18,9.178018575851873e-08,-4.609552746174716,4.1989,4.1954,4.198241176470589,51.87143978784681,757.0,153,4.1982,4.1954,-0.0027999999999996,757.0,153,0.9890152854005546,3773.0,0.0798240555555555
19,1.8125918667327453e-08,4.863896563840556,4.1989,4.1982,4.198226751592356,21.936798941323733,777.0,157,4.1989,4.1982,-0.0007000000000001,777.0,157,0.991551437353536,3772.0,0.08002875
20,2.7647682119216746e-08,3.75780334628388,4.1989,4.1982,4.198241721854304,12.283620703677968,749.0,151,4.1982,4.1982,0.0,749.0,151,0.9906270101387568,3771.0,0.0799541388888888
21,7.802547770700655e-08,-5.863152624078452,4.1989,4.1954,4.19822229299363,68.44375510930855,775.0,157,4.1982,4.1954,-0.0027999999999996,775.0,157,0.9883493261077032,3770.0,0.0797703055555555
22,3.072399999999975e-06,-12.117362961047489,4.1989,4.1768,4.1981,148.24360757288267,748.0,151,4.1982,4.1768,-0.0213999999999998,748.0,151,0.987695068425166,3769.0,0.0797175
23,2.8137112777398735e-06,-12.745991367137671,4.1989,4.1768,4.198073006134969,162.645751207336,806.0,163,4.1982,4.1768,-0.0213999999999998,806.0,163,0.9865194007536524,3768.0,0.0796226111111111
24,5.840557275544215e-08,2.129202306222832,4.1989,4.1982,4.198296078431373,2.566887417185145,760.0,153,4.1982,4.1982,0.0,760.0,153,0.9815899253265176,3767.0,0.07922475
25,3.808909528725852e-09,8.832166278774093,4.1989,4.1979,4.198202614379086,112.4770722079704,757.0,153,4.1982,4.1982,0.0,757.0,153,0.9846640071889184,3766.0,0.0794728611111111
26,1.3606286186938012e-08,5.058015745486472,4.1989,4.1979,4.198214102564102,29.716394120969703,773.0,156,4.1982,4.1982,0.0,773.0,156,0.983169642718862,3765.0,0.07935225
27,1.7084367245679091e-09,-7.069559332325779,4.1982,4.1979,4.19819423076923,48.601653376512104,775.0,156,4.1982,4.1982,0.0,775.0,156,0.9788579434832868,3764.0,0.07900425
28,7.590502297838056e-09,1.616045242746718,4.1989,4.1979,4.198189240506328,32.685282907001294,783.0,158,4.1982,4.1982,0.0,783.0,158,0.986237873776106,3763.0,0.0795998888888888
29,3.122745253863157e-06,-12.215702665824692,4.1989,4.1765,4.1980291390728475,149.80692940026174,749.0,151,4.1982,4.1765,-0.0217,749.0,151,0.9754513982219746,3762.0,0.0787293055555555
30,6.942110177407679e-09,7.283346447248771,4.1989,4.1979,4.198207142857142,63.20285652210775,762.0,154,4.1982,4.1982,0.0,762.0,154,0.979562105092162,3761.0,0.0790610833333333
31,8.15932433579981e-09,5.326456705889833,4.1989,4.1979,4.1982032467532475,47.65630690560815,762.0,154,4.1979,4.1982,0.0003000000000001,762.0,154,0.9780866696976128,3760.0,0.078942
32,1.483695652174528e-08,5.45764711119579,4.1989,4.1982,4.198221739130434,28.135290551400015,797.0,161,4.1982,4.1982,0.0,797.0,161,0.9853409797620648,3759.0,0.0795275
33,2.880306504259179e-06,-12.605790900611396,4.1982,4.1768,4.198063522012578,158.93631627616975,788.0,159,4.1982,4.1768,-0.0213999999999998,788.0,159,0.9826120954039168,3758.0,0.07930725
34,2.4441004471974353e-08,4.062394865610894,4.1989,4.1982,4.198236601307189,14.694987896877963,759.0,153,4.1982,4.1982,0.0,759.0,153,0.98101138394601,3757.0,0.0791780555555555
35,1.5691443011508766e-08,5.290097584790588,4.1989,4.1982,4.198223026315789,26.33145486924263,751.0,152,4.1982,4.1982,0.0,751.0,152,0.9799214133617932,3756.0,0.0790900833333333
36,5.188281187805669e-08,2.368492453045915,4.1989,4.1982,4.198283647798741,3.655583102836334,786.0,159,4.1982,4.1989,0.0007000000000001,786.0,159,0.9806231658156038,3755.0,0.0791467222222222
37,3.7454022988521264e-08,3.06054053972281,4.1989,4.1982,4.198257931034482,7.46975781818994,719.0,145,4.1982,4.1982,0.0,719.0,145,0.976134909930296,3754.0,0.0787844722222222
38,3.1603355704698137e-06,-12.206555615732912,4.1982,4.1765,4.198054362416107,148.99999999998698,738.0,149,4.1982,4.1765,-0.0217,738.0,149,0.9756365589969376,3753.0,0.0787442499999999
39,1.589485458613633e-08,5.252137420396689,4.1989,4.1982,4.198223333333332,25.930539970151543,744.0,150,4.1982,4.1982,0.0,744.0,150,0.9837719314850064,3752.0,0.0794008611111111
40,3.9285325594066695e-08,2.955089496457252,4.1989,4.1982,4.1982610738255035,6.823977852455917,737.0,149,4.1982,4.1982,0.0,737.0,149,0.9801220615621716,3751.0,0.0791062777777777
41,5.4817899722381043e-08,2.2567892661972806,4.1989,4.1982,4.198289171974522,3.1328465930340186,776.0,157,4.1989,4.1982,-0.0007000000000001,776.0,157,0.9850487836692324,3750.0,0.0795039166666666
42,2.4748785871974924e-08,4.031517887164376,4.1989,4.1982,4.198237086092714,14.44429187729421,747.0,151,4.1982,4.1982,0.0,747.0,151,0.979308799645372,3749.0,0.0790406388888888
43,2.356181832657612e-08,4.1536511942783685,4.1989,4.1982,4.1982352201257855,15.44697606360764,788.0,159,4.1982,4.1982,0.0,788.0,159,0.9829042914967492,3748.0,0.0793308333333333
44,3.0925609031491744e-06,-12.009320176700346,4.1989,4.1772,4.1986454545454555,147.2711045346348,763.0,154,4.1989,4.1772,-0.0217,763.0,154,0.9783499559296704,3747.0,0.07896325
45,3.266666666668024e-09,-12.247448713928472,4.1989,4.1982,4.198895333333334,150.00000000020822,744.0,150,4.1989,4.1989,0.0,744.0,150,0.9797462333720977,3746.0,0.0790759444444444
46,6.621004566212788e-09,-8.484067820456756,4.1989,4.1982,4.198890476190477,70.94454221189878,728.0,147,4.1989,4.1989,0.0,728.0,147,0.9770992602861456,3745.0,0.0788623055555555
47,6.489485458615662e-09,-8.572037229938138,4.1989,4.1982,4.198890666666667,72.44567202358184,745.0,150,4.1989,4.1989,0.0,745.0,150,0.9784033015061002,3744.0,0.0789675555555555
48,6.475225225227907e-08,-1.9218430456725664,4.1989,4.1982,4.198791216216216,1.7164948265641655,735.0,148,4.1982,4.1989,0.0007000000000001,735.0,148,0.9755876875656276,3743.0,0.0787403055555555
49,6.281524926688816e-09,-8.716678192508722,4.1989,4.1982,4.198890967741937,74.94745610719494,766.0,155,4.1982,4.1989,0.0007000000000001,766.0,155,0.9831489928183086,3742.0,0.0793505833333333
50,2.2086885543270532e-08,-4.325608733833389,4.1989,4.1982,4.19886711409396,16.938087006823864,736.0,149,4.1989,4.1989,0.0,736.0,149,0.9756916253984136,3741.0,0.0787486944444444
51,6.779327582039411e-08,-1.8267789433631312,4.1989,4.1982,4.198784810126583,1.3541019567759234,783.0,158,4.1989,4.1989,0.0,783.0,158,0.9890493577364676,3740.0,0.0798268055555555
52,1.5792494481242747e-08,-5.271151727629581,4.1989,4.1982,4.198876821192053,26.131000449788992,748.0,151,4.1989,4.1989,0.0,748.0,151,0.9812736376830395,3739.0,0.0791992222222222
53,1.6103603603610275e-08,-5.2139004493388,4.1989,4.1982,4.198876351351352,25.529600338325025,734.0,148,4.1989,4.1989,0.0,734.0,148,0.9846385389782356,3738.0,0.0794708055555555
54,3.534809636277875e-06,-12.032485800247535,4.1989,4.1762,4.198730136986303,145.1639879565069,721.0,146,4.1989,4.1762,-0.0227000000000003,721.0,146,0.9805274879430392,3737.0,0.079139
55,1.835190615836537e-08,-4.829498736173158,4.1989,4.1982,4.198872903225807,21.60265778279814,768.0,155,4.1989,4.1989,0.0,768.0,155,0.9872569463684222,3736.0,0.0796821388888888
56,6.122448979599553e-10,12.12435565286478,4.1992,4.1989,4.198902040816328,146.99999999807673,729.0,147,4.1989,4.1989,0.0,729.0,147,0.9793838276173832,3735.0,0.0790466944444444
57,0.0,0.0,4.1989,4.1989,4.1989,0.0,730.0,148,4.1989,4.1989,0.0,730.0,148,0.9810626645323846,3734.0,0.0791821944444444
58,5.41708462701963e-08,-11.0173957191814,4.1992,4.1961,4.1988974842767295,134.2989323719625,789.0,159,4.1989,4.1961,-0.0027999999999996,789.0,159,0.9797971697934628,3733.0,0.0790800555555555
59,5.972350230422271e-09,3.374495326655147,4.1992,4.1989,4.198921290322581,9.509768088396644,768.0,155,4.1989,4.1989,0.0,768.0,155,0.9853196415314928,3732.0,0.0795257777777777
