cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
3,9.507908626363334e-09,1.4564943127577876,3.6002908,3.5999312,3.6000382642857147,2.3190725208370937,50.00370000000112,14,3.6000934,3.6000085,-8.490000000005438e-05,50.00370000000112,14,0.9848713636363634,857.0,1.0833585
4,7.34050928103971e-09,0.6030902126409258,3.600141,3.5998673,3.599981411111111,-0.6921122815570482,55.00140000000101,18,3.6000466,3.600141,9.439999999960592e-05,55.00140000000101,18,0.9855361818181818,856.0,1.0840898
5,6.098836060609252e-09,2.054650972855846,3.6001029,3.5998149,3.5998903166666665,4.902554069308199,35.00399999999718,12,3.6001029,3.5999408,-0.0001620999999998,35.00399999999718,12,0.9860493636363636,855.0,1.0846543
6,1.5733747809512838e-08,0.2887712057946704,3.6002536,3.5998359,3.6000100933333337,-0.4739592622204855,60.0025999999998,15,3.6001239,3.5998416,-0.0002822999999998,60.0025999999998,15,0.9863803636363636,854.0,1.0850184
7,2.0565975151515373e-08,-0.7130641769091003,3.6002526,3.5997767,3.600030966666667,0.1555778854927059,45.004000000000815,12,3.6001105,3.5997767,-0.0003337999999999,45.004000000000815,12,0.9866555454545454,853.0,1.0853211
8,1.7360714044092804e-08,0.4067427760891854,3.6002555,3.5997872,3.5999844823529408,-0.4000080879954137,65.00240000000122,17,3.6000972,3.5997872,-0.0003099999999998,65.00240000000122,17,0.9868850909090908,852.0,1.0855736
9,1.4072181473691453e-08,-0.3965940810718542,3.6002412,3.5997443,3.60002786,0.480863865799634,70.00409999999829,20,3.6001163,3.6000733,-4.29999999997932e-05,70.00409999999829,20,0.987077,851.0,1.0857847
10,1.7332543460150113e-08,1.4324949774065578,3.6002765,3.5997539,3.599911220833333,1.7702858535846695,80.00269999999728,24,3.5999408,3.5998578,-8.300000000005525e-05,80.00269999999728,24,0.9872696363636364,850.0,1.0859966
11,1.6969189763158235e-08,-0.9225106078277026,3.6002774,3.5997901,3.6000800149999987,0.8552384830109734,60.002400000004855,20,3.6002049,3.6002164,1.149999999983109e-05,60.002400000004855,20,0.9874370909090908,849.0,1.0861808
12,3.175149045162042e-08,0.1408829283555328,3.6002898,3.5997138,3.5999668387096766,-1.2249524024815646,101.04529999999797,31,3.6000257,3.5999618,-6.390000000022766e-05,101.04529999999797,31,0.9833786363636362,848.0,1.0817165
13,1.6927844970760973e-08,1.0308727134940314,3.6002898,3.5998445,3.5999848947368425,0.2405411864433619,75.00599999999395,19,3.600059,3.5998454,-0.0002135999999999,75.00599999999395,19,0.9849625454545454,847.0,1.0834588
14,1.6533369805177494e-08,0.9837766068782624,3.6002851,3.5997949,3.599958386363637,0.5516778285288684,75.00719999999274,22,3.6000772,3.5997987,-0.0002784999999998,75.00719999999274,22,0.9857836363636364,846.0,1.084362
15,4.1834791571424646e-08,-0.5848786978032697,3.6003356,3.5997338,3.6000738428571424,-1.091354341940289,75.01140000000305,21,3.6001639,3.6003337,0.0001698000000001,75.01140000000305,21,0.9862515454545452,845.0,1.0848767
16,2.2628833333323274e-08,0.4146715322940807,3.6002965,3.5997481,3.5999745666666665,-0.7369754923224856,74.99860000000626,21,3.6001477,3.5997481,-0.0003996000000001,74.99860000000626,21,0.986637,844.0,1.0853007
17,2.5135505797091513e-08,0.0517921498027456,3.6002345,3.5996947,3.5999881833333327,-0.9179518160821214,85.00449999999546,24,3.6000924,3.6001773,8.490000000005438e-05,85.00449999999546,24,0.9869153636363636,843.0,1.0856069
18,2.2493868387096658e-08,-0.0683064385101175,3.6002688,3.5997367,3.599964225,-0.8377972681534955,100.00890000000072,32,3.6001458,3.6001363,-9.499999999995625e-06,100.00890000000072,32,0.9871441818181816,842.0,1.0858586
19,1.7681613460146077e-08,0.9386225481477836,3.6003146,3.5998263,3.5999769291666666,0.1376529182954375,95.01290000000154,24,3.6001525,3.6000152,-0.0001373,95.01290000000154,24,0.987204818181818,841.0,1.0859253
20,1.981180855172693e-08,0.2189518930243674,3.6002688,3.599812,3.60002378,-1.256374847184759,95.00229999999284,30,3.5999599,3.5998988,-6.10999999999251e-05,95.00229999999284,30,0.9873917272727272,840.0,1.0861309
