cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.1216678058810855e-08,-4.5467534052855365,4.2,4.199,4.199957142857144,18.85243052678273,2279.0100000000093,210,4.2,4.199,-0.0010000000000003,2279.0100000000093,210,0.9343220338983051,288.0,2.205
2,4.065904863143826e-08,-4.58325002855953,4.2,4.199,4.199957746478875,19.18625282668098,2305.179999999993,213,4.2,4.199,-0.0010000000000003,2305.179999999993,213,0.9343220338983051,287.0,2.205
3,4.582432586190339e-08,-4.2696073247382325,4.2,4.199,4.199952127659575,16.40395298888466,2057.4899999999907,188,4.2,4.199,-0.0010000000000003,2057.4899999999907,188,0.932627118644068,286.0,2.201
4,4.1405962458621696e-08,-4.534522694182959,4.2,4.199,4.199956937799044,18.74115347942554,2263.0,209,4.2,4.199,-0.0010000000000003,2263.0,209,0.9330508474576272,285.0,2.202
5,4.4468778377253143e-08,-4.346941940915661,4.2,4.199,4.199953608247424,17.071804789163597,2110.0299999999697,194,4.2,4.199,-0.0010000000000003,2110.0299999999697,194,0.9355932203389832,284.0,2.208
6,5.1410105757966194e-08,-3.9765697624661738,4.2,4.199,4.199945945945947,13.963960161678472,2024.1900000000023,185,4.2,4.199,-0.0010000000000003,2024.1900000000023,185,0.9351694915254236,283.0,2.207
7,4.4911649214689675e-08,-4.321317194877511,4.2,4.199,4.199953125,16.84919524070181,2095.4899999999907,192,4.2,4.199,-0.0010000000000003,2095.4899999999907,192,0.932627118644068,282.0,2.201
8,3.974146680201361e-08,-4.650469789771117,4.2,4.199,4.199958762886599,19.831218904888605,2110.2600000000093,194,4.2,4.199,-0.0010000000000003,2110.2600000000093,194,0.93135593220339,281.0,2.198
9,4.5592705167203713e-08,-4.2825932022058115,4.2,4.199,4.199952380952382,16.515266517254165,2069.140000000014,189,4.2,4.199,-0.0010000000000003,2069.140000000014,189,0.9305084745762712,280.0,2.196
10,4.03416919261774e-08,-4.60998158171423,4.2,4.199,4.1999581151832475,19.455554263831218,2082.0299999999697,191,4.2,4.199,-0.0010000000000003,2082.0299999999697,191,0.9296610169491526,279.0,2.194
11,4.6294681778583665e-08,-4.243516616779684,4.2,4.199,4.199951612903227,16.18131982458666,2036.9899999999907,186,4.2,4.199,-0.0010000000000003,2036.9899999999907,186,0.9296610169491526,278.0,2.194
12,4.751381215472788e-08,-4.177578652563291,4.2,4.199,4.199950276243095,15.624699832078898,1989.4400000000023,181,4.2,4.199,-0.0010000000000003,1989.4400000000023,181,0.9296610169491526,277.0,2.194
13,4.6294681778583665e-08,-4.243516616779684,4.2,4.199,4.199951612903227,16.18131982458666,2035.289999999979,186,4.2,4.199,-0.0010000000000003,2035.289999999979,186,0.9317796610169492,276.0,2.199
14,4.2480049109911736e-08,-4.472377028745333,4.2,4.199,4.199955801104974,18.20318603030963,1989.389999999956,181,4.2,4.199,-0.0010000000000003,1989.389999999956,181,0.9347457627118644,275.0,2.206
15,4.3636363636392775e-08,-4.4019637138333865,4.2,4.199,4.199954545454546,17.57690518909013,1939.5200000000184,176,4.2,4.199,-0.0010000000000003,1939.5200000000184,176,0.9309322033898306,274.0,2.197
