cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.857142857145433e-08,-4.726423362520365,4.2,4.199,4.199960000000001,20.521418279328497,2423.600000000035,225,4.2,4.199,-0.0010000000000003,2423.600000000035,225,0.9377118644067798,324.0,2.213
2,4.339777869192533e-08,-4.405733183212972,4.2,4.199,4.199954751131223,17.569408318620376,2389.9799999999814,221,4.2,4.199,-0.0010000000000003,2389.9799999999814,221,0.938135593220339,323.0,2.214
3,4.102911306705516e-08,-4.558951357742132,4.2,4.199,4.199957345971566,18.963706087337695,2280.889999999956,211,4.2,4.199,-0.0010000000000003,2280.889999999956,211,0.9364406779661018,322.0,2.21
4,4.403453689170915e-08,-4.372416814519602,4.2,4.199,4.199954081632654,17.294406912141277,2139.170000000042,196,4.2,4.199,-0.0010000000000003,2139.170000000042,196,0.936864406779661,321.0,2.211
5,4.3190954773898195e-08,-4.422927244210657,4.2,4.199,4.199955000000001,17.7395897119158,2175.789999999979,200,4.2,4.199,-0.0010000000000003,2175.789999999979,200,0.9402542372881356,320.0,2.219
6,4.582432586190339e-08,-4.2696073247382325,4.2,4.199,4.199952127659575,16.40395298888466,2053.1900000000023,188,4.2,4.199,-0.0010000000000003,2053.1900000000023,188,0.9389830508474578,319.0,2.216
7,5.0125313283241496e-08,-4.0388946210757055,4.2,4.199,4.1999473684210535,14.46482819438896,2071.430000000051,190,4.2,4.199,-0.0010000000000003,2071.430000000051,190,0.9364406779661018,318.0,2.21
8,5.2486187845338935e-08,-3.92600031259293,4.2,4.199,4.199944751381216,13.56323487147972,1985.9500000000116,181,4.2,4.199,-0.0010000000000003,1985.9500000000116,181,0.9351694915254236,317.0,2.207
9,4.653349001178197e-08,-4.230411056169958,4.2,4.199,4.199951351351353,16.070000127487653,2025.640000000014,185,4.2,4.199,-0.0010000000000003,2025.640000000014,185,0.9343220338983051,316.0,2.205
10,4.8430539728614135e-08,-4.124573056904447,4.2,4.199,4.199949238578681,15.165976582624232,2146.649999999965,197,4.2,4.199,-0.0010000000000003,2146.649999999965,197,0.933898305084746,315.0,2.204
11,5.088839054686856e-08,-4.001615761134466,4.2,4.199,4.199946524064172,14.164312374344748,2041.7700000000184,187,4.2,4.199,-0.0010000000000003,2041.7700000000184,187,0.933898305084746,314.0,2.204
12,4.2781143786048964e-08,-4.447967768693918,4.2,4.199,4.199955445544556,17.962170784962638,2190.100000000035,202,4.2,4.199,-0.0010000000000003,2190.100000000035,202,0.9343220338983051,313.0,2.205
13,5.3323176537837947e-08,-3.887643318133858,4.2,4.199,4.19994382022472,13.26267184608605,1955.5499999999884,178,4.2,4.199,-0.0010000000000003,1955.5499999999884,178,0.936864406779661,312.0,2.211
14,5.63159395495101e-08,-3.756972016907437,4.2,4.199,4.199940476190477,12.2606668793006,1859.5100000000093,168,4.2,4.199,-0.0010000000000003,1859.5100000000093,168,0.9385593220338982,311.0,2.215
15,5.3041240349040515e-08,-3.9004707218353856,4.2,4.199,4.199944134078214,13.362861389028104,1966.009999999951,179,4.2,4.199,-0.0010000000000003,1966.009999999951,179,0.9355932203389832,310.0,2.208
16,5.276225946620533e-08,-3.913256251436367,4.2,4.199,4.199944444444446,13.463049055181656,1978.670000000042,180,4.2,4.199,-0.0010000000000003,1978.670000000042,180,0.9343220338983051,309.0,2.205
17,5.389610389613989e-08,-3.861861232469818,4.2,4.199,4.199943181818182,13.062287019319855,1931.539999999979,176,4.2,4.199,-0.0010000000000003,1931.539999999979,176,0.9334745762711864,308.0,2.203
18,4.776536312852352e-08,-4.164266069932834,4.2,4.199,4.199950000000001,15.513369216302426,1975.2999999999884,180,4.2,4.199,-0.0010000000000003,1975.2999999999884,180,0.932627118644068,307.0,2.201
19,4.7264889806357844e-08,-4.190849048139066,4.2,4.199,4.199950549450551,15.736028197400136,1993.3099999999977,182,4.2,4.199,-0.0010000000000003,1993.3099999999977,182,0.932627118644068,306.0,2.201
20,5.4778868127473067e-08,-3.822863517256406,4.2,4.199,4.199942196531793,12.761694998996544,1906.109999999986,173,4.2,4.199,-0.0010000000000003,1906.109999999986,173,0.9334745762711864,305.0,2.203
21,4.9603441322791586e-08,-4.069862005079579,4.2,4.199,4.199947976878613,14.733988885853968,1903.0999999999767,173,4.2,4.199,-0.0010000000000003,1903.0999999999767,173,0.9351694915254236,304.0,2.207
22,5.966298476179102e-08,-3.6216126632336514,4.2,4.199,4.19993670886076,11.258440413165042,1750.9899999999907,158,4.2,4.199,-0.0010000000000003,1750.9899999999907,158,0.938135593220339,303.0,2.214
23,5.2795031055935876e-08,-3.9169315721917695,4.2,4.199,4.199944444444445,13.508990011136728,1793.8699999999951,162,4.2,4.199,-0.0010000000000003,1793.8699999999951,162,0.936864406779661,302.0,2.211
24,5.2488070893013915e-08,-3.931079442948794,4.2,4.199,4.199944785276075,13.620367830993926,1807.2600000000093,163,4.2,4.199,-0.0010000000000003,1807.2600000000093,163,0.9343220338983051,301.0,2.205
