cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,7.268666565150342e-08,-5.357724004600184,4.2,4.198,4.199944723618091,30.636857182124135,2162.679999999993,199,4.2,4.198,-0.0019999999999997,2162.679999999993,199,0.933898305084746,303.0,2.204
2,3.8224717994213014e-08,-4.756755220962831,4.2,4.199,4.1999603960396055,20.832898189534184,2191.109999999986,202,4.2,4.199,-0.0010000000000003,2191.109999999986,202,0.933898305084746,302.0,2.204
3,5.8349997436313254e-08,-5.178130556671294,4.2,4.198,4.199949494949497,29.150454546170213,2158.7699999999604,198,4.2,4.198,-0.0019999999999997,2158.7699999999604,198,0.932627118644068,301.0,2.201
4,4.6628407460576335e-08,-4.2203687542445625,4.2,4.199,4.199951219512196,15.967201797950532,2228.9100000000326,205,4.2,4.199,-0.0010000000000003,2228.9100000000326,205,0.932627118644068,300.0,2.201
5,7.035714285717018e-08,-4.536849586617377,4.2,4.198,4.199937500000001,22.09097175971378,1939.929999999993,176,4.2,4.198,-0.0019999999999997,1939.929999999993,176,0.9347457627118644,299.0,2.206
6,6.887026691498641e-08,-4.594460327121109,4.2,4.198,4.19993888888889,22.68285841114055,1974.2999999999884,180,4.2,4.198,-0.0019999999999997,1974.2999999999884,180,0.9364406779661018,298.0,2.21
7,9.470936303517773e-08,-4.365803825987267,4.2,4.198,4.199923529411765,20.13894269523524,1873.4500000000116,170,4.2,4.198,-0.0019999999999997,1873.4500000000116,170,0.9330508474576272,297.0,2.202
8,4.5592705167203713e-08,-4.2825932022058115,4.2,4.199,4.199952380952382,16.515266517254165,2063.2900000000373,189,4.2,4.199,-0.0010000000000003,2063.2900000000373,189,0.9317796610169492,296.0,2.199
9,5.167498218107514e-08,-3.963987645836013,4.2,4.199,4.1999456521739145,13.86378148437078,2018.4100000000328,184,4.2,4.199,-0.0010000000000003,2018.4100000000328,184,0.9309322033898306,295.0,2.197
10,4.8019584458007095e-08,-4.150910896484374,4.2,4.199,4.199949720670392,15.402036315353822,1966.6599999999744,179,4.2,4.199,-0.0010000000000003,1966.6599999999744,179,0.9300847457627118,294.0,2.195
11,9.233347297865145e-08,-4.669928452012094,4.2,4.198,4.199929032258065,23.004742571937825,1728.75,155,4.2,4.198,-0.0019999999999997,1728.75,155,0.9305084745762712,293.0,2.196
12,6.86819132818951e-08,-4.713853033307839,4.2,4.198,4.1999401197604795,23.98134866442394,1849.2600000000093,167,4.2,4.198,-0.0019999999999997,1849.2600000000093,167,0.9305084745762712,292.0,2.196
13,7.230822153425578e-08,-4.463791899654022,4.2,4.198,4.19993567251462,21.35110922189061,1888.0599999999977,171,4.2,4.198,-0.0019999999999997,1888.0599999999977,171,0.9317796610169492,291.0,2.199
14,5.8962264150982776e-08,-3.649084100599517,4.2,4.199,4.1999375,11.458905103586863,1776.070000000007,160,4.2,4.199,-0.0010000000000003,1776.070000000007,160,0.9355932203389832,290.0,2.208
15,7.65527950310856e-08,-4.313971266531913,4.2,4.198,4.199931677018634,19.8713715781254,1780.9799999999814,161,4.2,4.198,-0.0019999999999997,1780.9799999999814,161,0.932627118644068,289.0,2.201
16,5.1884700665223137e-08,-3.9592239923901418,4.2,4.199,4.199945454545456,13.843114521460349,1823.469999999972,165,4.2,4.199,-0.0010000000000003,1823.469999999972,165,0.93135593220339,288.0,2.198
17,5.7941376959820575e-08,-3.689909847211765,4.2,4.199,4.199938650306749,11.759583485609918,1804.789999999979,163,4.2,4.199,-0.0010000000000003,1804.789999999979,163,0.9300847457627118,287.0,2.195
18,5.0435085276747924e-08,-4.028727810213682,4.2,4.199,4.199947058823531,14.399931282158608,1879.8699999999951,170,4.2,4.199,-0.0010000000000003,1879.8699999999951,170,0.9296610169491526,286.0,2.194
19,5.1005132591993016e-08,-4.0010707463052,4.2,4.199,4.19994642857143,14.1772129111726,1857.7600000000093,168,4.2,4.199,-0.0010000000000003,1857.7600000000093,168,0.9292372881355933,285.0,2.193
20,5.63159395495101e-08,-3.756972016907437,4.2,4.199,4.199940476190477,12.2606668793006,1859.689999999944,168,4.2,4.199,-0.0010000000000003,1859.689999999944,168,0.9300847457627118,284.0,2.195
21,5.1005132591993016e-08,-4.0010707463052,4.2,4.199,4.19994642857143,14.1772129111726,1855.0800000000163,168,4.2,4.199,-0.0010000000000003,1855.0800000000163,168,0.9309322033898306,283.0,2.197
22,5.2488070893013915e-08,-3.931079442948794,4.2,4.199,4.199944785276075,13.620367830993926,1801.8300000000745,163,4.2,4.199,-0.0010000000000003,1801.8300000000745,163,0.9334745762711864,282.0,2.203
23,8.235080718305383e-08,-4.127024684377998,4.2,4.198,4.199926174496644,18.09567079060949,1665.9099999999162,149,4.2,4.198,-0.0019999999999997,1665.9099999999162,149,0.9355932203389832,281.0,2.208
24,6.303283148924943e-08,-3.495336300500249,4.2,4.199,4.1999328859060405,10.356216676091826,1669.3999999999069,149,4.2,4.199,-0.0010000000000003,1669.3999999999069,149,0.932627118644068,280.0,2.201
25,6.111535523304312e-08,-3.566038603166025,4.2,4.199,4.199935064935065,10.857479740339947,1712.8800000000049,154,4.2,4.199,-0.0010000000000003,1712.8800000000049,154,0.9309322033898306,279.0,2.197
26,5.4714640198547714e-08,-3.8309509522238767,4.2,4.199,4.199942307692308,12.840657186415005,1732.530000000028,156,4.2,4.199,-0.0010000000000003,1732.530000000028,156,0.9300847457627118,278.0,2.195
27,5.6778523489970806e-08,-3.7430029422552207,4.2,4.199,4.199940000000002,12.172202597825091,1677.939999999944,150,4.2,4.199,-0.0010000000000003,1677.939999999944,150,0.9292372881355933,277.0,2.193
28,5.504817762885957e-08,-3.816433182543859,4.2,4.199,4.199941935483872,12.72925688743937,1725.670000000042,155,4.2,4.199,-0.0010000000000003,1725.670000000042,155,0.928813559322034,276.0,2.192
