cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.2180774748952137e-08,-4.485266912588964,4.2,4.199,4.199956097560976,18.29603001524475,2226.1199999999953,205,4.2,4.199,-0.0010000000000003,2226.1199999999953,205,0.9351694915254236,272.0,2.207
2,4.6412502960012055e-08,-4.232191219493419,4.2,4.199,4.199951456310681,16.06734886084332,2235.350000000035,206,4.2,4.199,-0.0010000000000003,2235.350000000035,206,0.9351694915254236,271.0,2.207
3,4.1216678058810855e-08,-4.5467534052855365,4.2,4.199,4.199957142857144,18.85243052678273,2270.829999999958,210,4.2,4.199,-0.0010000000000003,2270.829999999958,210,0.9334745762711864,270.0,2.203
4,4.2180774748952137e-08,-4.485266912588964,4.2,4.199,4.199956097560976,18.29603001524475,2224.7399999999907,205,4.2,4.199,-0.0010000000000003,2224.7399999999907,205,0.9343220338983051,269.0,2.205
5,4.0843244209988833e-08,-4.57111681287697,4.2,4.199,4.199957547169813,19.07498018084562,2299.640000000014,212,4.2,4.199,-0.0010000000000003,2299.640000000014,212,0.9372881355932204,268.0,2.212
6,4.653349001178197e-08,-4.230411056169958,4.2,4.199,4.199951351351353,16.070000127487653,2020.8800000000049,185,4.2,4.199,-0.0010000000000003,2020.8800000000049,185,0.9351694915254236,267.0,2.207
7,4.237902057377504e-08,-4.472868363140479,4.2,4.199,4.199955882352942,18.184745225435737,2215.679999999993,204,4.2,4.199,-0.0010000000000003,2215.679999999993,204,0.9334745762711864,266.0,2.203
8,4.3608675588400155e-08,-4.397744409085085,4.2,4.199,4.199954545454547,17.51700181918492,2158.2900000000373,198,4.2,4.199,-0.0010000000000003,2158.2900000000373,198,0.9322033898305084,265.0,2.2
9,4.403453689170915e-08,-4.372416814519602,4.2,4.199,4.199954081632654,17.294406912141277,2130.4000000000233,196,4.2,4.199,-0.0010000000000003,2130.4000000000233,196,0.93135593220339,264.0,2.198
10,4.2781143786048964e-08,-4.447967768693918,4.2,4.199,4.199955445544556,17.962170784962638,2194.0100000000093,202,4.2,4.199,-0.0010000000000003,2194.0100000000093,202,0.93135593220339,263.0,2.198
11,5.2486187845338935e-08,-3.92600031259293,4.2,4.199,4.199944751381216,13.56323487147972,1982.3300000000163,181,4.2,4.199,-0.0010000000000003,1982.3300000000163,181,0.9309322033898306,262.0,2.197
12,4.5136401212485375e-08,-4.308447788371252,4.2,4.199,4.199952879581153,16.737887614395145,2087.429999999993,191,4.2,4.199,-0.0010000000000003,2087.429999999993,191,0.93135593220339,261.0,2.198
13,4.6058306020386144e-08,-4.256581917029659,4.2,4.199,4.199951871657755,16.29263743479022,2048.6999999999534,187,4.2,4.199,-0.0010000000000003,2048.6999999999534,187,0.9343220338983051,260.0,2.205
14,4.9603441322791586e-08,-4.069862005079579,4.2,4.199,4.199947976878613,14.733988885853968,1906.359999999986,173,4.2,4.199,-0.0010000000000003,1906.359999999986,173,0.9351694915254236,259.0,2.207
15,5.1005132591993016e-08,-4.0010707463052,4.2,4.199,4.19994642857143,14.1772129111726,1853.320000000007,168,4.2,4.199,-0.0010000000000003,1853.320000000007,168,0.9322033898305084,258.0,2.2
16,4.8019584458007095e-08,-4.150910896484374,4.2,4.199,4.199949720670392,15.402036315353822,1967.5200000000184,179,4.2,4.199,-0.0010000000000003,1967.5200000000184,179,0.9309322033898306,257.0,2.197
17,4.776536312852352e-08,-4.164266069932834,4.2,4.199,4.199950000000001,15.513369216302426,1976.6699999999837,180,4.2,4.199,-0.0010000000000003,1976.6699999999837,180,0.9300847457627118,256.0,2.195
18,4.776536312852352e-08,-4.164266069932834,4.2,4.199,4.199950000000001,15.513369216302426,1972.6599999999744,180,4.2,4.199,-0.0010000000000003,1972.6599999999744,180,0.9296610169491526,255.0,2.194
19,4.6058306020386144e-08,-4.256581917029659,4.2,4.199,4.199951871657755,16.29263743479022,2041.0599999999977,187,4.2,4.199,-0.0010000000000003,2041.0599999999977,187,0.9300847457627118,254.0,2.195
20,5.0435085276747924e-08,-4.028727810213682,4.2,4.199,4.199947058823531,14.399931282158608,1874.7399999999907,170,4.2,4.199,-0.0010000000000003,1874.7399999999907,170,0.9305084745762712,253.0,2.196
21,4.8019584458007095e-08,-4.150910896484374,4.2,4.199,4.199949720670392,15.402036315353822,1968.25,179,4.2,4.199,-0.0010000000000003,1968.25,179,0.932627118644068,252.0,2.201
22,5.34198113207904e-08,-3.888481907134078,4.2,4.199,4.19994375,13.286225169117564,1771.219999999972,160,4.2,4.199,-0.0010000000000003,1771.219999999972,160,0.9360169491525424,251.0,2.209
23,5.966298476179102e-08,-3.6216126632336514,4.2,4.199,4.19993670886076,11.258440413165042,1755.0399999999208,158,4.2,4.199,-0.0010000000000003,1755.0399999999208,158,0.9334745762711864,250.0,2.203
24,5.5383556931581545e-08,-3.796643510458157,4.2,4.199,4.199941520467838,12.561290119421752,1884.8800000000049,171,4.2,4.199,-0.0010000000000003,1884.8800000000049,171,0.9317796610169492,249.0,2.199
25,5.1588170865313764e-08,-3.973221734941885,4.2,4.199,4.199945783132532,13.954483490077353,1830.7000000000696,166,4.2,4.199,-0.0010000000000003,1830.7000000000696,166,0.9305084745762712,248.0,2.196
26,4.8798701298733896e-08,-4.110585695808609,4.2,4.199,4.199948863636364,15.068023543669492,1930.4100000000328,176,4.2,4.199,-0.0010000000000003,1930.4100000000328,176,0.9296610169491526,247.0,2.194
27,5.1295000360758595e-08,-3.9871704832010098,4.2,4.199,4.199946107784433,14.065849604509868,1845.2399999999907,167,4.2,4.199,-0.0010000000000003,1845.2399999999907,167,0.9292372881355933,246.0,2.193
28,9.518477043679369e-08,-2.613933781369546,4.2,4.199,4.199894736842107,4.936143882570841,1124.920000000042,95,4.2,4.199,-0.0010000000000003,1124.920000000042,95,0.9305084745762712,245.0,2.196
