cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,7.67839195980066e-08,-5.059099967904863,4.2,4.198,4.199940000000002,27.328005292784244,2177.5,200,4.2,4.198,-0.0019999999999997,2177.5,200,0.9347457627118644,292.0,2.206
2,6.228643216082826e-08,-4.872316428938052,4.2,4.198,4.199945000000001,25.642243270192033,2172.640000000014,200,4.2,4.198,-0.0019999999999997,2172.640000000014,200,0.9347457627118644,291.0,2.206
3,6.350078492938107e-08,-4.8180261715585075,4.2,4.198,4.199943877551021,25.05037289377991,2130.8099999999977,196,4.2,4.198,-0.0019999999999997,2130.8099999999977,196,0.933898305084746,290.0,2.204
4,8.44689993861447e-08,-4.787783631127836,4.2,4.198,4.199933701657459,24.35791868886496,1986.2999999999884,181,4.2,4.198,-0.0019999999999997,1986.2999999999884,181,0.9334745762711864,289.0,2.203
5,8.628659476118967e-08,-4.728682467329869,4.2,4.198,4.199932203389832,23.732610240572985,1947.9000000000233,177,4.2,4.198,-0.0019999999999997,1947.9000000000233,177,0.9351694915254236,288.0,2.207
6,5.3608115048828815e-08,-3.8747736280325737,4.2,4.199,4.199943502824859,13.162480398833718,1947.7099999999627,177,4.2,4.199,-0.0010000000000003,1947.7099999999627,177,0.9377118644067798,287.0,2.213
7,6.960578937347972e-08,-4.565745724407392,4.2,4.198,4.199938202247192,22.38691547137207,1952.149999999965,178,4.2,4.198,-0.0019999999999997,1952.149999999965,178,0.933898305084746,286.0,2.204
8,8.86712906296941e-08,-4.653751441030353,4.2,4.198,4.19993023255814,22.950960128685093,1895.429999999993,172,4.2,4.198,-0.0019999999999997,1895.429999999993,172,0.932627118644068,285.0,2.201
9,8.818389568492289e-08,-4.668833779024984,4.2,4.198,4.199930635838151,23.107291479645987,1904.929999999993,173,4.2,4.198,-0.0019999999999997,1904.929999999993,173,0.9317796610169492,284.0,2.199
10,7.271145144451134e-08,-4.449036578504139,4.2,4.198,4.1999352941176475,21.203136177728258,1877.2799999999695,170,4.2,4.198,-0.0019999999999997,1877.2799999999695,170,0.9309322033898306,283.0,2.197
11,7.190942472463012e-08,-4.478498666665158,4.2,4.198,4.199936046511628,21.49908209132419,1890.5100000000093,172,4.2,4.198,-0.0019999999999997,1890.5100000000093,172,0.9317796610169492,282.0,2.199
12,7.479674796750868e-08,-4.374514460629403,4.2,4.198,4.199933333333334,20.46326846580899,1823.1500000000233,165,4.2,4.198,-0.0019999999999997,1823.1500000000233,165,0.93135593220339,281.0,2.198
13,7.230822153425578e-08,-4.463791899654022,4.2,4.198,4.19993567251462,21.35110922189061,1888.9000000000233,171,4.2,4.198,-0.0019999999999997,1888.9000000000233,171,0.932627118644068,280.0,2.201
14,5.6001690617112644e-08,-3.7702420101918266,4.2,4.199,4.199940828402367,12.36087679153498,1868.5,169,4.2,4.199,-0.0010000000000003,1868.5,169,0.9364406779661018,279.0,2.21
15,8.13245033112898e-08,-4.158765082020679,4.2,4.198,4.199927152317882,18.391621574513557,1688.1900000000023,151,4.2,4.198,-0.0019999999999997,1688.1900000000023,151,0.933898305084746,278.0,2.204
16,7.566462167692096e-08,-4.344348181686509,4.2,4.198,4.199932515337425,20.16732030005392,1807.0100000000093,163,4.2,4.198,-0.0019999999999997,1807.0100000000093,163,0.9322033898305084,277.0,2.2
17,1.0093959731545788e-07,-4.3086162978728755,4.2,4.198,4.1999200000000005,19.511486989001547,1679.25,150,4.2,4.198,-0.0019999999999997,1679.25,150,0.9309322033898306,276.0,2.197
18,8.183445190159768e-08,-4.142925225054446,4.2,4.198,4.199926666666667,18.243646195679364,1671.8499999999767,150,4.2,4.198,-0.0019999999999997,1671.8499999999767,150,0.9300847457627118,275.0,2.195
19,7.934645999165204e-08,-4.221531239264962,4.2,4.198,4.199929032258065,18.98352259666905,1729.2700000000186,155,4.2,4.198,-0.0019999999999997,1729.2700000000186,155,0.9300847457627118,274.0,2.195
20,5.931056444554557e-08,-3.635374187812848,4.2,4.199,4.19993710691824,11.358674028105051,1769.6699999999837,159,4.2,4.199,-0.0010000000000003,1769.6699999999837,159,0.9305084745762712,273.0,2.196
21,5.8962264150982776e-08,-3.649084100599517,4.2,4.199,4.1999375,11.458905103586863,1771.5800000000163,160,4.2,4.199,-0.0010000000000003,1771.5800000000163,160,0.93135593220339,272.0,2.198
22,5.966298476179102e-08,-3.6216126632336514,4.2,4.199,4.19993670886076,11.258440413165042,1753.4700000000885,158,4.2,4.199,-0.0010000000000003,1753.4700000000885,158,0.933898305084746,271.0,2.204
23,5.8242796410053066e-08,-3.6832090433000664,4.2,4.199,4.199938356164384,11.726491945469672,1636.810000000056,146,4.2,4.199,-0.0010000000000003,1636.810000000056,146,0.936864406779661,270.0,2.211
24,6.38337526791965e-08,-3.4666542608503637,4.2,4.199,4.199931972789116,10.155690913691451,1648.0699999999488,147,4.2,4.199,-0.0010000000000003,1648.0699999999488,147,0.9334745762711864,269.0,2.203
25,8.615522924786074e-08,-4.013961108798208,4.2,4.198,4.199922535211268,17.059843390763366,1596.3399999999674,142,4.2,4.198,-0.0019999999999997,1596.3399999999674,142,0.9317796610169492,268.0,2.199
26,8.672745694025643e-08,-3.997548672169964,4.2,4.198,4.199921985815603,16.911868302579524,1583.079999999958,141,4.2,4.198,-0.0019999999999997,1583.079999999958,141,0.9305084745762712,267.0,2.196
27,8.448275862072235e-08,-4.0628014574092655,4.2,4.198,4.199924137931035,17.503769174606305,1629.75,145,4.2,4.198,-0.0019999999999997,1629.75,145,0.9300847457627118,266.0,2.195
28,8.287369001657923e-08,-4.111062758925019,4.2,4.198,4.199925675675676,17.94769537210891,1652.8200000000652,148,4.2,4.198,-0.0019999999999997,1652.8200000000652,148,0.9296610169491526,265.0,2.194
29,6.38337526791965e-08,-3.4666542608503637,4.2,4.199,4.199931972789116,10.155690913691451,1642.3499999999767,147,4.2,4.199,-0.0010000000000003,1642.3499999999767,147,0.9305084745762712,264.0,2.196
30,6.970459416648026e-08,-3.265211438886942,4.2,4.199,4.1999251700680285,8.78089848797741,1647.0599999999397,147,4.2,4.199,-0.0010000000000003,1647.0599999999397,147,0.93135593220339,263.0,2.198
31,8.615522924786074e-08,-4.013961108798208,4.2,4.198,4.199922535211268,17.059843390763366,1593.7999999999302,142,4.2,4.198,-0.0019999999999997,1593.7999999999302,142,0.9343220338983051,262.0,2.205
32,6.636271529892983e-08,-3.379157982518477,4.2,4.199,4.1999290780141845,9.554038017507224,1586.3699999999951,141,4.2,4.199,-0.0010000000000003,1586.3699999999951,141,0.9360169491525424,261.0,2.209
33,6.592747977229458e-08,-3.393896218207198,4.2,4.199,4.19992957746479,9.65432168555772,1591.060000000056,142,4.2,4.199,-0.0010000000000003,1591.060000000056,142,0.932627118644068,260.0,2.201
34,6.54978823993346e-08,-3.4085711923742235,4.2,4.199,4.199930069930071,9.754602006574553,1608.4799999999814,143,4.2,4.199,-0.0010000000000003,1608.4799999999814,143,0.93135593220339,259.0,2.198
35,8.559046587218913e-08,-4.030306851716689,4.2,4.198,4.199923076923078,17.207818577925888,1609.3499999999767,143,4.2,4.198,-0.0019999999999997,1609.3499999999767,143,0.9305084745762712,258.0,2.196
36,6.42418516769442e-08,-3.4522244800033546,4.2,4.199,4.199931506849316,10.055423436884508,1637.6300000000049,146,4.2,4.199,-0.0010000000000003,1637.6300000000049,146,0.9300847457627118,257.0,2.195
37,6.465517241383628e-08,-3.4377345463234215,4.2,4.199,4.199931034482758,9.955152828365016,1620.0399999999208,145,4.2,4.199,-0.0010000000000003,1620.0399999999208,145,0.9296610169491526,256.0,2.194
38,6.725054738822133e-08,-3.3494884334712633,4.2,4.199,4.199928057553957,9.353460413195323,1560.8800000000049,139,4.2,4.199,-0.0010000000000003,1560.8800000000049,139,0.9305084745762712,255.0,2.196
39,6.816230141696265e-08,-3.3195557788176924,4.2,4.199,4.19992700729927,9.152868727232036,1548.4899999999907,137,4.2,4.199,-0.0010000000000003,1548.4899999999907,137,0.932627118644068,254.0,2.201
40,9.032614704259984e-08,-3.897626314245264,4.2,4.198,4.199918518518519,16.02402105322324,1522.060000000056,135,4.2,4.198,-0.0019999999999997,1522.060000000056,135,0.9360169491525424,253.0,2.209
41,6.862745098043799e-08,-3.30448859071095,4.2,4.199,4.1999264705882355,9.052567452751765,1532.5499999999302,136,4.2,4.199,-0.0010000000000003,1532.5499999999302,136,0.936864406779661,252.0,2.211
42,6.909894969601077e-08,-3.2893529516024516,4.2,4.199,4.1999259259259265,8.952262474389793,1525.75,135,4.2,4.199,-0.0010000000000003,1525.75,135,0.9343220338983051,251.0,2.205
43,6.22549019608259e-08,-3.5293150832308746,4.2,4.199,4.199933823529412,10.611921742329312,1538.3699999999951,136,4.2,4.199,-0.0010000000000003,1538.3699999999951,136,0.932627118644068,250.0,2.201
44,6.725054738822133e-08,-3.3494884334712633,4.2,4.199,4.199928057553957,9.353460413195323,1562.8499999999767,139,4.2,4.199,-0.0010000000000003,1562.8499999999767,139,0.93135593220339,249.0,2.198
45,5.978423733896714e-08,-3.622432509815374,4.2,4.199,4.199936619718311,11.280716694132238,1595.7899999999208,142,4.2,4.199,-0.0010000000000003,1595.7899999999208,142,0.9305084745762712,248.0,2.196
46,6.636271529892983e-08,-3.379157982518477,4.2,4.199,4.1999290780141845,9.554038017507224,1586.5100000000093,141,4.2,4.199,-0.0010000000000003,1586.5100000000093,141,0.9300847457627118,247.0,2.195
47,6.862745098043799e-08,-3.30448859071095,4.2,4.199,4.1999264705882355,9.052567452751765,1532.7399999999907,136,4.2,4.199,-0.0010000000000003,1532.7399999999907,136,0.9300847457627118,246.0,2.195
48,7.258858267721383e-08,-3.181405679292004,4.2,4.199,4.199921875000001,8.250018401985077,1457.2399999999907,128,4.2,4.199,-0.0010000000000003,1457.2399999999907,128,0.9406779661016952,245.0,2.22
49,7.4744295830105e-08,-3.118060095562113,4.2,4.199,4.19991935483871,7.848644100433283,1419.869999999879,124,4.2,4.199,-0.0010000000000003,1419.869999999879,124,0.9389830508474578,244.0,2.216
