cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,7.105606258153376e-08,-3.2340106191257454,4.2,4.199,4.199923728813562,8.604393216341377,1356.390000000014,118,4.2,4.199,-0.0010000000000003,1356.390000000014,118,1.0004237288135596,312.0,2.361
2,7.21889055472746e-08,-3.1995285925171144,4.2,4.199,4.199922413793105,8.38120858349634,1332.8800000000049,116,4.2,4.199,-0.0010000000000003,1332.8800000000049,116,1.000847457627119,311.0,2.362
3,6.735483870972241e-08,-3.3519247943697,4.2,4.199,4.199928,9.385326329224007,1421.4400000000023,125,4.2,4.199,-0.0010000000000003,1421.4400000000023,125,1.001271186440678,310.0,2.363
4,7.366336633668287e-08,-3.163427970314996,4.2,4.199,4.19992079207921,8.168668249400893,1189.9899999999907,101,4.2,4.199,-0.0010000000000003,1189.9899999999907,101,1.001271186440678,309.0,2.363
5,6.982895432908915e-08,-3.2797015412785617,4.2,4.199,4.199925233644861,8.922902097962858,1241.890000000014,107,4.2,4.199,-0.0010000000000003,1241.890000000014,107,1.001271186440678,308.0,2.363
6,6.863744478427964e-08,-3.31755870995156,4.2,4.199,4.199926605504589,9.174218841485375,1269.140000000014,109,4.2,4.199,-0.0010000000000003,1269.140000000014,109,1.0016949152542374,307.0,2.364
7,6.374040272349613e-08,-3.4828500833990117,4.2,4.199,4.1999322033898325,10.304635068935818,1352.0800000000163,118,4.2,4.199,-0.0010000000000003,1352.0800000000163,118,1.0016949152542374,306.0,2.364
8,6.92281066113304e-08,-3.298684161121229,4.2,4.199,4.199925925925927,9.048566037804353,1252.070000000007,108,4.2,4.199,-0.0010000000000003,1252.070000000007,108,1.0016949152542374,305.0,2.364
9,6.130880980945051e-08,-3.571387421971663,4.2,4.199,4.199934959349594,10.932326625979828,1400.5100000000093,123,4.2,4.199,-0.0010000000000003,1400.5100000000093,123,1.0021186440677967,304.0,2.365
10,5.495867768598712e-08,-3.835470782815432,4.2,4.199,4.199942148760332,12.924213396424244,1386.859999999986,121,4.2,4.199,-0.0010000000000003,1386.859999999986,121,1.0021186440677967,303.0,2.365
11,5.8628318584109966e-08,-3.683481527682755,4.2,4.199,4.1999380530973465,11.7761809838025,1307.149999999965,113,4.2,4.199,-0.0010000000000003,1307.149999999965,113,1.0021186440677967,302.0,2.365
12,7.04402515723741e-08,-3.260608985013127,4.2,4.199,4.199924528301888,8.797226741747675,1237.5100000000093,106,4.2,4.199,-0.0010000000000003,1237.5100000000093,106,1.0021186440677967,301.0,2.365
13,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1209.8899999999558,103,4.2,4.199,-0.0010000000000003,1209.8899999999558,103,1.002542372881356,300.0,2.366
14,5.962325962329944e-08,-3.644495167010059,4.2,4.199,4.199936936936939,11.489061397424798,1281.6699999999837,111,4.2,4.199,-0.0010000000000003,1281.6699999999837,111,1.002542372881356,299.0,2.366
15,7.947639083689272e-08,-3.001444135547404,4.2,4.199,4.199913978494625,7.162262443506881,1100.4100000000326,93,4.2,4.199,-0.0010000000000003,1100.4100000000326,93,1.0021186440677967,298.0,2.365
16,7.793952967530401e-08,-3.042742862669176,4.2,4.199,4.199915789473685,7.413954313212356,1123.1199999999951,95,4.2,4.199,-0.0010000000000003,1123.1199999999951,95,1.0021186440677967,297.0,2.365
17,6.39634494574956e-08,-3.4841969365840137,4.2,4.199,4.1999320388349535,10.34006364932882,1205.2999999999884,103,4.2,4.199,-0.0010000000000003,1205.2999999999884,103,1.002542372881356,296.0,2.366
18,8.124635993016493e-08,-2.946980959274106,4.2,4.199,4.199911764705885,6.818021071013092,1197.1500000000233,102,4.2,4.199,-0.0010000000000003,1197.1500000000233,102,1.002542372881356,295.0,2.366
19,7.574163686098053e-08,-3.1036681258347265,4.2,4.199,4.19991836734694,7.791376096532128,1153.2300000000396,98,4.2,4.199,-0.0010000000000003,1153.2300000000396,98,1.002542372881356,294.0,2.366
20,7.299553484765118e-08,-3.18310015485554,4.2,4.199,4.1999215686274525,8.294405222502881,1198.820000000007,102,4.2,4.199,-0.0010000000000003,1198.820000000007,102,1.002542372881356,293.0,2.366
21,8.348794063085356e-08,-2.890023740338969,4.2,4.199,4.199909090909092,6.482817869442728,1161.6900000000023,99,4.2,4.199,-0.0010000000000003,1161.6900000000023,99,1.002542372881356,292.0,2.366
22,6.966369251892092e-08,-3.2945713270696695,4.2,4.199,4.199925531914895,9.04626022943172,1113.7099999999627,94,4.2,4.199,-0.0010000000000003,1113.7099999999627,94,1.002542372881356,291.0,2.366
23,6.831140350881756e-08,-3.3376392547939737,4.2,4.199,4.199927083333335,9.333895920679517,1135.060000000056,96,4.2,4.199,-0.0010000000000003,1135.060000000056,96,1.002542372881356,290.0,2.366
24,7.035998129971975e-08,-3.272825432270219,4.2,4.199,4.199924731182797,8.902413201485443,1105.7999999999302,93,4.2,4.199,-0.0010000000000003,1105.7999999999302,93,1.002542372881356,289.0,2.366
25,8.750857927253612e-08,-2.792546724726479,4.2,4.199,4.199904255319151,5.923929438063359,1113.2699999999022,94,4.2,4.199,-0.0010000000000003,1113.2699999999022,94,1.002542372881356,288.0,2.366
26,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1202.8699999999951,103,4.2,4.199,-0.0010000000000003,1202.8699999999951,103,1.002542372881356,287.0,2.366
27,9.01098901099503e-08,-2.7324147650243136,4.2,4.199,4.1999010989011,5.5884551185112645,1085.5400000000373,91,4.2,4.199,-0.0010000000000003,1085.5400000000373,91,1.002542372881356,286.0,2.366
28,1.000000000000668e-07,-2.521816361908349,4.2,4.199,4.199888888888889,4.469328140220832,989.7300000000978,81,4.2,4.199,-0.0010000000000003,989.7300000000978,81,1.0021186440677967,285.0,2.365
29,7.87005261954312e-08,-3.022163508342338,4.2,4.199,4.199914893617023,7.288116395797237,1116.2099999999627,94,4.2,4.199,-0.0010000000000003,1116.2099999999627,94,1.002542372881356,284.0,2.366
30,7.503607503612515e-08,-3.123714284600956,4.2,4.199,4.199919191919193,7.9171540444505535,1167.5700000000652,99,4.2,4.199,-0.0010000000000003,1167.5700000000652,99,0.9940677966101696,283.0,2.346
