cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,5.6163626312917554e-08,-3.775441539688096,4.2,4.199,4.199940740740741,12.438025091395316,1522.070000000007,135,4.2,4.199,-0.0010000000000003,1522.070000000007,135,0.9987288135593222,372.0,2.357
2,5.249343832024503e-08,-3.94562603396937,4.2,4.199,4.199944881889763,13.784825806408849,1443.3300000000163,127,4.2,4.199,-0.0010000000000003,1443.3300000000163,127,0.9991525423728814,371.0,2.358
3,5.0601434189254256e-08,-4.035127314337187,4.2,4.199,4.19994696969697,14.501770304093077,1498.670000000042,132,4.2,4.199,-0.0010000000000003,1498.670000000042,132,0.9991525423728814,370.0,2.358
4,5.7367568817988825e-08,-3.7254729488401024,4.2,4.199,4.1999393939393945,12.061691384412178,1497.5599999999977,132,4.2,4.199,-0.0010000000000003,1497.5599999999977,132,0.9995762711864408,369.0,2.359
5,6.323885486402173e-08,-3.5007360302023303,4.2,4.199,4.1999327731092455,10.430190137182136,1365.960000000021,119,4.2,4.199,-0.0010000000000003,1365.960000000021,119,0.9991525423728814,368.0,2.358
6,5.993650793654796e-08,-3.6234751054602383,4.2,4.199,4.199936507936508,11.308846130764987,1434.4099999999744,126,4.2,4.199,-0.0010000000000003,1434.4099999999744,126,0.9995762711864408,367.0,2.359
7,5.369787568847017e-08,-3.8909379220087614,4.2,4.199,4.199943548387098,13.354559995448746,1419.6199999999951,124,4.2,4.199,-0.0010000000000003,1419.6199999999951,124,0.9995762711864408,366.0,2.359
8,6.130880980945051e-08,-3.571387421971663,4.2,4.199,4.199934959349594,10.932326625979828,1404.9599999999627,123,4.2,4.199,-0.0010000000000003,1404.9599999999627,123,0.9995762711864408,365.0,2.359
9,7.276887871858408e-08,-3.182148547287631,4.2,4.199,4.199921739130436,8.269605387695538,1323.4400000000023,115,4.2,4.199,-0.0010000000000003,1323.4400000000023,115,0.9995762711864408,364.0,2.359
10,5.7665903890198706e-08,-3.7220600743223526,4.2,4.199,4.199939130434784,12.063253767688373,1320.219999999972,115,4.2,4.199,-0.0010000000000003,1320.219999999972,115,0.9995762711864408,363.0,2.359
11,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1203.289999999979,103,4.2,4.199,-0.0010000000000003,1203.289999999979,103,0.9995762711864408,362.0,2.359
12,8.835904628336898e-08,-2.7726455983099925,4.2,4.199,4.199903225806453,5.812116983577932,1103.6199999999951,93,4.2,4.199,-0.0010000000000003,1103.6199999999951,93,0.9995762711864408,361.0,2.359
13,5.7196401799138664e-08,-3.741200349463454,4.2,4.199,4.1999396551724155,12.206773327021333,1331.390000000014,116,4.2,4.199,-0.0010000000000003,1331.390000000014,116,1.0,360.0,2.36
14,7.434343434348404e-08,-3.143633444511809,4.2,4.199,4.199920000000001,8.042917974064101,1177.070000000007,100,4.2,4.199,-0.0010000000000003,1177.070000000007,100,0.9995762711864408,359.0,2.359
15,6.748566748571256e-08,-3.3549907990975423,4.2,4.199,4.19992792792793,9.425492117309156,1287.7999999999884,111,4.2,4.199,-0.0010000000000003,1287.7999999999884,111,0.9995762711864408,358.0,2.359
16,6.013344453715442e-08,-3.624844967181682,4.2,4.199,4.199936363636366,11.345483298228633,1271.2600000000093,110,4.2,4.199,-0.0010000000000003,1271.2600000000093,110,0.9995762711864408,357.0,2.359
17,6.637168141597354e-08,-3.392011730742834,4.2,4.199,4.199929203539824,9.676723996776758,1303.2399999999907,113,4.2,4.199,-0.0010000000000003,1303.2399999999907,113,0.9995762711864408,356.0,2.359
18,6.92281066113304e-08,-3.298684161121229,4.2,4.199,4.199925925925927,9.048566037804353,1252.170000000042,108,4.2,4.199,-0.0010000000000003,1252.170000000042,108,0.9995762711864408,355.0,2.359
19,5.9121621621661104e-08,-3.6640401311643136,4.2,4.199,4.199937500000002,11.632627189418091,1298.2399999999907,112,4.2,4.199,-0.0010000000000003,1298.2399999999907,112,0.9995762711864408,354.0,2.359
20,7.106227106231855e-08,-3.241404573042217,4.2,4.199,4.199923809523811,8.67153967988251,1221.2799999999695,105,4.2,4.199,-0.0010000000000003,1221.2799999999695,105,0.9995762711864408,353.0,2.359
21,7.366336633668287e-08,-3.163427970314996,4.2,4.199,4.19992079207921,8.168668249400893,1186.350000000035,101,4.2,4.199,-0.0010000000000003,1186.350000000035,101,0.9991525423728814,352.0,2.358
22,4.303410553413428e-08,-4.469933852191726,4.2,4.199,4.199955357142858,18.306949249012376,1290.9199999999837,112,4.2,4.199,-0.0010000000000003,1290.9199999999837,112,0.9995762711864408,351.0,2.359
23,6.455057270437239e-08,-3.463639009495016,4.2,4.199,4.199931372549021,10.196374572881089,1197.8000000000466,102,4.2,4.199,-0.0010000000000003,1197.8000000000466,102,0.9991525423728814,350.0,2.358
24,7.434343434348404e-08,-3.143633444511809,4.2,4.199,4.199920000000001,8.042917974064101,1176.1399999998976,100,4.2,4.199,-0.0010000000000003,1176.1399999998976,100,0.9991525423728814,349.0,2.358
25,6.982895432908915e-08,-3.2797015412785617,4.2,4.199,4.199925233644861,8.922902097962858,1241.0,107,4.2,4.199,-0.0010000000000003,1241.0,107,0.9991525423728814,348.0,2.358
26,6.39634494574956e-08,-3.4841969365840137,4.2,4.199,4.1999320388349535,10.34006364932882,1207.3399999999674,103,4.2,4.199,-0.0010000000000003,1207.3399999999674,103,0.9991525423728814,347.0,2.358
27,6.338685586262636e-08,-3.504634505281099,4.2,4.199,4.199932692307693,10.483737518742078,1211.9799999999814,104,4.2,4.199,-0.0010000000000003,1211.9799999999814,104,0.9991525423728814,346.0,2.358
28,6.575757575761969e-08,-3.422153442758906,4.2,4.199,4.199930000000002,9.908949089735554,1173.2600000000093,100,4.2,4.199,-0.0010000000000003,1173.2600000000093,100,0.9991525423728814,345.0,2.358
