cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,5.3900709219894164e-08,-3.873450166293259,4.2,4.199,4.199943262411348,13.1905322424182,1589.210000000021,141,4.2,4.199,-0.0010000000000003,1589.210000000021,141,1.0021186440677967,318.0,2.365
2,5.2149267831872336e-08,-3.953272510274982,4.2,4.199,4.199945205479452,13.817472910508048,1632.4899999999907,146,4.2,4.199,-0.0010000000000003,1632.4899999999907,146,1.002542372881356,317.0,2.366
3,6.182911120656772e-08,-3.545003686255115,4.2,4.199,4.199934306569344,10.72339920770916,1546.390000000014,137,4.2,4.199,-0.0010000000000003,1546.390000000014,137,1.002542372881356,316.0,2.366
4,5.5773420479340095e-08,-3.7919517953615607,4.2,4.199,4.199941176470588,12.56345738412506,1537.6699999999837,136,4.2,4.199,-0.0010000000000003,1537.6699999999837,136,1.0029661016949154,315.0,2.367
5,5.3186250369384475e-08,-3.90557445471708,4.2,4.199,4.199944055944057,13.44132387712006,1605.210000000021,143,4.2,4.199,-0.0010000000000003,1605.210000000021,143,1.0033898305084743,314.0,2.368
6,5.993650793654796e-08,-3.6234751054602383,4.2,4.199,4.199936507936508,11.308846130764987,1437.929999999993,126,4.2,4.199,-0.0010000000000003,1437.929999999993,126,1.0029661016949154,313.0,2.367
7,5.2103838582711984e-08,-3.963687858570885,4.2,4.199,4.199945312500002,13.928230730466312,1454.75,128,4.2,4.199,-0.0010000000000003,1454.75,128,1.0033898305084743,312.0,2.368
8,6.17802465790956e-08,-3.553855787749629,4.2,4.199,4.199934426229509,10.806804695618386,1394.1300000000049,122,4.2,4.199,-0.0010000000000003,1394.1300000000049,122,1.0033898305084743,311.0,2.368
9,5.2103838582711984e-08,-3.963687858570885,4.2,4.199,4.199945312500002,13.928230730466312,1450.579999999958,128,4.2,4.199,-0.0010000000000003,1450.579999999958,128,1.0033898305084743,310.0,2.368
10,6.374040272349613e-08,-3.4828500833990117,4.2,4.199,4.1999322033898325,10.304635068935818,1358.4400000000023,118,4.2,4.199,-0.0010000000000003,1358.4400000000023,118,1.0033898305084743,309.0,2.368
11,5.905511811027566e-08,-3.6577894784213942,4.2,4.199,4.199937500000002,11.559822222315349,1452.0200000000186,128,4.2,4.199,-0.0010000000000003,1452.0200000000186,128,1.0033898305084743,308.0,2.368
12,5.86240310077911e-08,-3.6748268751610143,4.2,4.199,4.199937984496124,11.685299668107492,1468.5,129,4.2,4.199,-0.0010000000000003,1468.5,129,1.003813559322034,307.0,2.369
13,7.105606258153376e-08,-3.2340106191257454,4.2,4.199,4.199923728813562,8.604393216341377,1354.7299999999814,118,4.2,4.199,-0.0010000000000003,1354.7299999999814,118,1.003813559322034,306.0,2.369
14,5.673445328621533e-08,-3.760243309948059,4.2,4.199,4.199940170940173,12.35028202930222,1349.7600000000093,117,4.2,4.199,-0.0010000000000003,1349.7600000000093,117,1.003813559322034,305.0,2.369
15,6.374040272349613e-08,-3.4828500833990117,4.2,4.199,4.1999322033898325,10.304635068935818,1353.0400000000373,118,4.2,4.199,-0.0010000000000003,1353.0400000000373,118,1.003813559322034,304.0,2.369
16,5.249343832024503e-08,-3.94562603396937,4.2,4.199,4.199944881889763,13.784825806408849,1442.0200000000186,127,4.2,4.199,-0.0010000000000003,1442.0200000000186,127,1.003813559322034,303.0,2.369
17,6.748566748571256e-08,-3.3549907990975423,4.2,4.199,4.19992792792793,9.425492117309156,1285.920000000042,111,4.2,4.199,-0.0010000000000003,1285.920000000042,111,1.003813559322034,302.0,2.369
18,7.843665768199309e-08,-3.021271772778456,4.2,4.199,4.199915094339624,7.264820389684928,1234.4799999999814,106,4.2,4.199,-0.0010000000000003,1234.4799999999814,106,1.003813559322034,301.0,2.369
19,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1349.4899999999907,117,4.2,4.199,-0.0010000000000003,1349.4899999999907,117,1.003813559322034,300.0,2.369
20,7.518427518432543e-08,-3.111665766918324,4.2,4.199,4.199918918918921,7.823116334619474,1287.7700000000186,111,4.2,4.199,-0.0010000000000003,1287.7700000000186,111,1.003813559322034,299.0,2.369
21,7.912087912093196e-08,-3.002869617597054,4.2,4.199,4.199914285714287,7.153134716702501,1229.5199999999604,105,4.2,4.199,-0.0010000000000003,1229.5199999999604,105,1.003813559322034,298.0,2.369
22,7.299553484765118e-08,-3.18310015485554,4.2,4.199,4.1999215686274525,8.294405222502881,1190.9100000000326,102,4.2,4.199,-0.0010000000000003,1190.9100000000326,102,1.003813559322034,297.0,2.369
23,6.748566748571256e-08,-3.3549907990975423,4.2,4.199,4.19992792792793,9.425492117309156,1284.689999999944,111,4.2,4.199,-0.0010000000000003,1284.689999999944,111,1.0042372881355932,296.0,2.37
24,6.692406692411162e-08,-3.373551819002246,4.2,4.199,4.199928571428573,9.5511131071416,1290.5699999999488,112,4.2,4.199,-0.0010000000000003,1290.5699999999488,112,1.0042372881355932,295.0,2.37
25,7.299553484765118e-08,-3.18310015485554,4.2,4.199,4.1999215686274525,8.294405222502881,1190.5700000000652,102,4.2,4.199,-0.0010000000000003,1190.5700000000652,102,1.003813559322034,294.0,2.369
26,7.299553484765118e-08,-3.18310015485554,4.2,4.199,4.1999215686274525,8.294405222502881,1198.8000000000466,102,4.2,4.199,-0.0010000000000003,1198.8000000000466,102,1.003813559322034,293.0,2.369
27,8.69963369963951e-08,-2.797893746207915,4.2,4.199,4.1999047619047625,5.9410261805450935,1224.6600000000326,105,4.2,4.199,-0.0010000000000003,1224.6600000000326,105,1.003813559322034,292.0,2.369
28,6.118033921776327e-08,-3.585221961238213,4.2,4.199,4.199935185185187,11.0582888863719,1251.1800000000512,108,4.2,4.199,-0.0010000000000003,1251.1800000000512,108,1.003813559322034,291.0,2.369
29,6.013344453715442e-08,-3.624844967181682,4.2,4.199,4.199936363636366,11.345483298228633,1274.329999999958,110,4.2,4.199,-0.0010000000000003,1274.329999999958,110,1.003813559322034,290.0,2.369
