cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.0755169313782086e-08,-4.599641309941717,4.2,4.199,4.199957746478874,19.430192400735315,1598.1699999999837,142,4.2,4.199,-0.0010000000000003,1598.1699999999837,142,1.0,320.0,2.36
2,5.86240310077911e-08,-3.6748268751610143,4.2,4.199,4.199937984496124,11.685299668107492,1461.9199999999837,129,4.2,4.199,-0.0010000000000003,1461.9199999999837,129,1.0004237288135596,319.0,2.361
3,5.53885787892169e-08,-3.808390656072216,4.2,4.199,4.199941605839417,12.688883746679076,1548.5800000000163,137,4.2,4.199,-0.0010000000000003,1548.5800000000163,137,1.0004237288135596,318.0,2.361
4,5.369787568847017e-08,-3.8909379220087614,4.2,4.199,4.199943548387098,13.354559995448746,1413.8099999999977,124,4.2,4.199,-0.0010000000000003,1413.8099999999977,124,1.0004237288135596,317.0,2.361
5,4.5029527559085194e-08,-4.338491479708865,4.2,4.199,4.199953125000002,17.089315638993668,1452.070000000007,128,4.2,4.199,-0.0010000000000003,1452.070000000007,128,1.000847457627119,316.0,2.362
6,5.86240310077911e-08,-3.6748268751610143,4.2,4.199,4.199937984496124,11.685299668107492,1464.3300000000163,129,4.2,4.199,-0.0010000000000003,1464.3300000000163,129,1.001271186440678,315.0,2.363
7,5.369787568847017e-08,-3.8909379220087614,4.2,4.199,4.199943548387098,13.354559995448746,1417.320000000007,124,4.2,4.199,-0.0010000000000003,1417.320000000007,124,1.001271186440678,314.0,2.363
8,5.627987831381421e-08,-3.7791904215070966,4.2,4.199,4.1999406779661035,12.493780137066244,1356.5,118,4.2,4.199,-0.0010000000000003,1356.5,118,1.001271186440678,313.0,2.363
9,7.581317764809066e-08,-3.093796343233578,4.2,4.199,4.199918181818184,7.711474158927748,1274.6199999999951,110,4.2,4.199,-0.0010000000000003,1274.6199999999951,110,1.001271186440678,312.0,2.363
10,5.369787568847017e-08,-3.8909379220087614,4.2,4.199,4.199943548387098,13.354559995448746,1411.7299999999814,124,4.2,4.199,-0.0010000000000003,1411.7299999999814,124,1.001271186440678,311.0,2.363
11,6.8056713928319e-08,-3.3363270013479127,4.2,4.199,4.199927272727274,9.299860780316052,1272.570000000007,110,4.2,4.199,-0.0010000000000003,1272.570000000007,110,1.001271186440678,310.0,2.363
12,5.627987831381421e-08,-3.7791904215070966,4.2,4.199,4.1999406779661035,12.493780137066244,1358.5800000000163,118,4.2,4.199,-0.0010000000000003,1358.5800000000163,118,1.001271186440678,309.0,2.363
13,6.863744478427964e-08,-3.31755870995156,4.2,4.199,4.199926605504589,9.174218841485375,1267.4500000000116,109,4.2,4.199,-0.0010000000000003,1267.4500000000116,109,1.001271186440678,308.0,2.363
14,6.282051282055477e-08,-3.524953797462018,4.2,4.199,4.199933333333334,10.627396589731545,1224.6199999999951,105,4.2,4.199,-0.0010000000000003,1224.6199999999951,105,1.001271186440678,307.0,2.363
15,6.582828753303575e-08,-3.41037215954717,4.2,4.199,4.199929824561405,9.802325025568438,1317.2399999999907,114,4.2,4.199,-0.0010000000000003,1317.2399999999907,114,1.0016949152542374,306.0,2.364
16,6.637168141597354e-08,-3.392011730742834,4.2,4.199,4.199929203539824,9.676723996776758,1305.6699999999837,113,4.2,4.199,-0.0010000000000003,1305.6699999999837,113,1.0016949152542374,305.0,2.364
17,7.299553484765118e-08,-3.18310015485554,4.2,4.199,4.1999215686274525,8.294405222502881,1192.5400000000373,102,4.2,4.199,-0.0010000000000003,1192.5400000000373,102,1.0016949152542374,304.0,2.364
