cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.8244123036164486e-08,-4.749866622019649,4.2,4.199,4.1999603524229085,20.74392796475051,2444.9500000000116,227,4.2,4.199,-0.0010000000000003,2444.9500000000116,227,0.9398305084745764,389.0,2.218
2,3.357801618673426e-08,-5.1236028730943355,4.2,4.199,4.19996536796537,24.46304029916871,2481.929999999993,231,4.2,4.199,-0.0010000000000003,2481.929999999993,231,0.9406779661016952,388.0,2.22
3,4.302508786816593e-08,-4.428359612462786,4.2,4.199,4.199955156950674,17.76966367527602,2401.4400000000023,223,4.2,4.199,-0.0010000000000003,2401.4400000000023,223,0.9385593220338982,387.0,2.215
4,4.176950825899885e-08,-4.5066597101223715,4.2,4.199,4.199956521739132,18.470525156642235,2474.25,230,4.2,4.199,-0.0010000000000003,2474.25,230,0.9389830508474578,386.0,2.216
5,4.1789784719318745e-08,-4.509961933162083,4.2,4.199,4.199956521739132,18.51859484384144,2249.1699999999837,207,4.2,4.199,-0.0010000000000003,2249.1699999999837,207,0.9423728813559324,385.0,2.224
6,3.6819321029871934e-08,-4.860718911571348,4.2,4.199,4.1999619047619055,21.834453852002923,2273.6300000000047,210,4.2,4.199,-0.0010000000000003,2273.6300000000047,210,0.9398305084745764,384.0,2.218
7,4.0116279069794244e-08,-4.6194587672355585,4.2,4.199,4.199958333333335,19.520062267263818,2333.9799999999814,216,4.2,4.199,-0.0010000000000003,2333.9799999999814,216,0.938135593220339,383.0,2.214
8,4.0116279069794244e-08,-4.6194587672355585,4.2,4.199,4.199958333333335,19.520062267263818,2334.2700000000186,216,4.2,4.199,-0.0010000000000003,2334.2700000000186,216,0.9372881355932204,382.0,2.212
9,4.1789784719318745e-08,-4.509961933162083,4.2,4.199,4.199956521739132,18.51859484384144,2244.530000000028,207,4.2,4.199,-0.0010000000000003,2244.530000000028,207,0.9364406779661018,381.0,2.21
10,5.088839054686856e-08,-4.001615761134466,4.2,4.199,4.199946524064172,14.164312374344748,2043.9899999999907,187,4.2,4.199,-0.0010000000000003,2043.9899999999907,187,0.9360169491525424,380.0,2.209
11,4.0843244209988833e-08,-4.57111681287697,4.2,4.199,4.199957547169813,19.07498018084562,2291.9500000000116,212,4.2,4.199,-0.0010000000000003,2291.9500000000116,212,0.9360169491525424,379.0,2.209
12,4.1789784719318745e-08,-4.509961933162083,4.2,4.199,4.199956521739132,18.51859484384144,2249.4099999999744,207,4.2,4.199,-0.0010000000000003,2249.4099999999744,207,0.9360169491525424,378.0,2.209
13,4.3190954773898195e-08,-4.422927244210657,4.2,4.199,4.199955000000001,17.7395897119158,2178.8800000000047,200,4.2,4.199,-0.0010000000000003,2178.8800000000047,200,0.9398305084745764,377.0,2.218
14,3.8968363841486326e-08,-4.703912459618329,4.2,4.199,4.199959595959598,20.332074898957337,2153.2799999999697,198,4.2,4.199,-0.0010000000000003,2153.2799999999697,198,0.9385593220338982,376.0,2.215
15,3.8592964824146384e-08,-4.730407569471551,4.2,4.199,4.199960000000001,20.582490514342705,2171.0299999999697,200,4.2,4.199,-0.0010000000000003,2171.0299999999697,200,0.9364406779661018,375.0,2.21
16,4.536340852133358e-08,-4.295539906243171,4.2,4.199,4.199952631578949,16.62657804938853,2070.5100000000093,190,4.2,4.199,-0.0010000000000003,2070.5100000000093,190,0.9351694915254236,374.0,2.207
17,5.389610389613989e-08,-3.861861232469818,4.2,4.199,4.199943181818182,13.062287019319855,1933.0800000000163,176,4.2,4.199,-0.0010000000000003,1933.0800000000163,176,0.933898305084746,373.0,2.204
18,3.8592964824146384e-08,-4.730407569471551,4.2,4.199,4.199960000000001,20.582490514342705,2174.109999999986,200,4.2,4.199,-0.0010000000000003,2174.109999999986,200,0.933898305084746,372.0,2.204
19,4.2781143786048964e-08,-4.447967768693918,4.2,4.199,4.199955445544556,17.962170784962638,2198.5499999999884,202,4.2,4.199,-0.0010000000000003,2198.5499999999884,202,0.9347457627118644,371.0,2.206
20,4.0751998198833936e-08,-4.582790903520875,4.2,4.199,4.199957671957673,19.20509989457828,2069.5599999999977,189,4.2,4.199,-0.0010000000000003,2069.5599999999977,189,0.9351694915254236,370.0,2.207
21,4.5592705167203713e-08,-4.2825932022058115,4.2,4.199,4.199952380952382,16.515266517254165,2069.8099999999395,189,4.2,4.199,-0.0010000000000003,2069.8099999999395,189,0.938135593220339,369.0,2.214
22,4.93322702810774e-08,-4.083481574721443,4.2,4.199,4.19994827586207,14.845336267685498,1915.8099999999397,174,4.2,4.199,-0.0010000000000003,1915.8099999999397,174,0.939406779661017,368.0,2.217
23,4.701855521530793e-08,-4.204077654091327,4.2,4.199,4.199950819672132,15.847354346227986,2000.1199999999951,183,4.2,4.199,-0.0010000000000003,2000.1199999999951,183,0.936864406779661,367.0,2.211
24,4.653349001178197e-08,-4.230411056169958,4.2,4.199,4.199951351351353,16.070000127487653,2021.6100000001024,185,4.2,4.199,-0.0010000000000003,2021.6100000001024,185,0.9355932203389832,366.0,2.208
25,4.677476835355939e-08,-4.217264861693283,4.2,4.199,4.199951086956522,15.958678311994946,2018.4000000000233,184,4.2,4.199,-0.0010000000000003,2018.4000000000233,184,0.9343220338983051,365.0,2.205
26,5.4187192118262795e-08,-3.848905705444103,4.2,4.199,4.199942857142858,12.962091679042356,1923.9599999999627,175,4.2,4.199,-0.0010000000000003,1923.9599999999627,175,0.9334745762711864,364.0,2.203
27,4.5136401212485375e-08,-4.308447788371252,4.2,4.199,4.199952879581153,16.737887614395145,2082.0800000000745,191,4.2,4.199,-0.0010000000000003,2082.0800000000745,191,0.9279661016949152,363.0,2.19
28,4.2935157868335754e-08,-4.444345425253518,4.2,4.199,4.199955307262571,17.952681926402683,1969.359999999986,179,4.2,4.199,-0.0010000000000003,1969.359999999986,179,0.9343220338983051,362.0,2.205
29,4.9603441322791586e-08,-4.069862005079579,4.2,4.199,4.199947976878613,14.733988885853968,1900.2900000000373,173,4.2,4.199,-0.0010000000000003,1900.2900000000373,173,0.9364406779661018,361.0,2.21
30,4.3636363636392775e-08,-4.4019637138333865,4.2,4.199,4.199954545454546,17.57690518909013,1930.1300000000049,176,4.2,4.199,-0.0010000000000003,1930.1300000000049,176,0.9398305084745764,360.0,2.218
31,4.6415373244672546e-08,-4.242948304752442,4.2,4.199,4.1999515151515165,16.198826410426047,1822.6999999999537,165,4.2,4.199,-0.0010000000000003,1822.6999999999537,165,0.9364406779661018,359.0,2.21
32,5.0435085276747924e-08,-4.028727810213682,4.2,4.199,4.199947058823531,14.399931282158608,1871.7700000000184,170,4.2,4.199,-0.0010000000000003,1871.7700000000184,170,0.9351694915254236,358.0,2.207
33,4.5109641489762126e-08,-4.315953444196587,4.2,4.199,4.199952941176472,16.825273065048115,1875.3000000000463,170,4.2,4.199,-0.0010000000000003,1875.3000000000463,170,0.9351694915254236,357.0,2.207
34,5.0435085276747924e-08,-4.028727810213682,4.2,4.199,4.199947058823531,14.399931282158608,1874.090000000084,170,4.2,4.199,-0.0010000000000003,1874.090000000084,170,0.933898305084746,356.0,2.204
