cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.475450835859247e-08,-4.325611126568355,4.2,4.199,4.199953271028039,16.868480124886123,2314.0499999999884,214,4.2,4.199,-0.0010000000000003,2314.0499999999884,214,0.936864406779661,328.0,2.211
2,4.495526618835494e-08,-4.314043966948763,4.2,4.199,4.1999530516431935,16.76834296661218,2302.670000000042,213,4.2,4.199,-0.0010000000000003,2302.670000000042,213,0.936864406779661,327.0,2.211
3,4.556846662112864e-08,-4.2791554015456486,4.2,4.199,4.199952380952382,16.46792433119355,2271.6300000000047,210,4.2,4.199,-0.0010000000000003,2271.6300000000047,210,0.9351694915254236,326.0,2.207
4,4.321063144595442e-08,-4.417060850345811,4.2,4.199,4.199954954954957,17.669536525914506,2397.2000000000116,222,4.2,4.199,-0.0010000000000003,2397.2000000000116,222,0.9355932203389832,325.0,2.208
5,4.1216678058810855e-08,-4.5467534052855365,4.2,4.199,4.199957142857144,18.85243052678273,2273.4100000000326,210,4.2,4.199,-0.0010000000000003,2273.4100000000326,210,0.9385593220338982,324.0,2.215
6,4.89029870473496e-08,-4.10027557472654,4.2,4.199,4.199948717948719,14.965656070657673,2125.7700000000186,195,4.2,4.199,-0.0010000000000003,2125.7700000000186,195,0.9364406779661018,323.0,2.21
7,4.6412502960012055e-08,-4.232191219493419,4.2,4.199,4.199951456310681,16.06734886084332,2237.1199999999953,206,4.2,4.199,-0.0010000000000003,2237.1199999999953,206,0.9343220338983051,322.0,2.205
8,5.2486187845338935e-08,-3.92600031259293,4.2,4.199,4.199944751381216,13.56323487147972,1987.4599999999627,181,4.2,4.199,-0.0010000000000003,1987.4599999999627,181,0.9330508474576272,321.0,2.202
9,4.8430539728614135e-08,-4.124573056904447,4.2,4.199,4.199949238578681,15.165976582624232,2146.240000000049,197,4.2,4.199,-0.0010000000000003,2146.240000000049,197,0.932627118644068,320.0,2.201
10,4.677476835355939e-08,-4.217264861693283,4.2,4.199,4.199951086956522,15.958678311994946,2012.320000000007,184,4.2,4.199,-0.0010000000000003,2012.320000000007,184,0.9317796610169492,319.0,2.199
11,4.38205739148744e-08,-4.38509886251321,4.2,4.199,4.199954314720814,17.40570525487718,2140.8099999999977,197,4.2,4.199,-0.0010000000000003,2140.8099999999977,197,0.9317796610169492,318.0,2.199
12,4.8798701298733896e-08,-4.110585695808609,4.2,4.199,4.199948863636364,15.068023543669492,1939.920000000042,176,4.2,4.199,-0.0010000000000003,1939.920000000042,176,0.9317796610169492,317.0,2.199
13,7.035714285717018e-08,-4.536849586617377,4.2,4.198,4.199937500000001,22.09097175971378,1932.6999999999537,176,4.2,4.198,-0.0019999999999997,1932.6999999999537,176,0.9347457627118644,316.0,2.206
14,5.7941376959820575e-08,-3.689909847211765,4.2,4.199,4.199938650306749,11.759583485609918,1801.8699999999951,163,4.2,4.199,-0.0010000000000003,1801.8699999999951,163,0.9351694915254236,315.0,2.207
15,5.6001690617112644e-08,-3.7702420101918266,4.2,4.199,4.199940828402367,12.36087679153498,1863.5599999999977,169,4.2,4.199,-0.0010000000000003,1863.5599999999977,169,0.932627118644068,314.0,2.201
