cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.7294657392358794e-08,-4.819513144667391,4.2,4.199,4.199961373390559,21.411428840444007,2503.3300000000163,233,4.2,4.199,-0.0010000000000003,2503.3300000000163,233,0.9385593220338982,412.0,2.215
2,4.4358311800201894e-08,-4.348653388122092,4.2,4.199,4.199953703703705,17.068750950578043,2331.4799999999814,216,4.2,4.199,-0.0010000000000003,2331.4799999999814,216,0.938135593220339,411.0,2.214
3,4.6628407460576335e-08,-4.2203687542445625,4.2,4.199,4.199951219512196,15.967201797950532,2220.0900000000256,205,4.2,4.199,-0.0010000000000003,2220.0900000000256,205,0.9372881355932204,410.0,2.212
4,3.9073009661271066e-08,-4.691039115224587,4.2,4.199,4.1999594594594605,20.187644533395424,2396.6599999999744,222,4.2,4.199,-0.0010000000000003,2396.6599999999744,222,0.9372881355932204,409.0,2.212
5,4.598662207360931e-08,-4.255737909298069,4.2,4.199,4.199951923076924,16.26763911915318,2250.429999999993,208,4.2,4.199,-0.0010000000000003,2250.429999999993,208,0.9402542372881356,408.0,2.219
6,4.2781143786048964e-08,-4.447967768693918,4.2,4.199,4.199955445544556,17.962170784962638,2190.3699999999953,202,4.2,4.199,-0.0010000000000003,2190.3699999999953,202,0.9389830508474578,407.0,2.216
7,4.38205739148744e-08,-4.38509886251321,4.2,4.199,4.199954314720814,17.40570525487718,2147.7300000000396,197,4.2,4.199,-0.0010000000000003,2147.7300000000396,197,0.936864406779661,406.0,2.211
8,3.7160906726148945e-08,-4.834937419573209,4.2,4.199,4.199961538461539,21.58407577559541,2252.960000000021,208,4.2,4.199,-0.0010000000000003,2252.960000000021,208,0.9364406779661018,405.0,2.21
9,4.257913476079516e-08,-4.460435410970146,4.2,4.199,4.199955665024632,18.073458822831363,2209.890000000014,203,4.2,4.199,-0.0010000000000003,2209.890000000014,203,0.9355932203389832,404.0,2.208
10,3.915881073244096e-08,-4.690608829005384,4.2,4.199,4.199959390862945,20.206864040982808,2148.0599999999977,197,4.2,4.199,-0.0010000000000003,2148.0599999999977,197,0.9351694915254236,403.0,2.207
