cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,3.7922316708827923e-08,-4.773194896960563,4.2,4.199,4.199960698689958,20.966432875968053,2467.570000000007,229,4.2,4.199,-0.0010000000000003,2467.570000000007,229,0.9377118644067798,375.0,2.213
2,4.229854586568651e-08,-4.473269961413848,4.2,4.199,4.199955947136566,18.170161948799752,2444.6599999999744,227,4.2,4.199,-0.0010000000000003,2444.6599999999744,227,0.9377118644067798,374.0,2.213
3,3.808254115467417e-08,-4.761545027046137,4.2,4.199,4.199960526315791,20.855181009716773,2458.3699999999953,228,4.2,4.199,-0.0010000000000003,2458.3699999999953,228,0.9364406779661018,373.0,2.21
4,4.194438060218844e-08,-4.4955572860475135,4.2,4.199,4.199956331877731,18.370405063245336,2462.1599999999744,229,4.2,4.199,-0.0010000000000003,2462.1599999999744,229,0.936864406779661,372.0,2.211
5,3.7763432694158506e-08,-4.784816439587713,4.2,4.199,4.19996086956522,21.07768357800532,2474.179999999993,230,4.2,4.199,-0.0010000000000003,2474.179999999993,230,0.9398305084745764,371.0,2.218
6,4.321063144595442e-08,-4.417060850345811,4.2,4.199,4.199954954954957,17.669536525914506,2396.4100000000326,222,4.2,4.199,-0.0010000000000003,2396.4100000000326,222,0.9377118644067798,370.0,2.213
7,3.840707964604336e-08,-4.738159471503517,4.2,4.199,4.199960176991151,20.632673726305033,2432.539999999979,226,4.2,4.199,-0.0010000000000003,2432.539999999979,226,0.9360169491525424,369.0,2.209
8,4.2985074626894386e-08,-4.435465144934266,4.2,4.199,4.199955223880599,17.850881089071407,2186.820000000007,201,4.2,4.199,-0.0010000000000003,2186.820000000007,201,0.9347457627118644,368.0,2.206
9,3.8224717994213014e-08,-4.756755220962831,4.2,4.199,4.1999603960396055,20.832898189534184,2191.070000000007,202,4.2,4.199,-0.0010000000000003,2191.070000000007,202,0.9343220338983051,367.0,2.205
10,4.6628407460576335e-08,-4.2203687542445625,4.2,4.199,4.199951219512196,15.967201797950532,2220.509999999951,205,4.2,4.199,-0.0010000000000003,2220.509999999951,205,0.933898305084746,366.0,2.204
11,4.257913476079516e-08,-4.460435410970146,4.2,4.199,4.199955665024632,18.073458822831363,2207.8800000000047,203,4.2,4.199,-0.0010000000000003,2207.8800000000047,203,0.933898305084746,365.0,2.204
12,4.7512437810977024e-08,-4.17274496119676,4.2,4.199,4.1999502487562195,15.566600254995288,2182.4700000000303,201,4.2,4.199,-0.0010000000000003,2182.4700000000303,201,0.9343220338983051,364.0,2.205
13,3.6318540171872966e-08,-4.899136940683722,4.2,4.199,4.199962441314556,22.210008091718347,2302.1900000000023,213,4.2,4.199,-0.0010000000000003,2302.1900000000023,213,0.9377118644067798,363.0,2.213
14,4.653349001178197e-08,-4.230411056169958,4.2,4.199,4.199951351351353,16.070000127487653,2023.539999999979,185,4.2,4.199,-0.0010000000000003,2023.539999999979,185,0.9364406779661018,362.0,2.21
15,4.6294681778583665e-08,-4.243516616779684,4.2,4.199,4.199951612903227,16.18131982458666,2033.070000000007,186,4.2,4.199,-0.0010000000000003,2033.070000000007,186,0.9347457627118644,361.0,2.206
16,4.677476835355939e-08,-4.217264861693283,4.2,4.199,4.199951086956522,15.958678311994946,2015.1300000000049,184,4.2,4.199,-0.0010000000000003,2015.1300000000049,184,0.933898305084746,360.0,2.204
17,4.5136401212485375e-08,-4.308447788371252,4.2,4.199,4.199952879581153,16.737887614395145,2082.5999999999767,191,4.2,4.199,-0.0010000000000003,2082.5999999999767,191,0.9334745762711864,359.0,2.203
18,4.4911649214689675e-08,-4.321317194877511,4.2,4.199,4.199953125,16.84919524070181,2097.7999999999884,192,4.2,4.199,-0.0010000000000003,2097.7999999999884,192,0.9330508474576272,358.0,2.202
