cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.1596085074373736e-08,-4.517734911176748,4.2,4.199,4.199956709956711,18.570644289516498,2482.7399999999907,231,4.2,4.199,-0.0010000000000003,2482.7399999999907,231,0.9347457627118644,379.0,2.206
2,5.056048027769429e-08,-4.0133983889668015,4.2,4.199,4.199946859903383,14.244911268356688,2242.920000000042,207,4.2,4.199,-0.0010000000000003,2242.920000000042,207,0.933898305084746,378.0,2.204
3,4.4555531406245794e-08,-4.33714751912019,4.2,4.199,4.199953488372095,16.968616114660367,2320.0800000000163,215,4.2,4.199,-0.0010000000000003,2320.0800000000163,215,0.9330508474576272,377.0,2.202
4,6.140564795398186e-08,-4.912640716648749,4.2,4.198,4.199945812807883,26.086143883070807,2206.1199999999953,203,4.2,4.198,-0.0019999999999997,2206.1199999999953,203,0.9330508474576272,376.0,2.202
5,4.475450835859247e-08,-4.325611126568355,4.2,4.199,4.199953271028039,16.868480124886123,2313.9899999999907,214,4.2,4.199,-0.0010000000000003,2313.9899999999907,214,0.9355932203389832,375.0,2.208
6,5.0631471157162046e-08,-4.014080375208494,4.2,4.199,4.1999468085106395,14.264485957581618,2056.1300000000047,188,4.2,4.199,-0.0010000000000003,2056.1300000000047,188,0.9347457627118644,374.0,2.206
7,5.221298038981084e-08,-3.938703304519693,4.2,4.199,4.199945054945056,13.663418864562844,1997.829999999958,182,4.2,4.199,-0.0010000000000003,1997.829999999958,182,0.9330508474576272,373.0,2.202
8,4.3190954773898195e-08,-4.422927244210657,4.2,4.199,4.199955000000001,17.7395897119158,2171.6900000000023,200,4.2,4.199,-0.0010000000000003,2171.6900000000023,200,0.9317796610169492,372.0,2.199
9,4.8430539728614135e-08,-4.124573056904447,4.2,4.199,4.199949238578681,15.165976582624232,2146.610000000044,197,4.2,4.199,-0.0010000000000003,2146.610000000044,197,0.93135593220339,371.0,2.198
10,5.167498218107514e-08,-3.963987645836013,4.2,4.199,4.1999456521739145,13.86378148437078,2017.1599999999744,184,4.2,4.199,-0.0010000000000003,2017.1599999999744,184,0.9305084745762712,370.0,2.196
11,4.9142674002489967e-08,-4.088072860958243,4.2,4.199,4.199948453608249,14.865493576516675,2110.0599999999977,194,4.2,4.199,-0.0010000000000003,2110.0599999999977,194,0.9305084745762712,369.0,2.196
12,6.195873292649755e-08,-5.003522330553805,4.2,4.198,4.199946236559141,27.149585132654863,2038.8800000000049,186,4.2,4.198,-0.0019999999999997,2038.8800000000049,186,0.9305084745762712,368.0,2.196
13,5.1942592926234174e-08,-3.951365620049944,4.2,4.199,4.199945355191258,13.763601060349917,2000.350000000035,183,4.2,4.199,-0.0010000000000003,2000.350000000035,183,0.932627118644068,367.0,2.201
