cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.657148407151517e-08,-4.242237406735549,4.2,4.199,4.1999513888888895,16.22170732115099,1616.2700000000186,144,4.2,4.199,-0.0010000000000003,1616.2700000000186,144,0.9936440677966104,364.0,2.345
2,6.225895316808567e-08,-3.5362375432623305,4.2,4.199,4.199933884297522,10.681274759861552,1383.5800000000163,121,4.2,4.199,-0.0010000000000003,1383.5800000000163,121,0.9940677966101696,363.0,2.346
3,4.751773049648565e-08,-4.191418980034542,4.2,4.199,4.19995035460993,15.79181041935579,1581.7600000000093,141,4.2,4.199,-0.0010000000000003,1581.7600000000093,141,0.9944915254237288,362.0,2.347
4,5.096887844982853e-08,-4.017386472295803,4.2,4.199,4.199946564885496,14.3583970769473,1487.8099999999977,131,4.2,4.199,-0.0010000000000003,1487.8099999999977,131,0.9944915254237288,361.0,2.347
5,6.225895316808567e-08,-3.5362375432623305,4.2,4.199,4.199933884297522,10.681274759861552,1387.6199999999951,121,4.2,4.199,-0.0010000000000003,1387.6199999999951,121,0.9944915254237288,360.0,2.347
6,6.637168141597354e-08,-3.392011730742834,4.2,4.199,4.199929203539824,9.676723996776758,1308.2000000000116,113,4.2,4.199,-0.0010000000000003,1308.2000000000116,113,0.9944915254237288,359.0,2.347
7,6.274509803925759e-08,-3.518531398232299,4.2,4.199,4.199933333333335,10.55573663632424,1375.149999999965,120,4.2,4.199,-0.0010000000000003,1375.149999999965,120,0.994915254237288,358.0,2.348
8,5.2103838582711984e-08,-3.963687858570885,4.2,4.199,4.199945312500002,13.928230730466312,1457.0199999999604,128,4.2,4.199,-0.0010000000000003,1457.0199999999604,128,0.994915254237288,357.0,2.348
9,5.0601434189254256e-08,-4.035127314337187,4.2,4.199,4.19994696969697,14.501770304093077,1490.920000000042,132,4.2,4.199,-0.0010000000000003,1490.920000000042,132,0.994915254237288,356.0,2.348
10,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1342.070000000007,117,4.2,4.199,-0.0010000000000003,1342.070000000007,117,0.994915254237288,355.0,2.348
11,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1347.0599999999977,117,4.2,4.199,-0.0010000000000003,1347.0599999999977,117,0.994915254237288,354.0,2.348
12,4.714808291562558e-08,-4.2216227329632305,4.2,4.199,4.199950819672132,16.08556094859224,1399.5,122,4.2,4.199,-0.0010000000000003,1399.5,122,0.9953389830508476,353.0,2.349
13,5.905511811027566e-08,-3.6577894784213942,4.2,4.199,4.199937500000002,11.559822222315349,1459.5599999999977,128,4.2,4.199,-0.0010000000000003,1459.5599999999977,128,0.9953389830508476,352.0,2.349
14,5.8143145474344065e-08,-3.702820981162422,4.2,4.199,4.199938596491229,11.919723080001653,1313.429999999993,114,4.2,4.199,-0.0010000000000003,1313.429999999993,114,0.994915254237288,351.0,2.348
15,6.225895316808567e-08,-3.5362375432623305,4.2,4.199,4.199933884297522,10.681274759861552,1389.640000000014,121,4.2,4.199,-0.0010000000000003,1389.640000000014,121,0.9953389830508476,350.0,2.349
16,5.4111688657906334e-08,-3.872537072769919,4.2,4.199,4.199943089430895,13.211120384347195,1409.7000000000116,123,4.2,4.199,-0.0010000000000003,1409.7000000000116,123,0.9953389830508476,349.0,2.349
17,8.198019801985674e-08,-2.9281169343243603,4.2,4.199,4.19991089108911,6.706296923732033,1188.259999999951,101,4.2,4.199,-0.0010000000000003,1188.259999999951,101,0.994915254237288,348.0,2.348
18,6.582828753303575e-08,-3.41037215954717,4.2,4.199,4.199929824561405,9.802325025568438,1318.6199999999951,114,4.2,4.199,-0.0010000000000003,1318.6199999999951,114,0.994915254237288,347.0,2.348
19,6.013344453715442e-08,-3.624844967181682,4.2,4.199,4.199936363636366,11.345483298228633,1278.9199999999837,110,4.2,4.199,-0.0010000000000003,1278.9199999999837,110,0.994915254237288,346.0,2.348
20,6.455057270437239e-08,-3.463639009495016,4.2,4.199,4.199931372549021,10.196374572881089,1198.6900000000023,102,4.2,4.199,-0.0010000000000003,1198.6900000000023,102,0.994915254237288,345.0,2.348
21,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1206.2000000000116,103,4.2,4.199,-0.0010000000000003,1206.2000000000116,103,0.994915254237288,344.0,2.348
22,6.065239551482134e-08,-3.605087818557761,4.2,4.199,4.199935779816515,11.201892571609555,1265.4100000000326,109,4.2,4.199,-0.0010000000000003,1265.4100000000326,109,0.994915254237288,343.0,2.348
23,6.065239551482134e-08,-3.605087818557761,4.2,4.199,4.199935779816515,11.201892571609555,1260.6399999998976,109,4.2,4.199,-0.0010000000000003,1260.6399999998976,109,0.994915254237288,342.0,2.348
24,6.748566748571256e-08,-3.3549907990975423,4.2,4.199,4.19992792792793,9.425492117309156,1281.670000000042,111,4.2,4.199,-0.0010000000000003,1281.670000000042,111,0.994915254237288,341.0,2.348
25,4.8283720267800386e-08,-4.161956659308314,4.2,4.199,4.199949579831935,15.583543944066744,1369.609999999986,119,4.2,4.199,-0.0010000000000003,1369.609999999986,119,0.994915254237288,340.0,2.348
