cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,5.5008991854474496e-08,-3.824759036976141,4.2,4.199,4.199942028985508,12.814304298701318,1558.4599999999627,138,4.2,4.199,-0.0010000000000003,1558.4599999999627,138,0.9953389830508476,378.0,2.349
2,5.1151822963937665e-08,-4.00040303690738,4.2,4.199,4.199946308724833,14.193578159959127,1669.4099999999744,149,4.2,4.199,-0.0010000000000003,1669.4099999999744,149,0.996186440677966,377.0,2.351
3,5.6559308719597875e-08,-3.7588589539576622,4.2,4.199,4.199940298507464,12.31258674538226,1519.960000000021,134,4.2,4.199,-0.0010000000000003,1519.960000000021,134,0.996186440677966,376.0,2.351
4,7.21889055472746e-08,-3.1995285925171144,4.2,4.199,4.199922413793105,8.38120858349634,1339.0100000000093,116,4.2,4.199,-0.0010000000000003,1339.0100000000093,116,0.996186440677966,375.0,2.351
5,5.7780387551418514e-08,-3.708667554213996,4.2,4.199,4.19993893129771,11.936234106130936,1480.8099999999977,131,4.2,4.199,-0.0010000000000003,1480.8099999999977,131,0.9966101694915254,374.0,2.352
6,7.050277738218639e-08,-3.251115503423149,4.2,4.199,4.199924369747901,8.71597495743746,1360.4700000000305,119,4.2,4.199,-0.0010000000000003,1360.4700000000305,119,0.9970338983050848,373.0,2.353
7,5.096887844982853e-08,-4.017386472295803,4.2,4.199,4.199946564885496,14.3583970769473,1484.140000000014,131,4.2,4.199,-0.0010000000000003,1484.140000000014,131,0.9970338983050848,372.0,2.353
8,5.1719961240344626e-08,-3.981667809571949,4.2,4.199,4.199945736434109,14.071627463440338,1466.8300000000163,129,4.2,4.199,-0.0010000000000003,1466.8300000000163,129,0.9970338983050848,371.0,2.353
9,5.6559308719597875e-08,-3.7588589539576622,4.2,4.199,4.199940298507464,12.31258674538226,1517.4800000000396,134,4.2,4.199,-0.0010000000000003,1517.4800000000396,134,0.9974576271186442,370.0,2.354
10,5.096887844982853e-08,-4.017386472295803,4.2,4.199,4.199946564885496,14.3583970769473,1486.1399999999558,131,4.2,4.199,-0.0010000000000003,1486.1399999999558,131,0.9974576271186442,369.0,2.354
11,1.424561403509281e-07,-2.9567139322432987,4.2,4.198,4.199868421052631,8.803017108503578,933.4300000000512,76,4.2,4.198,-0.0019999999999997,933.4300000000512,76,0.9966101694915254,368.0,2.352
12,5.7196401799138664e-08,-3.741200349463454,4.2,4.199,4.1999396551724155,12.206773327021333,1332.8699999999951,116,4.2,4.199,-0.0010000000000003,1332.8699999999951,116,0.9974576271186442,367.0,2.354
13,4.988216810686756e-08,-4.070377172457218,4.2,4.199,4.19994776119403,14.788494429200238,1519.570000000007,134,4.2,4.199,-0.0010000000000003,1519.570000000007,134,0.9978813559322034,366.0,2.355
14,5.2888888888924214e-08,-3.927481209253943,4.2,4.199,4.199944444444444,13.64141250518228,1432.2999999999884,126,4.2,4.199,-0.0010000000000003,1432.2999999999884,126,0.9978813559322034,365.0,2.355
15,5.9121621621661104e-08,-3.6640401311643136,4.2,4.199,4.199937500000002,11.632627189418091,1296.670000000042,112,4.2,4.199,-0.0010000000000003,1296.670000000042,112,0.9978813559322034,364.0,2.355
16,6.637168141597354e-08,-3.392011730742834,4.2,4.199,4.199929203539824,9.676723996776758,1305.4700000000305,113,4.2,4.199,-0.0010000000000003,1305.4700000000305,113,0.9974576271186442,363.0,2.354
17,6.52936689550398e-08,-3.428634687812945,4.2,4.199,4.19993043478261,9.927916425508675,1323.6199999999951,115,4.2,4.199,-0.0010000000000003,1323.6199999999951,115,0.9978813559322034,362.0,2.355
18,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1348.9899999999907,117,4.2,4.199,-0.0010000000000003,1348.9899999999907,117,0.9978813559322034,361.0,2.355
19,5.8143145474344065e-08,-3.702820981162422,4.2,4.199,4.199938596491229,11.919723080001653,1313.9099999999744,114,4.2,4.199,-0.0010000000000003,1313.9099999999744,114,0.9978813559322034,360.0,2.355
20,9.748427672960649e-08,-2.01808398666568,4.201,4.199,4.199915094339624,5.828494692147563,1232.5199999999604,106,4.2,4.199,-0.0010000000000003,1232.5199999999604,106,0.9978813559322034,359.0,2.355
21,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1343.3699999999951,117,4.2,4.199,-0.0010000000000003,1343.3699999999951,117,0.9978813559322034,358.0,2.355
22,6.476761619194731e-08,-3.446800856693205,4.2,4.199,4.19993103448276,10.053498421642296,1336.6300000000049,116,4.2,4.199,-0.0010000000000003,1336.6300000000049,116,0.9978813559322034,357.0,2.355
23,5.583250249255973e-08,-3.7980431135787778,4.2,4.199,4.19994117647059,12.63726790462048,1362.6800000000512,119,4.2,4.199,-0.0010000000000003,1362.6800000000512,119,0.9983050847457628,356.0,2.356
24,6.982895432908915e-08,-3.2797015412785617,4.2,4.199,4.199925233644861,8.922902097962858,1246.890000000014,107,4.2,4.199,-0.0010000000000003,1246.890000000014,107,0.9978813559322034,355.0,2.355
25,5.9121621621661104e-08,-3.6640401311643136,4.2,4.199,4.199937500000002,11.632627189418091,1292.670000000042,112,4.2,4.199,-0.0010000000000003,1292.670000000042,112,0.9978813559322034,354.0,2.355
26,9.636019356200544e-08,-1.990545575658462,4.201,4.199,4.19991836734694,6.087703348847818,1153.2899999999208,98,4.2,4.199,-0.0010000000000003,1153.2899999999208,98,0.9978813559322034,353.0,2.355
27,7.912087912093196e-08,-3.002869617597054,4.2,4.199,4.199914285714287,7.153134716702501,1220.2600000000093,105,4.2,4.199,-0.0010000000000003,1220.2600000000093,105,0.9978813559322034,352.0,2.355
28,8.762886597942038e-08,-2.08649227905426,4.201,4.199,4.199928571428572,7.285157530512183,1158.0200000000186,98,4.2,4.199,-0.0010000000000003,1158.0200000000186,98,0.9978813559322034,351.0,2.355
