cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,5.463455322702012e-08,-3.8410578339319232,4.2,4.199,4.199942446043166,12.93971915675954,1567.3099999999977,139,4.2,4.199,-0.0010000000000003,1567.3099999999977,139,0.9957627118644068,350.0,2.35
2,6.268656716422096e-08,-3.5135567855698104,4.2,4.199,4.199933333333334,10.500439410241247,1521.9500000000116,135,4.2,4.199,-0.0010000000000003,1521.9500000000116,135,0.996186440677966,349.0,2.351
3,5.5773420479340095e-08,-3.7919517953615607,4.2,4.199,4.199941176470588,12.56345738412506,1530.460000000021,136,4.2,4.199,-0.0010000000000003,1530.460000000021,136,0.9957627118644068,348.0,2.35
4,5.819916517594825e-08,-3.691785877721048,4.2,4.199,4.199938461538461,11.810770247724408,1472.9099999999744,130,4.2,4.199,-0.0010000000000003,1472.9099999999744,130,0.996186440677966,347.0,2.351
5,5.6163626312917554e-08,-3.775441539688096,4.2,4.199,4.199940740740741,12.438025091395316,1521.829999999958,135,4.2,4.199,-0.0010000000000003,1521.829999999958,135,0.996186440677966,346.0,2.351
6,6.401804302571937e-08,-3.465854303464498,4.2,4.199,4.199931818181819,10.16596225355508,1496.4000000000233,132,4.2,4.199,-0.0010000000000003,1496.4000000000233,132,0.9966101694915254,345.0,2.352
7,5.86240310077911e-08,-3.6748268751610143,4.2,4.199,4.199937984496124,11.685299668107492,1469.7299999999814,129,4.2,4.199,-0.0010000000000003,1469.7299999999814,129,0.9966101694915254,344.0,2.352
8,7.21889055472746e-08,-3.1995285925171144,4.2,4.199,4.199922413793105,8.38120858349634,1332.1199999999951,116,4.2,4.199,-0.0010000000000003,1332.1199999999951,116,0.9966101694915254,343.0,2.352
9,4.918300653598057e-08,-4.105324542858449,4.2,4.199,4.199948529411764,15.075189834009231,1534.390000000014,136,4.2,4.199,-0.0010000000000003,1534.390000000014,136,0.9970338983050848,342.0,2.353
10,6.312422848169408e-08,-3.497727861616292,4.2,4.199,4.1999328358208965,10.388952116632476,1510.3399999999674,134,4.2,4.199,-0.0010000000000003,1510.3399999999674,134,0.9970338983050848,341.0,2.353
11,7.395701643494195e-08,-3.147102842410147,4.2,4.199,4.199920353982302,8.04637644641264,1307.109999999986,113,4.2,4.199,-0.0010000000000003,1307.109999999986,113,0.9966101694915254,340.0,2.352
12,4.5369328833926065e-08,-4.319233173436746,4.2,4.199,4.199952755905511,16.922047453947844,1448.0100000000093,127,4.2,4.199,-0.0010000000000003,1448.0100000000093,127,0.9970338983050848,339.0,2.353
13,5.2888888888924214e-08,-3.927481209253943,4.2,4.199,4.199944444444444,13.64141250518228,1433.5999999999767,126,4.2,4.199,-0.0010000000000003,1433.5999999999767,126,0.9970338983050848,338.0,2.353
14,6.08444794125767e-08,-3.5888337051044097,4.2,4.199,4.199935483870968,11.05784072807309,1413.7900000000373,124,4.2,4.199,-0.0010000000000003,1413.7900000000373,124,0.9970338983050848,337.0,2.353
15,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1346.6900000000023,117,4.2,4.199,-0.0010000000000003,1346.6900000000023,117,0.9970338983050848,336.0,2.353
16,6.323885486402173e-08,-3.5007360302023303,4.2,4.199,4.1999327731092455,10.430190137182136,1364.929999999993,119,4.2,4.199,-0.0010000000000003,1364.929999999993,119,0.9970338983050848,335.0,2.353
17,6.17802465790956e-08,-3.553855787749629,4.2,4.199,4.199934426229509,10.806804695618386,1394.070000000007,122,4.2,4.199,-0.0010000000000003,1394.070000000007,122,0.9970338983050848,334.0,2.353
