cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,6.58833661417763e-08,-3.4012162859350683,4.2,4.199,4.199929687500001,9.719918545239508,1452.359999999986,128,4.2,4.199,-0.0010000000000003,1452.359999999986,128,0.9974576271186442,394.0,2.354
2,7.161803713532634e-08,-3.216815459649272,4.2,4.199,4.199923076923079,8.492804475033711,1348.7700000000186,117,4.2,4.199,-0.0010000000000003,1348.7700000000186,117,0.9974576271186442,393.0,2.354
3,6.58833661417763e-08,-3.4012162859350683,4.2,4.199,4.199929687500001,9.719918545239508,1452.990000000049,128,4.2,4.199,-0.0010000000000003,1452.990000000049,128,0.9978813559322034,392.0,2.355
4,7.645259938843028e-08,-3.07582403762769,4.2,4.199,4.199917431192662,7.599823664323337,1266.719999999972,109,4.2,4.199,-0.0010000000000003,1266.719999999972,109,0.9978813559322034,391.0,2.355
5,5.7367568817988825e-08,-3.7254729488401024,4.2,4.199,4.1999393939393945,12.061691384412178,1496.1900000000023,132,4.2,4.199,-0.0010000000000003,1496.1900000000023,132,0.9983050847457628,390.0,2.356
6,5.7367568817988825e-08,-3.7254729488401024,4.2,4.199,4.1999393939393945,12.061691384412178,1493.1900000000023,132,4.2,4.199,-0.0010000000000003,1493.1900000000023,132,0.9987288135593222,389.0,2.357
7,5.905511811027566e-08,-3.6577894784213942,4.2,4.199,4.199937500000002,11.559822222315344,1456.4700000000305,128,4.2,4.199,-0.0010000000000003,1456.4700000000305,128,0.9987288135593222,388.0,2.357
8,6.785995279312164e-08,-3.335333442138869,4.2,4.199,4.1999274193548395,9.273783647431609,1419.9500000000116,124,4.2,4.199,-0.0010000000000003,1419.9500000000116,124,0.9987288135593222,387.0,2.357
9,6.03870967742339e-08,-3.606195866267155,4.2,4.199,4.199936000000001,11.183347174002192,1425.679999999993,125,4.2,4.199,-0.0010000000000003,1425.679999999993,125,0.9987288135593222,386.0,2.357
10,7.335817419660235e-08,-3.164673814149885,4.2,4.199,4.199921052631581,8.157994729499135,1317.670000000042,114,4.2,4.199,-0.0010000000000003,1317.670000000042,114,0.9987288135593222,385.0,2.357
11,6.52936689550398e-08,-3.428634687812945,4.2,4.199,4.19993043478261,9.927916425508675,1325.600000000035,115,4.2,4.199,-0.0010000000000003,1325.600000000035,115,0.9987288135593222,384.0,2.357
12,6.374040272349613e-08,-3.4828500833990117,4.2,4.199,4.1999322033898325,10.304635068935818,1359.3399999999674,118,4.2,4.199,-0.0010000000000003,1359.3399999999674,118,0.9991525423728814,383.0,2.358
13,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1347.9400000000023,117,4.2,4.199,-0.0010000000000003,1347.9400000000023,117,0.9991525423728814,382.0,2.358
14,6.17802465790956e-08,-3.553855787749629,4.2,4.199,4.199934426229509,10.806804695618386,1398.2999999999884,122,4.2,4.199,-0.0010000000000003,1398.2999999999884,122,0.9991525423728814,381.0,2.358
15,6.323885486402173e-08,-3.5007360302023303,4.2,4.199,4.1999327731092455,10.430190137182136,1362.109999999986,119,4.2,4.199,-0.0010000000000003,1362.109999999986,119,0.9991525423728814,380.0,2.358
16,6.08444794125767e-08,-3.5888337051044097,4.2,4.199,4.199935483870968,11.05784072807309,1411.149999999965,124,4.2,4.199,-0.0010000000000003,1411.149999999965,124,0.9991525423728814,379.0,2.358
17,6.424992631893475e-08,-3.464872167557287,4.2,4.199,4.199931623931626,10.17907123222479,1349.2399999999907,117,4.2,4.199,-0.0010000000000003,1349.2399999999907,117,0.9991525423728814,378.0,2.358
18,6.582828753303575e-08,-3.41037215954717,4.2,4.199,4.199929824561405,9.802325025568438,1318.6699999999837,114,4.2,4.199,-0.0010000000000003,1318.6699999999837,114,0.9991525423728814,377.0,2.358
19,6.982895432908915e-08,-3.2797015412785617,4.2,4.199,4.199925233644861,8.922902097962858,1247.7900000000373,107,4.2,4.199,-0.0010000000000003,1247.7900000000373,107,0.9991525423728814,376.0,2.358
20,5.627987831381421e-08,-3.7791904215070966,4.2,4.199,4.1999406779661035,12.493780137066244,1352.6300000000049,118,4.2,4.199,-0.0010000000000003,1352.6300000000049,118,0.9991525423728814,375.0,2.358
21,7.366336633668287e-08,-3.163427970314996,4.2,4.199,4.19992079207921,8.168668249400893,1188.7399999999907,101,4.2,4.199,-0.0010000000000003,1188.7399999999907,101,0.9991525423728814,374.0,2.358
22,6.323885486402173e-08,-3.5007360302023303,4.2,4.199,4.1999327731092455,10.430190137182136,1365.640000000014,119,4.2,4.199,-0.0010000000000003,1365.640000000014,119,0.9991525423728814,373.0,2.358
23,8.124635993016493e-08,-2.946980959274106,4.2,4.199,4.199911764705885,6.818021071013092,1191.140000000014,102,4.2,4.199,-0.0010000000000003,1191.140000000014,102,0.9991525423728814,372.0,2.358
24,6.582828753303575e-08,-3.41037215954717,4.2,4.199,4.199929824561405,9.802325025568438,1311.670000000042,114,4.2,4.199,-0.0010000000000003,1311.670000000042,114,0.9995762711864408,371.0,2.359
25,7.710280373836926e-08,-3.0577470703511054,4.2,4.199,4.199916666666668,7.488164665560383,1258.0900000000838,108,4.2,4.199,-0.0010000000000003,1258.0900000000838,108,0.9991525423728814,370.0,2.358
26,7.169529499631377e-08,-3.2220863299850886,4.2,4.199,4.199923076923078,8.545840613507304,1218.7700000000186,104,4.2,4.199,-0.0010000000000003,1218.7700000000186,104,0.9991525423728814,369.0,2.358
27,6.748566748571256e-08,-3.3549907990975423,4.2,4.199,4.19992792792793,9.425492117309156,1286.5,111,4.2,4.199,-0.0010000000000003,1286.5,111,0.9991525423728814,368.0,2.358
28,6.92281066113304e-08,-3.298684161121229,4.2,4.199,4.199925925925927,9.048566037804353,1258.030000000028,108,4.2,4.199,-0.0010000000000003,1258.030000000028,108,0.9991525423728814,367.0,2.358
29,7.169529499631377e-08,-3.2220863299850886,4.2,4.199,4.199923076923078,8.545840613507304,1215.7900000000373,104,4.2,4.199,-0.0010000000000003,1215.7900000000373,104,0.9991525423728814,366.0,2.358
30,1.1508951406657301e-07,-2.2437656506389847,4.2,4.199,4.1998695652173925,3.124227348138289,864.140000000014,69,4.2,4.199,-0.0010000000000003,864.140000000014,69,0.9991525423728814,365.0,2.358
31,6.637168141597354e-08,-3.392011730742834,4.2,4.199,4.199929203539824,9.676723996776758,1300.8800000000049,113,4.2,4.199,-0.0010000000000003,1300.8800000000049,113,0.9991525423728814,364.0,2.358
32,5.0726927939351195e-08,-4.039979059588089,4.2,4.199,4.199946902654868,14.579194317549485,1305.6199999999951,113,4.2,4.199,-0.0010000000000003,1305.6199999999951,113,0.9991525423728814,363.0,2.358
33,6.171751013934647e-08,-3.565245586688867,4.2,4.199,4.199934579439254,10.914671899603755,1248.5100000000093,107,4.2,4.199,-0.0010000000000003,1248.5100000000093,107,0.9991525423728814,362.0,2.358
34,6.8056713928319e-08,-3.3363270013479127,4.2,4.199,4.199927272727274,9.299860780316052,1271.280000000028,110,4.2,4.199,-0.0010000000000003,1271.280000000028,110,0.9991525423728814,361.0,2.358
35,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1201.25,103,4.2,4.199,-0.0010000000000003,1201.25,103,0.9991525423728814,360.0,2.358
36,7.106227106231855e-08,-3.241404573042217,4.2,4.199,4.199923809523811,8.67153967988251,1224.8499999999767,105,4.2,4.199,-0.0010000000000003,1224.8499999999767,105,0.9991525423728814,359.0,2.358
37,7.04402515723741e-08,-3.260608985013127,4.2,4.199,4.199924528301888,8.797226741747675,1238.3800000000049,106,4.2,4.199,-0.0010000000000003,1238.3800000000049,106,0.9991525423728814,358.0,2.358
38,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1203.9799999999814,103,4.2,4.199,-0.0010000000000003,1203.9799999999814,103,0.9991525423728814,357.0,2.358
39,6.92281066113304e-08,-3.298684161121229,4.2,4.199,4.199925925925927,9.048566037804353,1252.530000000028,108,4.2,4.199,-0.0010000000000003,1252.530000000028,108,0.9991525423728814,356.0,2.358
40,8.05254140491686e-08,-2.965726300931282,4.2,4.199,4.199912621359225,6.929735271459469,1204.8800000000049,103,4.2,4.199,-0.0010000000000003,1204.8800000000049,103,0.9987288135593222,355.0,2.357
41,8.198019801985674e-08,-2.9281169343243603,4.2,4.199,4.19991089108911,6.706296923732033,1183.7099999999627,101,4.2,4.199,-0.0010000000000003,1183.7099999999627,101,0.9987288135593222,354.0,2.357
42,8.272727272732799e-08,-2.909131970413297,4.2,4.199,4.199910000000001,6.594562601327739,1171.0699999999488,100,4.2,4.199,-0.0010000000000003,1171.0699999999488,100,0.9987288135593222,353.0,2.357
43,6.863744478427964e-08,-3.31755870995156,4.2,4.199,4.199926605504589,9.174218841485375,1261.3400000000838,109,4.2,4.199,-0.0010000000000003,1261.3400000000838,109,0.9987288135593222,352.0,2.357
44,7.04402515723741e-08,-3.260608985013127,4.2,4.199,4.199924528301888,8.797226741747675,1234.9600000000792,106,4.2,4.199,-0.0010000000000003,1234.9600000000792,106,0.9987288135593222,351.0,2.357
45,7.581317764809066e-08,-3.093796343233578,4.2,4.199,4.199918181818184,7.711474158927748,1279.4500000000698,110,4.2,4.199,-0.0010000000000003,1279.4500000000698,110,0.9987288135593222,350.0,2.357
46,7.233961545788194e-08,-3.202652222116188,4.2,4.199,4.199922330097089,8.420129234056327,1204.859999999986,103,4.2,4.199,-0.0010000000000003,1204.859999999986,103,0.9987288135593222,349.0,2.357
47,7.574163686098053e-08,-3.1036681258347265,4.2,4.199,4.19991836734694,7.791376096532128,1156.4499999999534,98,4.2,4.199,-0.0010000000000003,1156.4499999999534,98,0.9983050847457628,348.0,2.356
48,7.87005261954312e-08,-3.022163508342338,4.2,4.199,4.199914893617023,7.288116395797237,1111.0499999998135,94,4.2,4.199,-0.0010000000000003,1111.0499999998135,94,0.9936440677966104,347.0,2.345
