cycle_number,relax_var,relax_ske,relax_max,relax_min,relax_mean,relax_kur,relax_duration_s,relax_points,relax_start_voltage,relax_end_voltage,relax_voltage_delta,window_s,window_points,SOH,RUL,discharge_capacity_in_Ah
1,4.7198082109710893e-08,-4.2084266123249,4.2,4.199,4.199950704225352,15.935115417856329,1599.859999999986,142,4.2,4.199,-0.0010000000000003,1599.859999999986,142,0.994915254237288,391.0,2.348
2,5.6559308719597875e-08,-3.7588589539576622,4.2,4.199,4.199940298507464,12.31258674538226,1512.2000000000116,134,4.2,4.199,-0.0010000000000003,1512.2000000000116,134,0.9953389830508476,390.0,2.349
3,5.249042145597375e-08,-3.9374372257025514,4.2,4.199,4.199944827586207,13.69209488978943,1622.1500000000233,145,4.2,4.199,-0.0010000000000003,1622.1500000000233,145,0.9957627118644068,389.0,2.35
4,6.356801093647444e-08,-3.481827358890905,4.2,4.199,4.199932330827068,10.277459764269508,1501.4000000000233,133,4.2,4.199,-0.0010000000000003,1501.4000000000233,133,0.9957627118644068,388.0,2.35
5,5.096887844982853e-08,-4.017386472295803,4.2,4.199,4.199946564885496,14.3583970769473,1493.8099999999977,131,4.2,4.199,-0.0010000000000003,1493.8099999999977,131,0.996186440677966,387.0,2.351
6,5.6163626312917554e-08,-3.775441539688096,4.2,4.199,4.199940740740741,12.438025091395316,1524.929999999993,135,4.2,4.199,-0.0010000000000003,1524.929999999993,135,0.996186440677966,386.0,2.351
7,4.953012714210052e-08,-4.087888183224218,4.2,4.199,4.19994814814815,14.931845645066602,1522.4100000000326,135,4.2,4.199,-0.0010000000000003,1522.4100000000326,135,0.996186440677966,385.0,2.351
8,5.7780387551418514e-08,-3.708667554213996,4.2,4.199,4.19993893129771,11.936234106130936,1487.1599999999744,131,4.2,4.199,-0.0010000000000003,1487.1599999999744,131,0.996186440677966,384.0,2.351
9,6.692406692411162e-08,-3.373551819002246,4.2,4.199,4.199928571428573,9.5511131071416,1299.1900000000023,112,4.2,4.199,-0.0010000000000003,1299.1900000000023,112,0.996186440677966,383.0,2.351
10,5.2103838582711984e-08,-3.963687858570885,4.2,4.199,4.199945312500002,13.928230730466312,1455.2600000000093,128,4.2,4.199,-0.0010000000000003,1455.2600000000093,128,0.9966101694915254,382.0,2.352
11,5.905511811027566e-08,-3.6577894784213942,4.2,4.199,4.199937500000002,11.559822222315349,1453.7000000000116,128,4.2,4.199,-0.0010000000000003,1453.7000000000116,128,0.9966101694915254,381.0,2.352
12,4.988216810686756e-08,-4.070377172457218,4.2,4.199,4.19994776119403,14.788494429200238,1518.4500000000116,134,4.2,4.199,-0.0010000000000003,1518.4500000000116,134,0.9966101694915254,380.0,2.352
13,5.583250249255973e-08,-3.7980431135787778,4.2,4.199,4.19994117647059,12.63726790462048,1364.109999999986,119,4.2,4.199,-0.0010000000000003,1364.109999999986,119,0.9966101694915254,379.0,2.352
14,5.993650793654796e-08,-3.6234751054602383,4.2,4.199,4.199936507936508,11.308846130764987,1433.2399999999907,126,4.2,4.199,-0.0010000000000003,1433.2399999999907,126,0.9970338983050848,378.0,2.353
15,4.884070416491025e-08,-4.1226871967112055,4.2,4.199,4.19994890510949,15.218527144526684,1540.6199999999951,137,4.2,4.199,-0.0010000000000003,1540.6199999999951,137,0.9970338983050848,377.0,2.353
16,6.225895316808567e-08,-3.5362375432623305,4.2,4.199,4.199933884297522,10.681274759861552,1383.4300000000512,121,4.2,4.199,-0.0010000000000003,1383.4300000000512,121,0.9970338983050848,376.0,2.353
17,5.2103838582711984e-08,-3.963687858570885,4.2,4.199,4.199945312500002,13.928230730466312,1452.8099999999977,128,4.2,4.199,-0.0010000000000003,1452.8099999999977,128,0.9970338983050848,375.0,2.353
18,5.7196401799138664e-08,-3.741200349463454,4.2,4.199,4.1999396551724155,12.206773327021333,1333.0499999999884,116,4.2,4.199,-0.0010000000000003,1333.0499999999884,116,0.9970338983050848,374.0,2.353
19,5.905511811027566e-08,-3.6577894784213942,4.2,4.199,4.199937500000002,11.559822222315349,1453.4100000000326,128,4.2,4.199,-0.0010000000000003,1453.4100000000326,128,0.9970338983050848,373.0,2.353
20,5.495867768598712e-08,-3.835470782815432,4.2,4.199,4.199942148760332,12.924213396424244,1385.4100000000326,121,4.2,4.199,-0.0010000000000003,1385.4100000000326,121,0.9970338983050848,372.0,2.353
21,5.329032258068076e-08,-3.9092522317611182,4.2,4.199,4.199944,13.49799063426769,1426.6600000000326,125,4.2,4.199,-0.0010000000000003,1426.6600000000326,125,0.9970338983050848,371.0,2.353
22,5.627987831381421e-08,-3.7791904215070966,4.2,4.199,4.1999406779661035,12.493780137066244,1355.3300000000745,118,4.2,4.199,-0.0010000000000003,1355.3300000000745,118,0.9970338983050848,370.0,2.353
23,5.627987831381421e-08,-3.7791904215070966,4.2,4.199,4.1999406779661035,12.493780137066244,1355.4799999999814,118,4.2,4.199,-0.0010000000000003,1355.4799999999814,118,0.9970338983050848,369.0,2.353
24,5.905511811027566e-08,-3.6577894784213942,4.2,4.199,4.199937500000002,11.559822222315349,1450.2700000000186,128,4.2,4.199,-0.0010000000000003,1450.2700000000186,128,0.9974576271186442,368.0,2.354
25,6.374040272349613e-08,-3.4828500833990117,4.2,4.199,4.1999322033898325,10.304635068935818,1353.3700000001118,118,4.2,4.199,-0.0010000000000003,1353.3700000001118,118,0.9970338983050848,367.0,2.353
26,5.4531906245802593e-08,-3.854048448202013,4.2,4.199,4.199942622950821,13.067671590439373,1390.9199999999255,122,4.2,4.199,-0.0010000000000003,1390.9199999999255,122,0.9970338983050848,366.0,2.353
27,7.456563706568689e-08,-3.129434039031352,4.2,4.199,4.199919642857144,7.934750371847244,1295.4799999999814,112,4.2,4.199,-0.0010000000000003,1295.4799999999814,112,0.9970338983050848,365.0,2.353
28,5.7196401799138664e-08,-3.741200349463454,4.2,4.199,4.1999396551724155,12.206773327021333,1332.8800000000049,116,4.2,4.199,-0.0010000000000003,1332.8800000000049,116,0.9970338983050848,364.0,2.353
29,6.013344453715442e-08,-3.624844967181682,4.2,4.199,4.199936363636366,11.345483298228633,1273.5999999999767,110,4.2,4.199,-0.0010000000000003,1273.5999999999767,110,0.9970338983050848,363.0,2.353
30,5.962325962329944e-08,-3.6444951669989463,4.2,4.199,4.199936936936938,11.489061397369808,1286.0200000000186,111,4.2,4.199,-0.0010000000000003,1286.0200000000186,111,0.9974576271186442,362.0,2.354
31,4.947526236884863e-08,-4.101421795463985,4.2,4.199,4.199948275862071,15.081424397821149,1332.4099999999162,116,4.2,4.199,-0.0010000000000003,1332.4099999999162,116,0.9974576271186442,361.0,2.354
32,5.8143145474344065e-08,-3.702820981162422,4.2,4.199,4.199938596491229,11.919723080001653,1316.2000000000698,114,4.2,4.199,-0.0010000000000003,1316.2000000000698,114,0.9974576271186442,360.0,2.354
33,6.013344453715442e-08,-3.624844967181682,4.2,4.199,4.199936363636366,11.345483298228633,1277.0899999999674,110,4.2,4.199,-0.0010000000000003,1277.0899999999674,110,0.9974576271186442,359.0,2.354
34,6.748566748571256e-08,-3.3549907990975423,4.2,4.199,4.19992792792793,9.425492117309156,1289.4300000000512,111,4.2,4.199,-0.0010000000000003,1289.4300000000512,111,0.9974576271186442,358.0,2.354
